Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
157,Point San Pedro,San Francisco Bay,12/23/2012,358,0.01, ,1.52, ,31, ,12.1,Y,58.4, ,47.9, ,53.0, ,93, ,75, ,88,Y,49.5,Y,7.2,R,172.0,R,51.6, 
157,Point San Pedro,San Francisco Bay,12/24/2012,359,0.05, ,0.00, ,227, ,9.0, ,55.4, ,38.1, ,46.1, ,97, ,60, ,84, ,41.7, ,2.0, ,48.5, ,51.0, 
157,Point San Pedro,San Francisco Bay,12/25/2012,360,0.00, ,1.20, ,27, ,9.3, ,50.9, ,37.5, ,44.4, ,98, ,80, ,94, ,42.7, ,2.8, ,66.8, ,49.9, 
157,Point San Pedro,San Francisco Bay,12/26/2012,361,0.05, ,0.09, ,193, ,9.3, ,55.9, ,44.9, ,49.9, ,90, ,63, ,76, ,42.5, ,3.8,Y,91.4,Y,49.4, 
157,Point San Pedro,San Francisco Bay,12/27/2012,362,0.05, ,0.00, ,234, ,7.7, ,54.3, ,36.2, ,45.7, ,97, ,52, ,74, ,37.9, ,2.4, ,58.3, ,49.8, 
157,Point San Pedro,San Francisco Bay,12/28/2012,363,0.01, ,0.11, ,72, ,8.2, ,47.7, ,34.3, ,41.9, ,98, ,78, ,91, ,39.3, ,3.1, ,74.5, ,48.7, 
157,Point San Pedro,San Francisco Bay,12/29/2012,364,0.03, ,0.10, ,137, ,8.1, ,54.8, ,34.5, ,44.0, ,98, ,64, ,83, ,39.1, ,2.5, ,60.1, ,48.8, 
157,Point San Pedro,San Francisco Bay,12/30/2012,365,0.05, ,0.00, ,233, ,7.3, ,56.5, ,33.2, ,42.5, ,99, ,47, ,79, ,36.5, ,1.9, ,46.5, ,48.1, 
157,Point San Pedro,San Francisco Bay,12/31/2012,366,0.05, ,0.00, ,232, ,6.4, ,54.0, ,28.6, ,40.1, ,98, ,40, ,76, ,33.0, ,1.8, ,43.9, ,47.2, 
157,Point San Pedro,San Francisco Bay,1/1/2013,001,0.05, ,0.00, ,236, ,6.8, ,53.9, ,32.4, ,42.8, ,98, ,44, ,73, ,34.7, ,2.7, ,65.0, ,47.3, 
157,Point San Pedro,San Francisco Bay,1/2/2013,002,0.05, ,0.00, ,248, ,6.2, ,54.6, ,29.8, ,40.5, ,98, ,43, ,72, ,32.4, ,2.2, ,52.5, ,46.6, 
157,Point San Pedro,San Francisco Bay,1/3/2013,003,0.05, ,0.00, ,216, ,7.1, ,53.9, ,32.0, ,41.6, ,97, ,60, ,80, ,35.8, ,2.3, ,54.0, ,45.9, 
157,Point San Pedro,San Francisco Bay,1/4/2013,004,0.05, ,0.00, ,239, ,7.4, ,55.3, ,33.9, ,44.0, ,97, ,51, ,75, ,36.7, ,2.5, ,60.5, ,45.9, 
157,Point San Pedro,San Francisco Bay,1/5/2013,005,0.01, ,0.49, ,64, ,8.8, ,49.4, ,35.1, ,44.1, ,96, ,79, ,90, ,41.3, ,2.8, ,66.8, ,46.2, 
157,Point San Pedro,San Francisco Bay,1/6/2013,006,0.03, ,0.01, ,147, ,9.2, ,54.2, ,37.0, ,46.1, ,97, ,68, ,86, ,42.3, ,2.5, ,59.6, ,47.4, 
157,Point San Pedro,San Francisco Bay,1/7/2013,007,0.04, ,0.00, ,209, ,8.8, ,55.3, ,33.2, ,43.5, ,99, ,70, ,91, ,41.2, ,2.1, ,50.0, ,47.4, 
157,Point San Pedro,San Francisco Bay,1/8/2013,008,0.05, ,0.00, ,221, ,9.3, ,55.4, ,40.8, ,46.3, ,97, ,70, ,87, ,42.8, ,2.3, ,55.9, ,47.7, 
157,Point San Pedro,San Francisco Bay,1/9/2013,009,0.03, ,0.01, ,98, ,8.7, ,55.3, ,38.8, ,46.7, ,97, ,60, ,80, ,40.9, ,3.5, ,84.9, ,47.8, 
157,Point San Pedro,San Francisco Bay,1/10/2013,010,0.06, ,0.00, ,238, ,6.1, ,51.9, ,32.7, ,43.7, ,90, ,46, ,63, ,32.1, ,3.4, ,81.0, ,47.1, 
157,Point San Pedro,San Francisco Bay,1/11/2013,011,0.05, ,0.00, ,192, ,6.8, ,53.6, ,33.0, ,44.4, ,89, ,52, ,68, ,34.5, ,3.5, ,83.1, ,46.7, 
157,Point San Pedro,San Francisco Bay,1/12/2013,012,0.05, ,0.00, ,259, ,5.6, ,50.0, ,27.5, ,39.2, ,98, ,32, ,69, ,29.8, ,2.1, ,51.0, ,46.2, 
157,Point San Pedro,San Francisco Bay,1/13/2013,013,0.05, ,0.00, ,248, ,4.8, ,50.5, ,25.2, ,37.0, ,98, ,27, ,65, ,26.2, ,2.3, ,55.5, ,45.2, 
157,Point San Pedro,San Francisco Bay,1/14/2013,014,0.07, ,0.00, ,262, ,3.8, ,52.5, ,29.9, ,41.6, ,91, ,24, ,43, ,20.6, ,2.9, ,69.1, ,44.5, 
157,Point San Pedro,San Francisco Bay,1/15/2013,015,0.05, ,0.00, ,249, ,5.8, ,51.4, ,27.7, ,37.0, ,99, ,43, ,77, ,30.6, ,2.0, ,48.5, ,44.2, 
157,Point San Pedro,San Francisco Bay,1/16/2013,016,0.06, ,0.00, ,268, ,6.1, ,55.8, ,29.8, ,42.2, ,96, ,41, ,67, ,32.1, ,2.9, ,69.7, ,44.1, 
157,Point San Pedro,San Francisco Bay,1/17/2013,017,0.06, ,0.00, ,274, ,6.8, ,58.5, ,37.5, ,46.0, ,85, ,43, ,65, ,34.7, ,2.9, ,69.6, ,44.5, 
157,Point San Pedro,San Francisco Bay,1/18/2013,018,0.07, ,0.00, ,277, ,6.8, ,60.6, ,34.5, ,45.8, ,85, ,35, ,65, ,34.7, ,2.4, ,58.3, ,44.9, 
157,Point San Pedro,San Francisco Bay,1/19/2013,019,0.07, ,0.00, ,287, ,6.7, ,61.8, ,34.9, ,45.8, ,86, ,38, ,64, ,34.2, ,2.3, ,55.3, ,45.1, 
157,Point San Pedro,San Francisco Bay,1/20/2013,020,0.07, ,0.00, ,291, ,6.2, ,63.1, ,33.7, ,46.1, ,89, ,29, ,59, ,32.5, ,2.3, ,54.2, ,45.2, 
157,Point San Pedro,San Francisco Bay,1/21/2013,021,0.07, ,0.00, ,287, ,7.4, ,59.8, ,35.9, ,47.0, ,88, ,45, ,68, ,36.8, ,2.8, ,66.3, ,45.3, 
157,Point San Pedro,San Francisco Bay,1/22/2013,022,0.06, ,0.00, ,252, ,8.2, ,58.7, ,36.2, ,50.0, ,91, ,49, ,67, ,39.5, ,2.9, ,68.9, ,45.9, 
