Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
106,Sanel Valley,North Coast Valleys,12/23/2012,358,0.03, ,1.89,H,122, ,10.8, ,60.1, ,39.4, ,49.3, ,96, ,75, ,90, ,46.6, ,5.0, ,119.7, ,49.9, 
106,Sanel Valley,North Coast Valleys,12/24/2012,359,0.03, ,0.00, ,163, ,8.4, ,54.8, ,34.4, ,42.8, ,96, ,65, ,89, ,39.9, ,2.3, ,54.1, ,50.1, 
106,Sanel Valley,North Coast Valleys,12/25/2012,360,0.00, ,0.71, ,23, ,9.1, ,46.4, ,39.6, ,44.0, ,95, ,90, ,93, ,42.0, ,3.1, ,75.3, ,49.7, 
106,Sanel Valley,North Coast Valleys,12/26/2012,361,0.03, ,0.39,H,138, ,9.4, ,54.6, ,41.4, ,46.2, ,96, ,67, ,88, ,42.8, ,3.5, ,83.3, ,49.7, 
106,Sanel Valley,North Coast Valleys,12/27/2012,362,0.05, ,0.00, ,212, ,7.8, ,55.1, ,35.2, ,43.3, ,95, ,57, ,81, ,38.0, ,3.2, ,76.1, ,49.7, 
106,Sanel Valley,North Coast Valleys,12/28/2012,363,0.01, ,0.08, ,67, ,7.7, ,49.4, ,34.2, ,41.0, ,96, ,70, ,88, ,37.7, ,3.5, ,84.7, ,48.8, 
106,Sanel Valley,North Coast Valleys,12/29/2012,364,0.04, ,0.00, ,193, ,7.3, ,55.8, ,32.2, ,42.5, ,94, ,50, ,79, ,36.4, ,2.8, ,67.5, ,48.3, 
106,Sanel Valley,North Coast Valleys,12/30/2012,365,0.04, ,0.00, ,197, ,6.6, ,54.8, ,29.6, ,38.1, ,96, ,52, ,85, ,34.0, ,2.5, ,59.9, ,47.7, 
106,Sanel Valley,North Coast Valleys,12/31/2012,366,0.02, ,0.00, ,143, ,6.2, ,48.9, ,27.4, ,34.7, ,95, ,70, ,91, ,32.3, ,2.4, ,56.7, ,46.5, 
106,Sanel Valley,North Coast Valleys,1/1/2013,001,0.04, ,0.00, ,199, ,5.8, ,59.1, ,27.6, ,35.9, ,95, ,40, ,81, ,30.8, ,2.6, ,62.3, ,45.5, 
106,Sanel Valley,North Coast Valleys,1/2/2013,002,0.04, ,0.00, ,221, ,5.7, ,62.0, ,24.2, ,36.3, ,94, ,41, ,79, ,30.5, ,2.3, ,56.4, ,44.7, 
106,Sanel Valley,North Coast Valleys,1/3/2013,003,0.03, ,0.00, ,169, ,5.9, ,52.4, ,23.7, ,35.9, ,94, ,51, ,83, ,31.1, ,2.1, ,49.5, ,43.9, 
106,Sanel Valley,North Coast Valleys,1/4/2013,004,0.04, ,0.04, ,209, ,6.6, ,64.0, ,27.2, ,39.4, ,95, ,45, ,81, ,34.0, ,2.1, ,49.5, ,43.8, 
106,Sanel Valley,North Coast Valleys,1/5/2013,005,0.00, ,0.67, ,33, ,7.5, ,46.0, ,28.1, ,38.0, ,95, ,90, ,96, ,37.1, ,3.0, ,71.3, ,43.5, 
106,Sanel Valley,North Coast Valleys,1/6/2013,006,0.04, ,0.04, ,216, ,,M,55.1, ,,M,,M,96,H,69,H,,M,,M,3.0, ,72.7, ,,M
106,Sanel Valley,North Coast Valleys,1/7/2013,007,0.04, ,0.00, ,9, ,10.7, ,59.7, ,32.0, ,51.5, ,94, ,65, ,82, ,46.2, ,3.4, ,80.5, ,45.7, 
106,Sanel Valley,North Coast Valleys,1/8/2013,008,0.05, ,0.00, ,209, ,8.9, ,68.0, ,35.5, ,46.2, ,96, ,46, ,83, ,41.4, ,2.4, ,56.6, ,46.1, 
