Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
195,Auburn,Sierra Foothill,12/23/2012,358,0.04,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
195,Auburn,Sierra Foothill,12/24/2012,359,0.04, ,0.00,H,265,H,9.3,H,53.5, ,32.0, ,46.5,H,99,H,75,H,86, ,42.7, ,3.1,H,74.8,H,48.7,H
195,Auburn,Sierra Foothill,12/25/2012,360,0.04,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
195,Auburn,Sierra Foothill,12/26/2012,361,0.01,R,0.05,H,98,H,,S,,S,38.5, ,44.8,H,100,H,84,H,,Q,,Q,2.6,H,61.8,H,47.8,H
195,Auburn,Sierra Foothill,12/27/2012,362,0.04, ,0.00, ,258, ,7.9, ,49.6, ,32.0, ,42.4, ,99, ,74, ,86, ,38.5, ,3.2, ,76.0, ,47.2, 
195,Auburn,Sierra Foothill,12/28/2012,363,0.02, ,0.00, ,89, ,7.1, ,47.9, ,35.3, ,41.0, ,94, ,60, ,81, ,35.8, ,2.4, ,58.3, ,46.0, 
195,Auburn,Sierra Foothill,12/29/2012,364,0.03, ,0.00, ,123, ,7.5, ,54.3, ,38.1, ,45.0, ,91, ,51, ,74, ,37.2, ,3.1, ,74.8, ,46.4, 
195,Auburn,Sierra Foothill,12/30/2012,365,0.04, ,0.00, ,191, ,6.8, ,53.0, ,33.9, ,42.0, ,95, ,50, ,75, ,34.6, ,3.1, ,73.8, ,46.1, 
195,Auburn,Sierra Foothill,12/31/2012,366,0.04, ,0.00, ,186, ,5.9, ,52.2, ,30.1, ,40.6, ,90, ,43, ,68, ,31.0, ,2.9, ,70.4, ,44.8, 
195,Auburn,Sierra Foothill,1/1/2013,001,0.04, ,0.00, ,193, ,6.3, ,52.1, ,33.2, ,40.9, ,88, ,47, ,73, ,32.9, ,3.3, ,79.0, ,44.7, 
195,Auburn,Sierra Foothill,1/2/2013,002,0.05, ,0.00, ,201, ,6.1, ,56.6, ,33.9, ,41.9, ,89, ,37, ,67, ,31.9, ,3.4, ,81.0, ,44.2, 
195,Auburn,Sierra Foothill,1/3/2013,003,0.04, ,0.00, ,198, ,6.5, ,55.9, ,35.3, ,42.6, ,88, ,47, ,70, ,33.4, ,3.1, ,74.9, ,44.1, 
195,Auburn,Sierra Foothill,1/4/2013,004,0.05, ,0.00, ,199, ,6.9, ,58.3, ,34.8, ,45.0, ,86, ,47, ,67, ,34.9, ,3.1, ,74.6, ,44.5, 
195,Auburn,Sierra Foothill,1/5/2013,005,0.03, ,0.02, ,127, ,8.0, ,56.1, ,38.3, ,45.4, ,96, ,56, ,77, ,38.7, ,2.9, ,68.9, ,45.2, 
195,Auburn,Sierra Foothill,1/6/2013,006,0.02, ,0.13, ,103, ,9.1, ,53.6, ,36.4, ,44.3, ,100, ,70, ,92, ,42.1, ,1.9, ,45.6, ,46.5, 
195,Auburn,Sierra Foothill,1/7/2013,007,0.03, ,0.00, ,156, ,7.9, ,53.5, ,35.4, ,42.7, ,100, ,67, ,85, ,38.6, ,2.6, ,62.5, ,45.9, 
195,Auburn,Sierra Foothill,1/8/2013,008,0.04, ,0.00, ,198, ,8.8, ,56.5, ,38.4, ,44.6, ,99, ,68, ,88, ,41.3, ,2.6, ,61.3, ,46.2, 
195,Auburn,Sierra Foothill,1/9/2013,009,0.02, ,0.33, ,87, ,9.1, ,52.9, ,37.3, ,45.5, ,98, ,74, ,88, ,42.1, ,2.7, ,65.1, ,46.5, 
195,Auburn,Sierra Foothill,1/10/2013,010,0.05, ,0.01, ,216, ,6.5, ,47.6, ,31.6, ,38.6, ,100, ,55, ,82, ,33.6, ,3.4, ,81.3, ,45.9, 
195,Auburn,Sierra Foothill,1/11/2013,011,0.04, ,0.00, ,180, ,5.5, ,48.4, ,29.8, ,36.4, ,93, ,45, ,75, ,29.3, ,3.1, ,74.4, ,43.9, 
195,Auburn,Sierra Foothill,1/12/2013,012,0.05, ,0.00, ,232, ,4.3, ,45.6, ,29.6, ,35.9, ,85, ,38, ,60, ,23.3, ,3.0, ,73.1, ,42.6, 
195,Auburn,Sierra Foothill,1/13/2013,013,0.05, ,0.00, ,222, ,3.8, ,46.1, ,29.0, ,36.2, ,80, ,29, ,52, ,20.4, ,3.9, ,92.9, ,41.5, 
195,Auburn,Sierra Foothill,1/14/2013,014,0.05, ,0.00, ,356,R,4.1, ,49.3, ,32.8, ,40.5, ,70, ,28, ,47, ,22.1, ,3.2, ,75.9, ,41.2, 
195,Auburn,Sierra Foothill,1/15/2013,015,0.05, ,0.00, ,220, ,5.3, ,51.3, ,30.8, ,38.6, ,82, ,47, ,67, ,28.6, ,3.1, ,73.6, ,41.2, 
195,Auburn,Sierra Foothill,1/16/2013,016,0.06, ,0.00, ,243, ,5.9, ,57.4, ,34.1, ,43.5, ,81, ,36, ,62, ,31.3, ,3.4, ,81.3, ,42.2, 
195,Auburn,Sierra Foothill,1/17/2013,017,0.07, ,0.00, ,249, ,6.1, ,61.8, ,37.1, ,47.1, ,74, ,32, ,55, ,31.8, ,3.9, ,93.2, ,43.2, 
195,Auburn,Sierra Foothill,1/18/2013,018,0.08, ,0.00, ,251, ,5.9, ,65.0, ,42.0, ,50.4, ,76, ,30, ,48, ,31.3, ,4.2, ,99.8, ,44.5, 
195,Auburn,Sierra Foothill,1/19/2013,019,0.08, ,0.00, ,254, ,6.3, ,63.6, ,41.2, ,49.8, ,79, ,33, ,51, ,32.6, ,3.8, ,91.3, ,45.2, 
195,Auburn,Sierra Foothill,1/20/2013,020,0.08, ,0.00, ,259, ,5.9, ,63.1, ,43.7, ,50.6, ,67, ,29, ,47, ,30.9, ,3.8, ,90.1, ,45.9, 
195,Auburn,Sierra Foothill,1/21/2013,021,0.08, ,0.00, ,259, ,6.3, ,67.4, ,39.7, ,50.1, ,81, ,30, ,51, ,32.6, ,3.5, ,82.9, ,46.3, 
195,Auburn,Sierra Foothill,1/22/2013,022,0.08, ,0.00, ,236, ,6.6, ,71.1,Y,42.5, ,52.3, ,75, ,25, ,50, ,34.1, ,3.9, ,93.3, ,46.7, 
195,Auburn,Sierra Foothill,1/23/2013,023,0.04, ,0.06, ,96, ,7.9, ,65.4, ,47.1, ,53.5, ,92, ,29, ,56, ,38.4, ,2.7, ,65.8, ,47.7, 
195,Auburn,Sierra Foothill,1/24/2013,024,0.02, ,0.02, ,87, ,12.4,Y,63.6, ,47.4, ,54.1, ,99, ,66, ,87,Y,50.2,Y,2.1, ,49.3, ,49.5,Y
