Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
70,Manteca,San Joaquin Valley,12/23/2012,358,0.01, ,0.61, ,48, ,11.1, ,52.8, ,47.8, ,49.4, ,97, ,84, ,92, ,47.2, ,9.8,Y,235.4,Y,50.5, 
70,Manteca,San Joaquin Valley,12/24/2012,359,0.03, ,0.00, ,173, ,9.3, ,50.1, ,36.0, ,43.9, ,100, ,87, ,95, ,42.6, ,3.5, ,83.5, ,50.2, 
70,Manteca,San Joaquin Valley,12/25/2012,360,0.00, ,0.26, ,39, ,9.0, ,47.6, ,35.1, ,42.8, ,100, ,90, ,96, ,41.8, ,6.5, ,156.0, ,49.2, 
70,Manteca,San Joaquin Valley,12/26/2012,361,0.03, ,0.07, ,121, ,9.7, ,55.7, ,39.5, ,46.5, ,99, ,69, ,90, ,43.6, ,5.1, ,121.9, ,49.5, 
70,Manteca,San Joaquin Valley,12/27/2012,362,0.03, ,0.00, ,178, ,8.0, ,50.7, ,33.8, ,40.5, ,100, ,71, ,94, ,38.8, ,3.1, ,73.4, ,49.0, 
70,Manteca,San Joaquin Valley,12/28/2012,363,0.01, ,0.00, ,80, ,8.1, ,46.4, ,31.5, ,40.2, ,100, ,85, ,95, ,39.0, ,3.6, ,85.4, ,47.9, 
70,Manteca,San Joaquin Valley,12/29/2012,364,0.03, ,0.00, ,176, ,8.3, ,52.4, ,32.8, ,42.7, ,100, ,66, ,89, ,39.7, ,3.4, ,80.8, ,48.3, 
70,Manteca,San Joaquin Valley,12/30/2012,365,0.05, ,0.00, ,248, ,6.9, ,52.6, ,28.3, ,40.5, ,100, ,54, ,80, ,35.0, ,4.6, ,110.4, ,47.5, 
70,Manteca,San Joaquin Valley,12/31/2012,366,0.04, ,0.00, ,235, ,6.1, ,50.7, ,29.2, ,38.9, ,95, ,54, ,76, ,31.9, ,2.9, ,70.0, ,47.0, 
70,Manteca,San Joaquin Valley,1/1/2013,001,0.04, ,0.00, ,225, ,6.7, ,52.4, ,27.3, ,38.3, ,100, ,55, ,85, ,34.2, ,3.2, ,75.6, ,46.3, 
70,Manteca,San Joaquin Valley,1/2/2013,002,0.05, ,0.00, ,257, ,6.5, ,55.5, ,27.9, ,38.3, ,100, ,48, ,82, ,33.4, ,2.1, ,49.6, ,45.7, 
70,Manteca,San Joaquin Valley,1/3/2013,003,0.04, ,0.00, ,223, ,6.8, ,55.7, ,26.3, ,38.4, ,100, ,55, ,86, ,34.5, ,2.2, ,52.7, ,45.1, 
70,Manteca,San Joaquin Valley,1/4/2013,004,0.05, ,0.00, ,246, ,6.9, ,56.8, ,28.3, ,40.3, ,100, ,50, ,81, ,35.0, ,2.0, ,48.6, ,45.0, 
70,Manteca,San Joaquin Valley,1/5/2013,005,0.02, ,0.61, ,127, ,8.2, ,50.6, ,28.6, ,40.7, ,100, ,77, ,95, ,39.4, ,2.7, ,64.2, ,45.1, 
70,Manteca,San Joaquin Valley,1/6/2013,006,0.01, ,0.41, ,65, ,9.5, ,50.1, ,36.3, ,43.6, ,100, ,87, ,98, ,43.1, ,3.8, ,91.2, ,46.4, 
70,Manteca,San Joaquin Valley,1/7/2013,007,0.03, ,0.00,R,230, ,8.8, ,52.0, ,37.6, ,44.3, ,100, ,73, ,89, ,41.1, ,2.4, ,57.9, ,46.2, 
70,Manteca,San Joaquin Valley,1/8/2013,008,0.05, ,0.00, ,248, ,8.2, ,57.0, ,30.9, ,43.2, ,100, ,61, ,86, ,39.4, ,2.1, ,51.5, ,45.9, 
70,Manteca,San Joaquin Valley,1/9/2013,009,0.02, ,0.00, ,111, ,8.5, ,51.2, ,34.6, ,43.4, ,100, ,68, ,89, ,40.3, ,4.4, ,104.7, ,46.2, 
70,Manteca,San Joaquin Valley,1/10/2013,010,0.06, ,0.00, ,268, ,6.2, ,50.9, ,29.3, ,40.9, ,95, ,48, ,71, ,32.4, ,4.7, ,113.4, ,46.0, 
70,Manteca,San Joaquin Valley,1/11/2013,011,0.05, ,0.00, ,236, ,5.8, ,51.0, ,28.2, ,39.1, ,93, ,46, ,72, ,30.8, ,2.9, ,69.8, ,44.9, 
70,Manteca,San Joaquin Valley,1/12/2013,012,0.05, ,0.00, ,279, ,5.2, ,48.6, ,26.8, ,36.6, ,93, ,37, ,71, ,28.1, ,3.4, ,80.8, ,44.2, 
70,Manteca,San Joaquin Valley,1/13/2013,013,0.05, ,0.00, ,258, ,4.7, ,45.6, ,24.3, ,34.1, ,97, ,44, ,70, ,25.4, ,3.9, ,94.4, ,43.1, 
70,Manteca,San Joaquin Valley,1/14/2013,014,0.05, ,0.00, ,273, ,4.5, ,48.5, ,26.1, ,35.4, ,86, ,44, ,64, ,24.5, ,3.1, ,73.6, ,42.4, 
70,Manteca,San Joaquin Valley,1/15/2013,015,0.05, ,0.00, ,244, ,5.4, ,53.2, ,27.5, ,37.3, ,95, ,42, ,71, ,28.7, ,2.5, ,60.6, ,42.4, 
70,Manteca,San Joaquin Valley,1/16/2013,016,0.06, ,0.00, ,276, ,5.8, ,58.3, ,23.9, ,38.0, ,99, ,38, ,74, ,30.6, ,1.9, ,46.2, ,42.4, 
70,Manteca,San Joaquin Valley,1/17/2013,017,0.06, ,0.00, ,281, ,6.3, ,61.7, ,25.8, ,40.1, ,100, ,39, ,75, ,32.9, ,1.7, ,39.9, ,42.4, 
70,Manteca,San Joaquin Valley,1/18/2013,018,0.06, ,0.00, ,280, ,6.8, ,61.2, ,25.8, ,40.0, ,100, ,45, ,81, ,34.5, ,2.0, ,47.0, ,42.6, 
70,Manteca,San Joaquin Valley,1/19/2013,019,0.06, ,0.00, ,280, ,7.1, ,61.9, ,26.3, ,40.9, ,100, ,47, ,81, ,35.6, ,2.2, ,51.9, ,42.6, 
70,Manteca,San Joaquin Valley,1/20/2013,020,0.06, ,0.00, ,286, ,6.8, ,61.8, ,26.0, ,40.6, ,100, ,42, ,79, ,34.5, ,1.9, ,45.7, ,42.7, 
70,Manteca,San Joaquin Valley,1/21/2013,021,0.06, ,0.00, ,287, ,6.9, ,62.2, ,25.5, ,41.0, ,100, ,44, ,80, ,35.2, ,2.0, ,47.4, ,42.7, 
70,Manteca,San Joaquin Valley,1/22/2013,022,0.06, ,0.00, ,259, ,7.7, ,65.8, ,28.6, ,44.1, ,100, ,39, ,79, ,37.9, ,2.6, ,61.5, ,42.9, 
70,Manteca,San Joaquin Valley,1/23/2013,023,0.01, ,0.02, ,56, ,9.8, ,51.9, ,38.2, ,46.2, ,98, ,77, ,92, ,44.0, ,3.3, ,79.7, ,44.1, 
70,Manteca,San Joaquin Valley,1/24/2013,024,0.01, ,0.05, ,68, ,11.7, ,52.8, ,46.5, ,49.4, ,100, ,92, ,97, ,48.6, ,3.7, ,88.9, ,45.6, 
70,Manteca,San Joaquin Valley,1/25/2013,025,0.03, ,0.00, ,145, ,13.2, ,62.7, ,46.9, ,53.1, ,100, ,81, ,96, ,51.9, ,2.7, ,63.6, ,47.2, 
70,Manteca,San Joaquin Valley,1/26/2013,026,0.07, ,0.00, ,245, ,10.2, ,60.9, ,44.4, ,51.3, ,100, ,47, ,79, ,45.1, ,7.3, ,174.4, ,47.7, 
70,Manteca,San Joaquin Valley,1/27/2013,027,0.08, ,0.00, ,313, ,7.0, ,56.6, ,35.5, ,45.9, ,93, ,38, ,67, ,35.5, ,5.6, ,135.6, ,47.0, 
70,Manteca,San Joaquin Valley,1/28/2013,028,0.08, ,0.00, ,300, ,7.3, ,58.1, ,36.1, ,46.5, ,87, ,42, ,68, ,36.4, ,5.9, ,141.8, ,46.2, 
70,Manteca,San Joaquin Valley,1/29/2013,029,0.08, ,0.00, ,288, ,8.2, ,59.8, ,37.9, ,47.8, ,91, ,48, ,72, ,39.3, ,5.4, ,130.2, ,46.4, 
