Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
64,Santa Ynez,Central Coast Valleys,12/23/2012,358,0.01, ,0.07, ,109, ,9.0, ,53.6, ,35.3, ,44.0, ,99, ,70, ,92, ,41.9, ,3.0, ,72.0, ,51.7, 
64,Santa Ynez,Central Coast Valleys,12/24/2012,359,0.06, ,0.23, ,227, ,9.4, ,59.6, ,36.1, ,47.8, ,99, ,52, ,83, ,42.9, ,4.1, ,98.0, ,53.4, 
64,Santa Ynez,Central Coast Valleys,12/25/2012,360,0.02, ,0.10, ,132, ,7.6, ,53.7, ,30.1, ,42.0, ,100, ,59, ,84, ,37.4, ,2.7, ,64.3, ,53.9, 
64,Santa Ynez,Central Coast Valleys,12/26/2012,361,0.04, ,0.12, ,185, ,8.5, ,52.7, ,37.3, ,44.4, ,99, ,64, ,85, ,40.2, ,4.5, ,109.0, ,53.6, 
64,Santa Ynez,Central Coast Valleys,12/27/2012,362,0.07, ,0.00, ,250, ,6.9, ,54.8, ,31.1, ,43.1, ,97, ,49, ,73, ,35.0, ,6.0, ,144.0, ,53.3, 
64,Santa Ynez,Central Coast Valleys,12/28/2012,363,0.05, ,0.00, ,231, ,5.9, ,57.0, ,25.0, ,39.0, ,99, ,36, ,73, ,31.2, ,2.7, ,65.0, ,52.1, 
64,Santa Ynez,Central Coast Valleys,12/29/2012,364,0.03, ,0.59, ,148, ,8.0, ,50.8, ,30.8, ,42.4, ,99, ,68, ,87, ,38.9, ,3.8, ,92.1, ,51.3, 
64,Santa Ynez,Central Coast Valleys,12/30/2012,365,0.05, ,0.00, ,230, ,6.2, ,53.9, ,26.7, ,38.0, ,100, ,45, ,80, ,32.4, ,2.9, ,69.3, ,50.9, 
64,Santa Ynez,Central Coast Valleys,12/31/2012,366,0.05, ,0.00, ,257, ,6.2, ,55.4, ,26.3, ,38.5, ,99, ,45, ,79, ,32.5, ,2.5, ,61.0, ,50.4, 
64,Santa Ynez,Central Coast Valleys,1/1/2013,001,0.05, ,0.00, ,223, ,6.9, ,59.4, ,29.6, ,41.2, ,99, ,39, ,79, ,35.1, ,2.8, ,66.6, ,50.1, 
64,Santa Ynez,Central Coast Valleys,1/2/2013,002,0.06, ,0.00, ,274, ,6.0, ,64.5, ,26.0, ,40.2, ,100, ,25, ,71, ,31.7, ,2.6, ,63.5, ,50.3, 
64,Santa Ynez,Central Coast Valleys,1/3/2013,003,0.06, ,0.00, ,271, ,6.0, ,66.7, ,24.8, ,41.1, ,99, ,27, ,68, ,31.5, ,2.6, ,62.4, ,50.1, 
64,Santa Ynez,Central Coast Valleys,1/4/2013,004,0.07, ,0.00, ,272, ,5.8, ,66.8, ,23.9, ,41.3, ,99, ,25, ,65, ,30.6, ,2.2, ,52.6, ,49.9, 
64,Santa Ynez,Central Coast Valleys,1/5/2013,005,0.05, ,0.06, ,230, ,6.7, ,61.1, ,25.4, ,42.5, ,99, ,35, ,73, ,34.4, ,2.5, ,60.6, ,49.8, 
64,Santa Ynez,Central Coast Valleys,1/6/2013,006,0.02, ,0.27, ,106, ,8.8, ,51.6, ,37.0, ,43.9, ,99, ,71, ,91, ,41.3, ,4.2, ,100.4, ,50.4, 
64,Santa Ynez,Central Coast Valleys,1/7/2013,007,0.06, ,0.00, ,268, ,7.6, ,60.2, ,34.8, ,45.8, ,96, ,48, ,73, ,37.5, ,3.2, ,76.3, ,50.4, 
64,Santa Ynez,Central Coast Valleys,1/8/2013,008,0.06, ,0.00, ,271, ,7.6, ,70.1, ,29.5, ,44.9, ,100, ,33, ,75, ,37.5, ,2.3, ,54.1, ,50.1, 
64,Santa Ynez,Central Coast Valleys,1/9/2013,009,0.05, ,0.00, ,200, ,9.3, ,64.9, ,32.2, ,46.2, ,100, ,58, ,87, ,42.5, ,3.1, ,74.4, ,50.4, 
64,Santa Ynez,Central Coast Valleys,1/10/2013,010,0.07, ,0.01, ,260, ,6.8, ,52.2, ,31.9, ,43.2, ,94, ,50, ,72, ,34.8, ,6.2, ,148.0, ,51.0, 
64,Santa Ynez,Central Coast Valleys,1/11/2013,011,0.07, ,0.00, ,280, ,5.8, ,52.7, ,26.9, ,39.0, ,98, ,41, ,72, ,30.6, ,4.3, ,103.2, ,50.3, 
64,Santa Ynez,Central Coast Valleys,1/12/2013,012,0.06, ,0.00, ,281, ,5.3, ,54.0, ,23.9, ,37.2, ,99, ,33, ,70, ,28.3, ,3.1, ,74.9, ,49.1, 
64,Santa Ynez,Central Coast Valleys,1/13/2013,013,0.06, ,0.00, ,268, ,4.8, ,54.3, ,22.9, ,36.8, ,98, ,32, ,65, ,26.3, ,3.3, ,80.4, ,48.3, 
64,Santa Ynez,Central Coast Valleys,1/14/2013,014,0.07, ,0.00, ,287, ,4.5, ,55.4, ,20.3,Y,35.6, ,97, ,27, ,64, ,24.5, ,2.8, ,68.2, ,47.5, 
64,Santa Ynez,Central Coast Valleys,1/15/2013,015,0.07, ,0.00, ,285, ,5.2, ,61.4, ,22.8, ,38.1, ,97, ,27, ,66, ,27.8, ,2.7, ,64.9, ,46.9, 
64,Santa Ynez,Central Coast Valleys,1/16/2013,016,0.07, ,0.00, ,286, ,5.6, ,69.2, ,23.8, ,41.9, ,98, ,22, ,62, ,29.8, ,2.4, ,58.5, ,47.0, 
64,Santa Ynez,Central Coast Valleys,1/17/2013,017,0.08, ,0.00, ,306, ,6.2, ,75.9, ,25.1, ,45.3, ,99, ,19, ,60, ,32.3, ,2.3, ,56.1, ,47.6, 
64,Santa Ynez,Central Coast Valleys,1/18/2013,018,0.09, ,0.00, ,296, ,5.7, ,76.6, ,25.9, ,45.9, ,99, ,13, ,54, ,30.4, ,2.4, ,58.4, ,48.3, 
64,Santa Ynez,Central Coast Valleys,1/19/2013,019,0.09, ,0.00, ,316, ,5.3, ,78.4, ,24.6, ,46.4, ,98, ,12, ,49, ,28.4, ,2.3, ,55.7, ,48.8, 
64,Santa Ynez,Central Coast Valleys,1/20/2013,020,0.09, ,0.00, ,322, ,5.1, ,78.8, ,24.4, ,46.2, ,97, ,11, ,48, ,27.7, ,2.3, ,56.2, ,49.2, 
64,Santa Ynez,Central Coast Valleys,1/21/2013,021,0.09, ,0.00, ,321, ,5.3, ,79.0, ,24.6, ,46.4, ,95, ,12, ,49, ,28.5, ,2.3, ,56.2, ,49.6, 
64,Santa Ynez,Central Coast Valleys,1/22/2013,022,0.10, ,0.00, ,293, ,5.2, ,78.5, ,25.2, ,47.7, ,96, ,11, ,46, ,28.1, ,2.9, ,69.7, ,49.7, 
64,Santa Ynez,Central Coast Valleys,1/23/2013,023,0.05, ,0.01, ,111, ,7.5, ,74.8, ,41.3, ,54.4, ,88, ,17, ,52, ,37.3, ,4.0, ,97.1, ,50.2, 
64,Santa Ynez,Central Coast Valleys,1/24/2013,024,0.01, ,0.64, ,59, ,13.8, ,59.4, ,51.6, ,54.9, ,99, ,73, ,94, ,53.2, ,4.5, ,108.7, ,51.3, 
64,Santa Ynez,Central Coast Valleys,1/25/2013,025,0.01, ,0.62, ,77, ,12.8, ,58.2, ,48.3, ,51.6, ,100, ,90, ,98, ,51.0, ,1.9, ,45.6, ,52.8, 
64,Santa Ynez,Central Coast Valleys,1/26/2013,026,0.05, ,0.02, ,236, ,11.0, ,60.9, ,43.8, ,49.4, ,100, ,78, ,92, ,47.1, ,3.7, ,88.7, ,54.3, 
64,Santa Ynez,Central Coast Valleys,1/27/2013,027,0.09, ,0.00, ,328, ,7.9, ,55.2, ,35.6, ,46.7, ,93, ,54, ,73, ,38.5, ,6.8,Y,164.1,Y,55.2, 
64,Santa Ynez,Central Coast Valleys,1/28/2013,028,0.09, ,0.00, ,304, ,7.1, ,56.1, ,33.7, ,44.2, ,94, ,46, ,71, ,35.6, ,5.5, ,132.0, ,53.9, 
64,Santa Ynez,Central Coast Valleys,1/29/2013,029,0.08, ,0.00, ,268, ,7.2, ,65.7, ,33.4, ,47.8, ,92, ,32, ,63, ,35.9, ,4.2, ,100.0, ,52.5, 
64,Santa Ynez,Central Coast Valleys,1/30/2013,030,0.09, ,0.00, ,307, ,7.6, ,70.8, ,29.2, ,47.2, ,99, ,29, ,69, ,37.6, ,2.8, ,67.5, ,52.1, 
64,Santa Ynez,Central Coast Valleys,1/31/2013,031,0.09, ,0.00, ,324, ,7.9, ,76.5, ,29.6, ,49.0, ,100, ,24, ,67, ,38.5, ,2.4, ,58.2, ,52.5, 
64,Santa Ynez,Central Coast Valleys,2/1/2013,032,0.08, ,0.00, ,278, ,8.6, ,74.4, ,30.6, ,48.6, ,99, ,29, ,74, ,40.7, ,2.5, ,60.6, ,53.1, 
64,Santa Ynez,Central Coast Valleys,2/2/2013,033,0.04, ,0.00, ,165, ,10.2, ,67.9, ,40.1, ,51.6, ,97, ,43, ,79, ,45.2, ,2.4, ,57.9, ,53.5, 
64,Santa Ynez,Central Coast Valleys,2/3/2013,034,0.06, ,0.00, ,242, ,10.7, ,62.5, ,42.1, ,49.5, ,99, ,65, ,89, ,46.3, ,3.6, ,85.5, ,54.1, 
64,Santa Ynez,Central Coast Valleys,2/4/2013,035,0.08, ,0.00, ,308, ,9.8, ,71.8, ,40.1, ,51.1, ,98, ,35, ,77, ,44.0, ,3.4, ,82.2, ,55.1, 
64,Santa Ynez,Central Coast Valleys,2/5/2013,036,0.00, ,0.01, ,77, ,9.4, ,50.6, ,39.9, ,44.7, ,99, ,80, ,93, ,42.9, ,2.6, ,61.3, ,55.7, 
64,Santa Ynez,Central Coast Valleys,2/6/2013,037,0.09, ,0.00, ,332, ,8.5, ,68.1, ,33.2, ,47.5, ,99, ,35, ,76, ,40.3, ,3.5, ,83.3, ,54.9, 
64,Santa Ynez,Central Coast Valleys,2/7/2013,038,0.07, ,0.00, ,268, ,8.3, ,57.7, ,38.8, ,45.5, ,98, ,46, ,80, ,39.8, ,3.6, ,87.3, ,55.2, 
64,Santa Ynez,Central Coast Valleys,2/8/2013,039,0.02, ,0.24, ,134, ,7.8, ,46.9,Y,34.4, ,40.5, ,98, ,79, ,91, ,38.0, ,3.0, ,71.1, ,54.6, 
64,Santa Ynez,Central Coast Valleys,2/9/2013,040,0.09, ,0.00, ,316, ,6.6, ,56.7, ,29.5, ,41.8, ,98, ,35, ,73, ,33.8, ,4.4, ,104.6, ,53.0, 
64,Santa Ynez,Central Coast Valleys,2/10/2013,041,0.07, ,0.00, ,281, ,7.0, ,57.9, ,26.9, ,40.7, ,100, ,45, ,81, ,35.2, ,3.1, ,75.5, ,52.3, 
64,Santa Ynez,Central Coast Valleys,2/11/2013,042,0.08, ,0.00, ,297, ,6.3, ,60.3, ,28.1, ,43.2, ,100, ,30, ,67, ,32.8, ,2.9, ,70.2, ,52.4, 
64,Santa Ynez,Central Coast Valleys,2/12/2013,043,0.09, ,0.00, ,317, ,6.4, ,65.5, ,25.7, ,43.1, ,99, ,29, ,68, ,33.2, ,3.0, ,72.3, ,52.5, 
64,Santa Ynez,Central Coast Valleys,2/13/2013,044,0.09, ,0.00, ,320, ,7.4, ,69.2, ,26.9, ,44.6, ,100, ,30, ,74, ,36.7, ,3.1, ,75.0, ,52.2, 
64,Santa Ynez,Central Coast Valleys,2/14/2013,045,0.09, ,0.00, ,326, ,8.0, ,75.5, ,30.8, ,49.6, ,100, ,26, ,66, ,38.7, ,3.0, ,73.0, ,53.0, 
64,Santa Ynez,Central Coast Valleys,2/15/2013,046,0.11, ,0.00, ,328, ,7.0, ,79.4, ,28.7, ,51.0, ,100, ,18, ,55, ,35.5, ,2.5, ,60.6, ,54.1, 
64,Santa Ynez,Central Coast Valleys,2/16/2013,047,0.11, ,0.00, ,330, ,6.3, ,77.7, ,32.3, ,51.1, ,96, ,11, ,49, ,32.6, ,2.7, ,65.9, ,54.4, 
