Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
83,Santa Rosa,North Coast Valleys,12/23/2012,358,0.01, ,1.88, ,75, ,11.4, ,56.5, ,40.8, ,49.1, ,98, ,85, ,96, ,48.0, ,7.8,Y,186.9,Y,51.2, 
83,Santa Rosa,North Coast Valleys,12/24/2012,359,0.04, ,0.01, ,192, ,8.5, ,55.0, ,33.8, ,42.3, ,100, ,67, ,92, ,40.3, ,1.9, ,45.2, ,50.0, 
83,Santa Rosa,North Coast Valleys,12/25/2012,360,0.00, ,1.12, ,27, ,8.8, ,44.8, ,36.1, ,41.8, ,100, ,95, ,98, ,41.3, ,3.1, ,74.3, ,49.4, 
83,Santa Rosa,North Coast Valleys,12/26/2012,361,0.05, ,0.08, ,228, ,8.6, ,54.9, ,36.5, ,44.9, ,100, ,63, ,85, ,40.6, ,4.7, ,112.5, ,49.0, 
83,Santa Rosa,North Coast Valleys,12/27/2012,362,0.05, ,0.00, ,222, ,8.0, ,58.0, ,34.7, ,43.8, ,99, ,49, ,82, ,38.7, ,2.1, ,51.0, ,49.0, 
83,Santa Rosa,North Coast Valleys,12/28/2012,363,0.01, ,0.11, ,62, ,7.7, ,46.0, ,31.3, ,39.1, ,100, ,82, ,95, ,37.8, ,1.9, ,46.5, ,48.2, 
83,Santa Rosa,North Coast Valleys,12/29/2012,364,0.03, ,0.05, ,141, ,8.2, ,55.5, ,34.4, ,43.3, ,99, ,53, ,85, ,39.3, ,2.7, ,64.4, ,48.6, 
83,Santa Rosa,North Coast Valleys,12/30/2012,365,0.05, ,0.00, ,230, ,7.0, ,55.6, ,28.2, ,39.3, ,100, ,52, ,86, ,35.4, ,2.3, ,55.8, ,47.6, 
83,Santa Rosa,North Coast Valleys,12/31/2012,366,0.03, ,0.00, ,186, ,6.8, ,52.7, ,25.9, ,37.2, ,100, ,62, ,91, ,34.8, ,2.3, ,54.1, ,46.6, 
83,Santa Rosa,North Coast Valleys,1/1/2013,001,0.05, ,0.00, ,232, ,6.2, ,56.8, ,28.0, ,38.5, ,100, ,41, ,79, ,32.4, ,2.3, ,56.1, ,46.4, 
83,Santa Rosa,North Coast Valleys,1/2/2013,002,0.04, ,0.00, ,246, ,6.3, ,53.8, ,25.0, ,35.8, ,100, ,56, ,88, ,32.7, ,2.3, ,54.6, ,44.5, 
83,Santa Rosa,North Coast Valleys,1/3/2013,003,0.04, ,0.00, ,209, ,6.3, ,54.1, ,23.6, ,36.7, ,100, ,51, ,86, ,32.8, ,1.9, ,44.9, ,44.1, 
83,Santa Rosa,North Coast Valleys,1/4/2013,004,0.05, ,0.00, ,226, ,6.9, ,55.3, ,27.6, ,38.6, ,100, ,59, ,87, ,35.2, ,1.9, ,46.1, ,44.6, 
83,Santa Rosa,North Coast Valleys,1/5/2013,005,0.00, ,0.42, ,47, ,8.0, ,44.9,Y,28.2, ,38.9, ,100, ,88, ,99, ,38.7, ,2.1, ,50.2, ,44.7, 
83,Santa Rosa,North Coast Valleys,1/6/2013,006,0.03, ,0.03, ,170, ,8.9, ,55.5, ,32.2, ,43.6, ,100, ,66, ,93, ,41.6, ,2.4, ,56.8, ,46.5, 
83,Santa Rosa,North Coast Valleys,1/7/2013,007,0.04, ,0.00, ,195, ,8.7, ,58.0, ,30.8, ,42.5, ,100, ,68, ,94, ,40.9, ,2.3, ,55.8, ,46.5, 
83,Santa Rosa,North Coast Valleys,1/8/2013,008,0.04, ,0.00, ,200, ,9.0, ,61.9, ,34.8, ,43.5, ,100, ,65, ,94, ,41.9, ,2.2, ,53.0, ,47.3, 
83,Santa Rosa,North Coast Valleys,1/9/2013,009,0.01, ,0.01, ,76, ,8.2, ,50.0, ,33.7, ,41.5, ,100, ,74, ,92, ,39.5, ,3.1, ,74.0, ,47.3, 
83,Santa Rosa,North Coast Valleys,1/10/2013,010,0.06, ,0.00, ,246, ,5.9, ,50.5, ,28.1, ,38.2, ,100, ,50, ,75, ,31.1, ,4.7, ,113.6, ,46.0, 
83,Santa Rosa,North Coast Valleys,1/11/2013,011,0.04, ,0.00, ,185, ,6.4, ,52.3, ,29.0, ,37.5, ,97, ,61, ,85, ,33.2, ,2.9, ,68.7, ,45.1, 
83,Santa Rosa,North Coast Valleys,1/12/2013,012,0.05, ,0.00, ,250, ,5.8, ,50.5, ,25.1, ,36.0, ,100, ,45, ,81, ,30.7, ,2.5, ,60.7, ,44.5, 
83,Santa Rosa,North Coast Valleys,1/13/2013,013,0.04, ,0.00, ,237, ,5.2, ,54.2, ,20.4,Y,33.5, ,100, ,43, ,80, ,28.0, ,2.2, ,53.4, ,43.4, 
83,Santa Rosa,North Coast Valleys,1/14/2013,014,0.05, ,0.00, ,253, ,5.1, ,53.9, ,23.1, ,37.1, ,96, ,33, ,67, ,27.3, ,2.6, ,61.3, ,42.8, 
83,Santa Rosa,North Coast Valleys,1/15/2013,015,0.05, ,0.00, ,239, ,5.7, ,52.4, ,23.4, ,35.1, ,100, ,50, ,82, ,30.1, ,2.4, ,57.6, ,42.5, 
83,Santa Rosa,North Coast Valleys,1/16/2013,016,0.05,R,0.00,H,276, ,6.3, ,56.0, ,25.0, ,36.8, ,100, ,46, ,85, ,32.7, ,1.8, ,42.1, ,41.8, 
83,Santa Rosa,North Coast Valleys,1/17/2013,017,0.05, ,0.00, ,250, ,6.4, ,60.1, ,23.5, ,36.5, ,100, ,49, ,87, ,33.2, ,1.7, ,40.9, ,41.9, 
83,Santa Rosa,North Coast Valleys,1/18/2013,018,0.05, ,0.00, ,256, ,6.5, ,61.2, ,23.8, ,38.1, ,100, ,49, ,84, ,33.7, ,1.7, ,40.8, ,42.3, 
83,Santa Rosa,North Coast Valleys,1/19/2013,019,0.06, ,0.00, ,263, ,6.5, ,61.0, ,22.3, ,38.4, ,100, ,49, ,82, ,33.5, ,2.0, ,49.0, ,42.3, 
