Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
235,Verona,Sacramento Valley,12/23/2012,358,0.01, ,0.93, ,26, ,10.8, ,51.4, ,46.6, ,49.2, ,94, ,85, ,91, ,46.5, ,11.7,Y,280.7,Y,48.6, 
235,Verona,Sacramento Valley,12/24/2012,359,0.02, ,0.00, ,132, ,9.2, ,53.3, ,36.1, ,44.2, ,98, ,75, ,93, ,42.3, ,4.3, ,102.4, ,48.1, 
235,Verona,Sacramento Valley,12/25/2012,360,0.00, ,0.91, ,30, ,9.0, ,47.2, ,35.9, ,43.1, ,96, ,92, ,95, ,41.8, ,4.8, ,115.3, ,46.6, 
235,Verona,Sacramento Valley,12/26/2012,361,0.04, ,0.00, ,184, ,8.9, ,52.7, ,33.9, ,44.2, ,97, ,77, ,90, ,41.4, ,5.4, ,129.1, ,47.2, 
235,Verona,Sacramento Valley,12/27/2012,362,0.03, ,0.00, ,175, ,7.9, ,53.1, ,33.8, ,40.6, ,98, ,69, ,92, ,38.4, ,3.5, ,83.1, ,46.0, 
235,Verona,Sacramento Valley,12/28/2012,363,0.01, ,0.00, ,66, ,7.6, ,43.3, ,33.4, ,39.1, ,97, ,84, ,94, ,37.4, ,3.8, ,91.9, ,44.5, 
235,Verona,Sacramento Valley,12/29/2012,364,0.03, ,0.00, ,161, ,7.9, ,55.0, ,34.3, ,42.9, ,96, ,60, ,84, ,38.5, ,4.5, ,107.0, ,45.3, 
235,Verona,Sacramento Valley,12/30/2012,365,0.06, ,0.00, ,243, ,6.8, ,54.2, ,30.0, ,41.7, ,97, ,53, ,76, ,34.6, ,6.5, ,156.9, ,44.4, 
235,Verona,Sacramento Valley,12/31/2012,366,0.04, ,0.00, ,234, ,5.9, ,51.7, ,29.6, ,38.6, ,95, ,49, ,74, ,31.1, ,4.2, ,99.6, ,43.9, 
235,Verona,Sacramento Valley,1/1/2013,001,0.05, ,0.00, ,243, ,6.1, ,55.8, ,27.7, ,38.4, ,97, ,46, ,77, ,31.8, ,3.7, ,88.4, ,42.9, 
235,Verona,Sacramento Valley,1/2/2013,002,0.05, ,0.00, ,252, ,6.2, ,55.3, ,24.8, ,37.8, ,97, ,46, ,80, ,32.2, ,2.7, ,64.9, ,42.0, 
235,Verona,Sacramento Valley,1/3/2013,003,0.04, ,0.00, ,217, ,6.4, ,55.1, ,25.2, ,37.1, ,97, ,57, ,86, ,33.3, ,2.2, ,53.1, ,41.5, 
235,Verona,Sacramento Valley,1/4/2013,004,0.05, ,0.00, ,243, ,6.5, ,55.3, ,27.2, ,38.6, ,97, ,49, ,82, ,33.5, ,1.9, ,44.7, ,41.6, 
235,Verona,Sacramento Valley,1/5/2013,005,0.02, ,0.41, ,122, ,7.9, ,49.7, ,30.1, ,40.1, ,98, ,79, ,94, ,38.4, ,3.2, ,75.7, ,42.1, 
235,Verona,Sacramento Valley,1/6/2013,006,0.02, ,0.21, ,122, ,8.9, ,53.3, ,32.0, ,43.5, ,97, ,71, ,92, ,41.4, ,3.1, ,74.4, ,44.3, 
235,Verona,Sacramento Valley,1/7/2013,007,0.03, ,0.00, ,182, ,7.8, ,48.4, ,32.0, ,40.0, ,98, ,82, ,93, ,38.2, ,3.1, ,73.7, ,43.8, 
235,Verona,Sacramento Valley,1/8/2013,008,0.04, ,0.00, ,327,R,9.0, ,54.4, ,36.1, ,45.0, ,98, ,75, ,88, ,41.7, ,2.3, ,56.3, ,44.5, 
235,Verona,Sacramento Valley,1/9/2013,009,0.01, ,0.00, ,83, ,8.3, ,50.0, ,33.2, ,41.7, ,98, ,70, ,93, ,39.7, ,3.6, ,86.3, ,44.1, 
235,Verona,Sacramento Valley,1/10/2013,010,0.05, ,0.00, ,257, ,5.9, ,51.4, ,26.9, ,37.9, ,96, ,46, ,77, ,31.3, ,3.4, ,81.7, ,43.2, 
235,Verona,Sacramento Valley,1/11/2013,011,0.04, ,0.00, ,223, ,5.6, ,49.7, ,25.6, ,35.8, ,95, ,48, ,79, ,29.9, ,3.2, ,77.5, ,41.4, 
235,Verona,Sacramento Valley,1/12/2013,012,0.05, ,0.00, ,265, ,5.0, ,48.2, ,26.8, ,36.2, ,92, ,40, ,70, ,27.3, ,3.7, ,87.8, ,41.1, 
235,Verona,Sacramento Valley,1/13/2013,013,0.05, ,0.00, ,233, ,4.5, ,46.5, ,22.1, ,33.8, ,92, ,44, ,69, ,24.8, ,4.8, ,115.4, ,39.3,Y
235,Verona,Sacramento Valley,1/14/2013,014,0.07, ,0.00, ,265, ,4.3, ,51.7, ,29.6, ,38.7, ,84, ,33, ,54, ,23.3, ,6.8, ,162.5, ,39.3,Y
235,Verona,Sacramento Valley,1/15/2013,015,0.05, ,0.00, ,244, ,5.4, ,51.1, ,23.8, ,37.1, ,95, ,44, ,72, ,28.9, ,2.7, ,65.7, ,39.6, 
235,Verona,Sacramento Valley,1/16/2013,016,0.05, ,0.00, ,269, ,6.2, ,55.3, ,22.9, ,37.9, ,96, ,45, ,80, ,32.2, ,2.1, ,49.8, ,39.7, 
235,Verona,Sacramento Valley,1/17/2013,017,0.05, ,0.00, ,276, ,6.5, ,58.5, ,22.7, ,38.1, ,97, ,51, ,83, ,33.4, ,2.1, ,49.6, ,40.0, 
235,Verona,Sacramento Valley,1/18/2013,018,0.06, ,0.00, ,281, ,6.7, ,61.2, ,26.6, ,41.9, ,98, ,41, ,73, ,34.1, ,3.1, ,74.4, ,40.4, 
235,Verona,Sacramento Valley,1/19/2013,019,0.06, ,0.00, ,282, ,6.6, ,63.6, ,23.7, ,42.5, ,97, ,37, ,71, ,33.8, ,2.9, ,70.4, ,40.7, 
235,Verona,Sacramento Valley,1/20/2013,020,0.06, ,0.00, ,289, ,6.4, ,66.2, ,25.9, ,41.8, ,97, ,34, ,71, ,33.0, ,2.4, ,58.3, ,41.0, 
235,Verona,Sacramento Valley,1/21/2013,021,0.06, ,0.00, ,289, ,6.5, ,61.9, ,28.9, ,42.1, ,97, ,37, ,71, ,33.4, ,2.4, ,58.3, ,41.4, 
235,Verona,Sacramento Valley,1/22/2013,022,0.06, ,0.00, ,265, ,7.3, ,61.0, ,27.7, ,43.2, ,97, ,48, ,77, ,36.4, ,3.0, ,71.8, ,41.8, 
235,Verona,Sacramento Valley,1/23/2013,023,0.01, ,0.17, ,74, ,9.6, ,53.3, ,39.5, ,45.9, ,96, ,71, ,91, ,43.3, ,3.7, ,88.6, ,43.4, 
235,Verona,Sacramento Valley,1/24/2013,024,0.02, ,0.02, ,101, ,11.7, ,56.8, ,46.2, ,50.9, ,97, ,81, ,92, ,48.7, ,4.5, ,107.2, ,46.2, 
