Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
8,Gerber,Sacramento Valley,12/23/2012,358,0.01, ,0.76, ,40, ,10.8, ,51.1, ,45.5, ,48.1, ,98, ,91, ,94, ,46.5, ,16.4,Y,392.5,Y,62.2,R
8,Gerber,Sacramento Valley,12/24/2012,359,0.04, ,0.00, ,194, ,8.0, ,52.1, ,35.9, ,43.3, ,100, ,63, ,84, ,38.6, ,4.7, ,114.0, ,58.2,Y
8,Gerber,Sacramento Valley,12/25/2012,360,0.00, ,0.69, ,24, ,8.0, ,42.7, ,36.7, ,40.1, ,100, ,84, ,95, ,38.8, ,4.9, ,117.4, ,57.1,Y
8,Gerber,Sacramento Valley,12/26/2012,361,0.03, ,0.07, ,147, ,7.9, ,50.2, ,33.3, ,40.2, ,100, ,72, ,93, ,38.4, ,3.8, ,92.1, ,60.3,R
8,Gerber,Sacramento Valley,12/27/2012,362,0.04, ,0.01, ,202, ,7.0, ,52.0, ,32.2, ,40.3, ,100, ,56, ,82, ,35.3, ,5.1, ,123.2, ,54.2,H
8,Gerber,Sacramento Valley,12/28/2012,363,0.00, ,0.03, ,43, ,7.1, ,40.8, ,29.7, ,36.7, ,100, ,86, ,96, ,35.6, ,4.6, ,111.4, ,53.0, 
8,Gerber,Sacramento Valley,12/29/2012,364,0.03, ,0.00, ,150, ,7.3, ,51.7, ,36.1, ,41.4, ,96, ,62, ,83, ,36.5, ,7.0, ,168.3, ,58.8,Y
8,Gerber,Sacramento Valley,12/30/2012,365,0.06, ,0.00, ,204, ,5.9, ,53.6, ,34.6, ,42.5, ,90, ,42, ,64, ,31.3, ,7.6, ,182.6, ,52.7,H
8,Gerber,Sacramento Valley,12/31/2012,366,0.04, ,0.00, ,173, ,5.3, ,50.3, ,29.3, ,38.3, ,97, ,37, ,67, ,28.3, ,4.6, ,109.4, ,47.2, 
8,Gerber,Sacramento Valley,1/1/2013,001,0.07, ,0.00, ,208, ,5.0, ,55.4, ,30.3, ,40.8, ,90, ,31, ,58, ,27.0, ,7.8, ,187.0, ,49.4,H
8,Gerber,Sacramento Valley,1/2/2013,002,0.05, ,0.00, ,211, ,5.1, ,58.1, ,29.6, ,39.5, ,91, ,30, ,63, ,27.8, ,4.1, ,97.6, ,46.3, 
8,Gerber,Sacramento Valley,1/3/2013,003,0.03, ,0.00, ,174, ,5.7, ,53.8, ,24.9, ,36.7, ,99, ,45, ,78, ,30.4, ,2.5, ,60.0, ,45.8, 
8,Gerber,Sacramento Valley,1/4/2013,004,0.04, ,0.00, ,195, ,6.2, ,55.4, ,30.9, ,40.0, ,98, ,45, ,74, ,32.4, ,3.3, ,79.2, ,46.9, 
8,Gerber,Sacramento Valley,1/5/2013,005,0.01, ,0.18, ,70, ,7.4, ,47.4, ,31.1, ,40.3, ,100, ,72, ,87, ,36.8, ,3.4, ,81.1, ,49.8, 
8,Gerber,Sacramento Valley,1/6/2013,006,0.04, ,0.01, ,196, ,8.4, ,56.3, ,34.8, ,44.3, ,100, ,59, ,85, ,40.1, ,4.4, ,104.7, ,54.9,Y
8,Gerber,Sacramento Valley,1/7/2013,007,0.04, ,0.00, ,157, ,7.8, ,60.6, ,37.6, ,45.5, ,96, ,49, ,75, ,38.0, ,4.6, ,109.9, ,53.2,Y
8,Gerber,Sacramento Valley,1/8/2013,008,0.02, ,0.00, ,141, ,8.7, ,55.1, ,34.9, ,42.1, ,100, ,74, ,95, ,40.8, ,2.8, ,66.3, ,49.8,H
8,Gerber,Sacramento Valley,1/9/2013,009,0.00, ,0.07, ,29, ,8.5, ,44.9, ,33.4, ,41.0, ,100, ,67, ,97, ,40.2, ,3.3, ,80.2, ,50.5, 
8,Gerber,Sacramento Valley,1/10/2013,010,0.04, ,0.00, ,218, ,5.6, ,50.9, ,26.1, ,37.1, ,100, ,41, ,74, ,29.6, ,3.3, ,79.1, ,45.4, 
8,Gerber,Sacramento Valley,1/11/2013,011,0.04, ,0.00, ,203, ,5.6, ,50.2, ,26.3, ,36.6, ,97, ,49, ,76, ,29.7, ,3.5, ,84.9, ,44.3, 
8,Gerber,Sacramento Valley,1/12/2013,012,0.05, ,0.00, ,203, ,4.0, ,47.6, ,27.9, ,35.4, ,81, ,29, ,58, ,22.0, ,5.7, ,135.9, ,43.4, 
8,Gerber,Sacramento Valley,1/13/2013,013,0.08, ,0.00, ,219, ,3.1, ,49.4, ,28.3, ,36.7, ,62, ,24, ,43, ,16.2, ,8.3, ,198.6, ,43.1, 
8,Gerber,Sacramento Valley,1/14/2013,014,0.08, ,0.00, ,221, ,3.4, ,52.1, ,31.5, ,39.1, ,68, ,26, ,42, ,17.8, ,7.0, ,168.9, ,42.5, 
8,Gerber,Sacramento Valley,1/15/2013,015,0.05, ,0.00, ,214, ,5.2, ,56.7, ,25.8, ,37.4, ,96, ,35, ,69, ,28.1, ,3.1, ,75.3, ,42.0, 
8,Gerber,Sacramento Valley,1/16/2013,016,0.05, ,0.00, ,232, ,6.3, ,58.2, ,27.3, ,40.1, ,100, ,44, ,75, ,32.7, ,3.5, ,84.9, ,43.2, 
8,Gerber,Sacramento Valley,1/17/2013,017,0.05, ,0.00, ,237, ,6.2, ,60.6, ,25.5, ,39.5, ,100, ,41, ,75, ,32.4, ,2.7, ,65.6, ,43.0, 
8,Gerber,Sacramento Valley,1/18/2013,018,0.07, ,0.00, ,243, ,5.2, ,64.6, ,24.9, ,42.8, ,100, ,24, ,55, ,28.0, ,4.3, ,102.8, ,44.4, 
8,Gerber,Sacramento Valley,1/19/2013,019,0.07, ,0.00, ,239, ,5.2, ,65.0, ,26.2, ,42.4, ,91, ,25, ,56, ,27.9, ,3.7, ,87.7, ,44.5, 
8,Gerber,Sacramento Valley,1/20/2013,020,0.08, ,0.00, ,246, ,5.1, ,66.1, ,29.8, ,44.0, ,93, ,23, ,52, ,27.4, ,5.3, ,128.2, ,44.7, 
8,Gerber,Sacramento Valley,1/21/2013,021,0.07, ,0.00, ,245, ,5.6, ,62.5, ,27.9, ,42.6, ,94, ,28, ,61, ,30.0, ,4.6, ,110.2, ,43.3, 
8,Gerber,Sacramento Valley,1/22/2013,022,0.05, ,0.00, ,196, ,6.5, ,61.1, ,31.8, ,43.4, ,96, ,37, ,68, ,33.5, ,3.0, ,72.1, ,43.6, 
8,Gerber,Sacramento Valley,1/23/2013,023,0.01, ,0.56, ,55, ,8.5, ,51.8, ,32.7, ,43.9, ,100, ,60, ,87, ,40.3, ,3.4, ,82.3, ,44.3, 
8,Gerber,Sacramento Valley,1/24/2013,024,0.02, ,0.04, ,98, ,11.9, ,58.6, ,44.9, ,51.9, ,100, ,80, ,90, ,49.2, ,6.2, ,149.1, ,55.7,Y
8,Gerber,Sacramento Valley,1/25/2013,025,0.02, ,0.00, ,108, ,12.4, ,58.9, ,43.4, ,52.7, ,100, ,81, ,92, ,50.3, ,2.7, ,63.7, ,58.5,R
8,Gerber,Sacramento Valley,1/26/2013,026,0.06, ,0.00, ,152, ,8.1, ,60.2, ,39.1, ,48.5, ,100, ,36, ,70, ,39.1, ,5.0, ,119.1, ,55.4,Y
