Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
86,Lindcove,San Joaquin Valley,12/23/2012,358,0.00, ,0.34, ,41, ,12.0, ,55.0, ,47.4, ,50.8, ,99, ,90, ,95, ,49.3, ,2.8, ,66.3, ,58.5, 
86,Lindcove,San Joaquin Valley,12/24/2012,359,0.01, ,0.00, ,72, ,11.8, ,59.7, ,47.0, ,50.9, ,100, ,79, ,93, ,48.9, ,2.7, ,63.8, ,59.3, 
86,Lindcove,San Joaquin Valley,12/25/2012,360,0.02, ,0.09, ,100, ,10.1, ,55.4, ,39.0, ,46.7, ,100, ,63, ,93, ,44.7, ,2.8, ,68.2, ,59.4, 
86,Lindcove,San Joaquin Valley,12/26/2012,361,0.02, ,0.38, ,126, ,10.1, ,54.0, ,43.6, ,47.3, ,99, ,76, ,91, ,44.7, ,2.8, ,66.4, ,59.3, 
86,Lindcove,San Joaquin Valley,12/27/2012,362,0.03, ,0.00, ,173, ,9.4, ,53.1, ,36.8, ,45.6, ,100, ,72, ,90, ,42.8, ,2.2, ,53.7, ,59.1, 
86,Lindcove,San Joaquin Valley,12/28/2012,363,0.04, ,0.00, ,203, ,8.1, ,54.1, ,31.1, ,43.3, ,99, ,60, ,85, ,39.1, ,2.1, ,49.7, ,58.4, 
86,Lindcove,San Joaquin Valley,12/29/2012,364,0.01, ,0.00, ,92, ,8.7, ,54.1, ,40.1, ,46.2, ,99, ,61, ,82, ,41.0, ,2.7, ,65.0, ,58.3, 
86,Lindcove,San Joaquin Valley,12/30/2012,365,0.03, ,0.00, ,179, ,8.7, ,51.9, ,34.2, ,43.4, ,100, ,72, ,91, ,40.8, ,2.1, ,50.1, ,58.1, 
86,Lindcove,San Joaquin Valley,12/31/2012,366,0.04, ,0.00, ,193, ,8.6, ,52.0, ,37.4, ,44.3, ,99, ,63, ,86, ,40.5, ,2.8, ,67.5, ,58.2, 
86,Lindcove,San Joaquin Valley,1/1/2013,001,0.04, ,0.00, ,176, ,7.8, ,55.0, ,32.1, ,42.6, ,99, ,60, ,84, ,38.3, ,2.1, ,49.8, ,57.7, 
86,Lindcove,San Joaquin Valley,1/2/2013,002,0.05, ,0.00, ,243, ,6.9, ,53.8, ,27.4, ,38.2, ,99, ,61, ,88, ,34.9, ,2.0, ,47.2, ,56.6, 
86,Lindcove,San Joaquin Valley,1/3/2013,003,0.05, ,0.00, ,243, ,7.1, ,59.3, ,28.3, ,39.7, ,100, ,51, ,86, ,35.8, ,1.9, ,46.1, ,55.9, 
86,Lindcove,San Joaquin Valley,1/4/2013,004,0.05, ,0.00, ,233, ,7.4, ,58.0, ,28.6, ,40.0, ,99, ,57, ,89, ,36.9, ,1.8, ,43.4, ,55.5, 
86,Lindcove,San Joaquin Valley,1/5/2013,005,0.05, ,0.00, ,206, ,7.8, ,62.7, ,31.5, ,45.4, ,100, ,39, ,75, ,38.1, ,2.0, ,47.5, ,55.5, 
86,Lindcove,San Joaquin Valley,1/6/2013,006,0.02, ,0.16, ,95, ,9.4, ,51.4, ,41.8, ,47.0, ,99, ,74, ,86, ,43.0, ,3.0, ,72.4, ,56.4, 
86,Lindcove,San Joaquin Valley,1/7/2013,007,0.02, ,0.00, ,94, ,9.1, ,50.5, ,38.6, ,45.8, ,99, ,73, ,87, ,42.1, ,2.4, ,56.9, ,56.8, 
86,Lindcove,San Joaquin Valley,1/8/2013,008,0.05, ,0.00, ,243, ,8.4, ,59.7, ,34.3, ,44.2, ,99, ,58, ,85, ,40.1, ,2.3, ,55.1, ,56.5, 
86,Lindcove,San Joaquin Valley,1/9/2013,009,0.04, ,0.00, ,170, ,10.2, ,62.8, ,34.8, ,48.2, ,100, ,66, ,89, ,45.1, ,2.2, ,52.6, ,56.4, 
86,Lindcove,San Joaquin Valley,1/10/2013,010,0.04, ,0.11, ,198, ,7.6, ,49.8, ,32.7, ,42.4, ,97, ,60, ,82, ,37.4, ,3.3, ,78.1, ,56.8, 
86,Lindcove,San Joaquin Valley,1/11/2013,011,0.04, ,0.00, ,235, ,6.3, ,48.6, ,27.0, ,37.1, ,99, ,57, ,84, ,32.6, ,2.3, ,54.8, ,55.5, 
86,Lindcove,San Joaquin Valley,1/12/2013,012,0.05, ,0.00, ,257, ,6.3, ,49.1, ,28.3, ,38.3, ,99, ,55, ,80, ,32.7, ,2.5, ,61.1, ,54.8, 
86,Lindcove,San Joaquin Valley,1/13/2013,013,0.04, ,0.00, ,218, ,5.9, ,47.6, ,26.7, ,36.4, ,98, ,56, ,81, ,31.2, ,2.3, ,54.5, ,54.2, 
86,Lindcove,San Joaquin Valley,1/14/2013,014,0.05, ,0.00, ,241, ,5.5, ,47.8, ,26.4, ,35.1, ,99, ,47, ,80, ,29.5, ,2.1, ,51.2, ,53.4, 
86,Lindcove,San Joaquin Valley,1/15/2013,015,0.05, ,0.00,R,138, ,6.2, ,56.6, ,30.6, ,40.2, ,98, ,43, ,73, ,32.4, ,2.0, ,46.9, ,53.1, 
86,Lindcove,San Joaquin Valley,1/16/2013,016,0.06, ,0.00, ,259, ,6.5, ,58.1, ,27.5, ,39.4, ,99, ,47, ,79, ,33.4, ,1.9, ,44.8, ,52.8, 
86,Lindcove,San Joaquin Valley,1/17/2013,017,0.06, ,0.00, ,267, ,7.3, ,63.9, ,27.9, ,42.3, ,99, ,44, ,80, ,36.6, ,1.8, ,43.4, ,53.1, 
86,Lindcove,San Joaquin Valley,1/18/2013,018,0.06, ,0.00, ,270, ,7.7, ,66.2, ,30.3, ,44.4, ,99, ,41, ,77, ,37.8, ,1.8, ,43.6, ,53.6, 
86,Lindcove,San Joaquin Valley,1/19/2013,019,0.06, ,0.00, ,273, ,7.6, ,65.3, ,29.6, ,43.8, ,99, ,40, ,78, ,37.3, ,1.8, ,43.6, ,53.8, 
86,Lindcove,San Joaquin Valley,1/20/2013,020,0.07, ,0.00, ,273, ,7.7, ,65.3, ,28.6, ,44.1, ,98, ,44, ,78, ,37.8, ,2.0, ,48.3, ,53.9, 
86,Lindcove,San Joaquin Valley,1/21/2013,021,0.07, ,0.00, ,279, ,7.7, ,68.8, ,30.3, ,45.0, ,99, ,38, ,76, ,37.8, ,2.0, ,48.5, ,54.0, 
86,Lindcove,San Joaquin Valley,1/22/2013,022,0.07, ,0.00, ,259, ,7.9, ,69.9, ,32.9, ,47.2, ,98, ,34, ,72, ,38.5, ,2.1, ,51.5, ,54.3, 
86,Lindcove,San Joaquin Valley,1/23/2013,023,0.04, ,0.00, ,94, ,8.9, ,69.4, ,39.7, ,54.1, ,87, ,37, ,63, ,41.6, ,2.6, ,61.2, ,55.1, 
86,Lindcove,San Joaquin Valley,1/24/2013,024,0.02, ,0.15, ,114, ,13.8, ,64.3, ,51.3, ,56.0, ,99, ,62, ,90, ,53.2, ,2.6, ,62.2, ,56.9, 
86,Lindcove,San Joaquin Valley,1/25/2013,025,0.01, ,0.01, ,79, ,14.4,Y,58.7, ,51.7, ,54.6, ,100, ,94, ,99,Y,54.3,Y,1.9, ,45.9, ,58.2,Y
86,Lindcove,San Joaquin Valley,1/26/2013,026,0.02, ,0.03, ,92, ,14.6,Y,60.1, ,50.6, ,55.4, ,100, ,88, ,98,Y,54.8,Y,1.9, ,45.8, ,59.2,Y
86,Lindcove,San Joaquin Valley,1/27/2013,027,0.05, ,0.12, ,239, ,9.0, ,55.0, ,36.2, ,46.7, ,98, ,59, ,83, ,41.7, ,2.8, ,66.4, ,59.1,Y
