,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
1,1,52,43.8,37,40,32.8,0,89,72.3,50,10,4.6,0,30.3,30.2,30.2,0.00
2,2,55,44.9,37,41,28.4,0,86,66.3,43,8,6.1,3,30.2,30.1,30.0,0.00
3,3,55,49.4,38,46,39.1,30,80,68.4,54,21,10.3,3,30.3,30.1,30.0,0.00
4,4,53,45.9,40,45,39.6,37,89,79.2,57,7,4.0,0,30.3,30.2,30.1,0.00
5,5,52,46.3,41,44,41.1,38,96,82.7,66,12,4.9,0,30.1,30.1,30.1,0.00
6,6,50,43.5,37,43,40.1,35,97,88.2,74,7,1.7,0,30.2,30.2,30.1,0.00
7,7,50,48.5,46,49,46.8,41,100,94.4,74,12,5.7,0,30.3,30.2,30.2,0.00
8,8,52,48.7,46,48,45.8,44,100,89.8,80,14,4.8,0,30.3,30.2,30.1,0.00
9,9,50,45.6,37,48,43.1,36,100,90.4,76,21,12.5,0,30.1,30.0,29.9,0.00
10,10,45,39.7,36,40,36.6,35,100,88.8,76,10,3.3,0,30.2,30.1,30.0,0.00
11,11,48,31.7,0,43,29.1,0,100,68.0,0,10,4.1,0,30.2,30.2,30.2,0.00
12,12,47,20.0,0,33,13.7,0,72,30.8,0,9,5.4,0,30.2,30.2,30.2,0.00
13,13,48,38.5,31,34,24.0,0,72,59.8,45,18,8.1,3,30.3,30.3,30.2,0.00
14,14,50,40.5,33,34,26.1,22,73,57.2,35,10,5.7,0,30.4,30.4,30.3,0.00
15,15,49,41.5,34,37,29.4,0,89,67.3,48,7,3.6,0,30.4,30.4,30.4,0.00
16,16,53,44.6,34,45,40.1,0,100,88.3,55,9,3.3,0,30.4,30.3,30.2,0.00
17,17,46,39.3,32,45,36.3,0,100,97.0,83,8,1.8,0,30.2,30.2,30.1,0.00
18,18,46,38.1,34,41,36.9,34,100,95.6,81,7,1.6,0,30.2,30.2,30.1,0.00
19,19,50,37.7,30,42,35.7,0,100,96.6,74,8,1.9,0,30.2,30.2,30.1,0.00
20,20,54,40.6,30,43,34.6,0,100,85.8,43,8,3.0,0,30.2,30.2,30.1,0.00
21,21,62,47.6,36,43,33.5,27,76,59.8,30,8,4.0,0,30.1,30.1,30.0,0.00
22,22,60,48.7,41,38,29.5,0,74,57.2,35,13,5.7,0,30.0,29.9,29.9,0.00
23,23,54,48.0,46,50,46.0,36,100,93.1,57,16,4.2,0,30.1,29.9,29.8,0.00
24,24,52,47.5,44,52,46.6,43,100,96.8,88,8,2.5,0,30.2,30.1,30.1,0.00
25,25,49,47.9,44,49,47.8,44,100,99.6,93,16,8.5,0,30.1,30.1,30.0,0.00
26,26,49,44.5,38,46,43.2,38,100,95.4,74,10,3.7,0,30.1,30.0,30.0,0.00
27,27,48,42.6,37,43,39.5,36,100,89.5,74,9,3.6,0,30.2,30.2,30.1,0.00
28,28,47,44.6,40,45,43.1,39,100,93.9,87,12,4.0,0,30.4,30.3,30.2,0.00
29,29,49,45.7,39,45,43.7,38,100,92.3,86,16,6.5,0,30.5,30.4,30.4,0.00
30,30,52,41.1,34,47,39.2,33,100,93.5,68,20,4.5,0,30.5,30.4,30.3,0.00
31,31,52,45.1,38,43,39.0,35,93,79.9,63,8,4.5,0,30.3,30.3,30.2,0.00
1,1,57,48.2,43,44,37.3,33,82,66.4,45,7,5.2,0,30.2,30.1,30.1,0.00
2,2,52,47.7,42,46,42.2,36,93,81.1,71,10,4.9,0,30.3,30.2,30.1,0.00
3,3,52,46.6,41,45,41.7,37,93,83.3,71,10,4.2,0,30.3,30.2,30.2,0.00
4,4,49,46.0,40,45,42.7,39,97,88.0,80,12,5.0,0,30.2,30.1,30.0,0.00
5,5,52,48.0,46,49,45.7,41,100,91.4,80,15,10.7,6,30.1,30.1,30.0,0.00
6,6,52,48.3,43,46,43.9,39,93,84.5,71,23,10.8,0,30.1,30.1,30.0,0.00
7,7,46,41.7,38,42,38.4,35,93,88.6,76,13,6.7,0,30.0,30.0,30.0,0.00
8,8,52,42.4,34,41,31.2,0,93,78.8,64,25,9.7,3,30.2,30.1,30.0,0.00
9,9,52,47.0,41,43,36.2,0,80,69.8,59,24,13.5,7,30.2,30.1,30.1,0.00
10,10,53,48.2,43,43,41.0,36,86,76.3,66,18,12.3,6,30.1,30.1,30.1,0.00
11,11,52,45.3,36,44,40.4,35,100,83.6,68,14,8.1,0,30.3,30.2,30.1,0.00
12,12,54,48.8,46,47,44.2,41,93,84.3,71,22,13.8,8,30.4,30.4,30.3,0.00
13,13,53,46.9,41,46,44.2,40,100,89.9,77,21,9.7,0,30.4,30.4,30.3,0.00
14,14,57,51.1,47,46,43.4,39,93,75.9,51,17,10.0,5,30.4,30.3,30.2,0.00
15,15,65,54.6,43,41,39.2,37,89,57.7,37,10,5.3,0,30.2,30.2,30.1,0.00
