,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
1,1,56,41.1,26,26,20.8,15,89,51.8,21,20,7.2,0,29.8,29.7,29.7,0.00
2,2,58,39.4,26,29,25.3,21,88,61.2,28,7,1.9,0,29.7,29.7,29.6,0.00
3,3,53,37.3,24,31,26.6,21,89,68.8,35,3,0.5,0,29.7,29.7,29.6,0.00
4,4,56,38.8,27,34,24.8,0,89,70.0,36,6,1.1,0,29.8,29.7,29.6,0.00
5,5,45,38.8,30,39,30.9,0,93,81.7,68,8,1.7,0,29.7,29.7,29.6,0.00
6,6,57,44.5,39,39,35.6,0,100,76.8,47,8,3.3,0,29.6,29.6,29.6,0.00
7,7,61,48.0,39,42,29.3,0,79,64.5,42,6,2.4,0,29.7,29.6,29.6,0.00
8,8,58,44.7,37,45,39.3,34,96,82.3,58,8,2.6,0,29.7,29.6,29.6,0.00
9,9,45,43.2,35,43,39.9,26,93,89.2,51,9,1.9,0,29.6,29.5,29.4,0.00
10,10,48,32.6,27,33,26.4,0,100,81.6,45,8,1.4,0,29.6,29.5,29.5,0.00
11,11,45,34.4,25,31,26.0,22,89,72.7,53,9,2.7,0,29.7,29.6,29.6,0.00
12,12,48,37.8,25,23,15.7,11,78,43.2,25,13,6.8,0,29.7,29.7,29.6,0.00
13,13,46,39.3,34,12,8.4,3,40,29.0,17,25,15.3,7,29.8,29.7,29.7,0.00
14,14,54,42.5,34,22,12.1,8,61,30.6,20,22,10.7,0,29.9,29.8,29.8,0.00
15,15,58,39.4,26,31,25.1,20,79,59.5,32,6,0.9,0,30.0,29.9,29.9,0.00
16,16,71,47.3,28,31,21.9,14,85,49.5,13,18,6.0,0,29.9,29.8,29.7,0.00
17,17,71,48.0,28,29,19.4,0,86,48.2,11,21,6.5,0,29.8,29.7,29.6,0.00
18,18,68,43.3,26,31,24.1,17,85,54.9,14,6,0.8,0,29.7,29.7,29.6,0.00
19,19,80,47.3,28,31,25.0,20,75,48.8,14,3,0.5,0,29.8,29.7,29.6,0.00
20,20,80,49.5,28,33,21.8,15,72,43.8,10,13,3.0,0,29.7,29.7,29.6,0.00
21,21,86,48.6,28,31,25.7,20,75,48.9,10,8,2.2,0,29.7,29.6,29.6,0.00
22,22,59,37.6,0,34,22.5,0,79,56.6,0,3,0.6,0,29.6,29.6,29.5,0.00
23,23,50,43.8,35,45,37.4,0,96,85.0,66,5,1.1,0,29.6,29.5,29.5,0.00
24,24,59,51.3,46,49,46.5,44,93,83.9,69,8,3.1,0,29.6,29.6,29.6,0.00
25,25,57,50.6,46,49,46.8,45,96,86.7,72,5,0.7,0,29.6,29.6,29.5,0.00
26,26,58,47.1,44,46,40.3,28,100,81.3,34,12,1.9,0,29.5,29.4,29.4,0.00
27,27,56,46.9,38,31,26.5,24,65,46.3,29,8,4.0,0,29.6,29.6,29.5,0.00
28,28,56,44.7,36,34,22.3,0,82,62.0,39,7,1.3,0,29.7,29.6,29.6,0.00
29,29,61,46.9,34,37,32.6,0,89,64.2,39,8,3.3,0,29.8,29.8,29.7,0.00
30,30,70,55.5,43,36,33.2,27,74,46.6,23,16,8.2,0,29.8,29.8,29.7,0.00
31,31,64,46.6,33,38,34.6,29,89,66.3,35,5,0.8,0,29.8,29.7,29.6,0.00
1,1,68,46.5,30,37,27.4,0,93,64.2,26,5,0.3,0,29.7,29.7,29.6,0.00
2,2,65,46.3,33,38,31.2,0,86,65.9,33,3,0.4,0,29.8,29.7,29.6,0.00
3,3,69,47.8,32,41,32.2,0,92,65.1,27,6,0.5,0,29.7,29.6,29.6,0.00
4,4,61,47.4,36,42,35.6,0,89,69.6,41,3,0.5,0,29.6,29.6,29.5,0.00
5,5,58,46.4,37,44,38.7,33,93,75.7,59,8,2.1,0,29.6,29.5,29.5,0.00
6,6,58,43.4,30,38,30.8,0,93,67.7,31,12,3.4,0,29.6,29.6,29.5,0.00
7,7,50,44.6,37,41,37.1,34,93,76.0,54,14,7.0,0,29.5,29.5,29.4,0.00
8,8,56,42.2,32,37,22.2,0,93,66.9,24,15,5.5,0,29.5,29.5,29.4,0.00
9,9,59,48.2,38,30,24.0,21,62,40.3,25,15,8.5,0,29.6,29.5,29.5,0.00
10,10,62,49.3,35,31,26.7,21,76,45.4,23,21,7.8,0,29.6,29.6,29.5,0.00
11,11,67,49.9,39,33,28.0,0,77,49.4,22,14,4.9,0,29.7,29.6,29.6,0.00
12,12,67,48.3,32,35,23.9,0,88,57.0,23,13,3.1,0,29.8,29.8,29.7,0.00
13,13,73,54.1,33,37,24.5,0,85,47.8,22,13,5.5,0,29.8,29.7,29.6,0.00
14,14,71,59.0,0,34,24.2,0,47,31.2,0,24,15.5,6,29.8,29.7,29.7,0.00
15,15,73,57.0,39,37,30.8,26,68,40.7,18,9,2.4,0,29.7,29.7,29.6,0.00
16,16,69,50.6,35,38,28.9,0,82,58.2,26,6,1.2,0,29.7,29.6,29.5,0.00
17,17,66,52.0,37,36,24.4,13,79,39.4,13,18,8.7,0,29.5,29.5,29.4,0.00
18,18,57,45.5,30,40,29.2,0,79,61.0,37,17,4.8,0,29.4,29.4,29.3,0.00
19,19,49,43.0,36,38,31.2,0,87,74.5,54,25,9.5,3,29.3,29.2,29.2,0.00
20,20,58,46.8,36,30,27.2,23,76,49.4,26,18,8.8,0,29.5,29.4,29.3,0.00
21,21,60,47.0,32,30,26.5,23,82,48.8,25,15,5.8,0,29.6,29.6,29.5,0.00
22,22,62,51.7,38,35,26.3,0,73,48.1,30,17,7.3,0,29.7,29.6,29.5,0.00
23,23,58,49.8,42,36,20.9,0,54,35.2,21,17,9.0,5,29.8,29.7,29.6,0.00
24,24,65,50.6,40,30,22.7,17,68,36.2,17,20,7.9,0,29.8,29.7,29.6,0.00
25,25,62,48.6,36,33,26.2,0,73,46.9,24,9,2.9,0,29.7,29.7,29.6,0.00
26,26,67,51.7,39,27,20.5,14,61,32.2,14,15,8.5,0,29.7,29.7,29.6,0.00
27,27,65,49.7,32,37,26.7,0,76,47.8,20,6,2.5,0,29.8,29.7,29.7,0.00
28,28,67,56.7,49,43,38.4,34,71,52.2,30,5,1.5,0,29.9,29.9,29.8,0.00
1,1,76,56.1,39,43,38.1,34,89,57.0,22,8,2.3,0,29.9,29.8,29.7,0.00
2,2,67,55.2,43,46,41.9,37,80,62.8,40,5,0.7,0,29.7,29.6,29.5,0.00
3,3,68,57.5,47,47,43.3,39,83,61.8,35,12,2.9,0,29.5,29.5,29.4,0.00
4,4,65,53.7,42,47,43.4,39,90,69.9,47,14,3.4,0,29.6,29.5,29.4,0.00
5,5,60,51.8,44,46,35.4,0,82,64.3,33,26,12.4,0,29.4,29.3,29.1,0.00
6,6,53,46.9,40,43,39.2,35,89,75.3,55,35,17.1,3,29.5,29.3,29.1,0.00
7,7,58,45.9,35,39,25.3,0,97,65.9,33,7,3.4,0,29.5,29.4,29.4,0.00
8,8,65,52.7,37,31,26.6,0,79,42.4,20,14,7.8,0,29.5,29.3,29.3,0.00
9,9,70,56.9,47,29,26.0,22,48,32.1,16,14,7.2,3,29.8,29.7,29.5,0.00
10,10,76,60.0,38,37,25.9,18,65,31.4,11,15,5.9,0,29.8,29.7,29.6,0.00
11,11,79,58.7,40,44,38.5,34,79,52.5,22,10,3.4,0,29.7,29.6,29.5,0.00
12,12,74,57.4,42,49,43.5,38,86,63.1,35,3,0.5,0,29.6,29.6,29.5,0.00
13,13,76,60.3,45,47,44.2,40,90,59.9,29,5,1.1,0,29.6,29.6,29.5,0.00
14,14,74,59.9,47,50,46.0,41,80,62.4,38,6,1.6,0,29.6,29.6,29.5,0.00
