"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1","Alameda","Alfalfa & Hay","134","1102.856805","0.222395","212.832015","8.2302746641791","0.222395","0.88958","4.5590975","32.7365439999999","0.0030007352073557","0.000579089250542329","0.83520540070368","Alfalfa & Hay","0.3","#DEBB27"
"2","Alameda","Almonds","9","4.225505","0.222395","1.111975","0.469500555555556","0.222395","0.44479","0.667185","0.934059","0.0000114970697599835","0.00000302554467367988","0.315789473684211","Almonds","0","#84784f"
"3","Alameda","Barren","64","194.595625","0.222395","67.830475","3.040556640625","0.222395","0.222395","1.16757375","17.8027197499999","0.000529470317893979","0.000184558225094473","0.834089285714286","Barren","0.05","#474747"
"4","Alameda","Corn","8","4.670295","0.44479","1.111975","0.583786875","0.44479","0.44479","0.667185","0.9562985","0.0000127072876294555","0.00000302554467367988","0.172619047619048","Corn","0","#f9f900"
"5","Alameda","Deciduous Forest","9","5.33748","0.222395","1.556765","0.593053333333333","0.222395","0.44479","0.44479","1.467807","0.0000145226144336634","0.00000423576254315183","0.37962962962963","Deciduous Forest","0","#199301"
"6","Alameda","Evergreen Forest","448","7838.756565","0.222395","2596.23923","17.4972244754464","0.44479","1.33437","4.670295","35.34968525","0.0213282746226389","0.00706404170410778","0.907424555382626","Evergreen Forest","2.13","#0e5100"
"7","Alameda","Fallow","155","1536.74945","0.222395","149.671835","9.91451258064516","0.222395","1.111975","5.2262825","60.7360745","0.00418130273902559","0.000407238313077312","0.81380701181084","Fallow","0.42","#562c0a"
"8","Alameda","Fruit Trees","4","1.77916","0.222395","0.88958","0.44479","0.222395","0.3335925","0.5559875","0.8228615","0.00000484087147788781","0.0000024204357389439","0.3125","Fruit Trees","0","#f97020"
"9","Alameda","Grain Crops","57","991.214515","0.222395","364.950195","17.3897283333333","0.222395","2.446345","9.118195","53.7306319999996","0.00269697052211824","0.000992983761901736","0.827478163661341","Grain Crops","0.27","#8eeaff"
"10","Alameda","Grapes","371","3722.44751","0.222395","608.91751","10.0335512398922","0.3335925","1.111975","8.673405","41.143075","0.0101283133496108","0.0016567882633071","0.814337922103102","Grapes","1.01","#7f00ff"
"11","Alameda","Grassland","1727","153671.38668","0.222395","15208.25968","88.9816946612623","2.66874","7.783825","45.146185","314.889080499999","0.418120592159604","0.041379769392985","0.859870323747869","Grassland","41.81","#94a843"
"12","Alameda","High Intensity Developed","2047","28431.42159","0.222395","2706.324755","13.8893119638495","2.22395","5.78227","10.007775","34.6269015","0.0773583364345166","0.00736357062680209","0.711712751925471","High Intensity Developed","7.74","#700101"
"13","Alameda","Low Intensity Developed","2613","39470.886995","0.222395","2612.25167","15.1055824703406","1.111975","2.891135","6.449455","31.802485","0.107395338845876","0.00710760954740877","0.841553106810679","Low Intensity Developed","10.74","#fc8f8f"
"14","Alameda","Mixed Forest","1048","74885.956375","0.222395","15834.07921","71.4560652433206","2.001555","6.67185","27.799375","196.7528565","0.203755306048971","0.043082545935332","0.884187764496251","Mixed Forest","20.38","#287a30"
"15","Alameda","Other Tree Crops","10","8.673405","0.222395","3.55832","0.8673405","0.222395","0.44479","1.0007775","2.65762025","0.0000235992484547031","0.00000968174295577561","0.52051282051282","Other Tree Crops","0","#48CA3B"
"16","Alameda","Rice","1","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","0.0000024204357389439","0.0000024204357389439","0","Rice","0","#0083ff"
"17","Alameda","Shrubland","689","30958.051185","0.222395","6952.290095","44.9318594847605","0.44479","1.77916","16.01244","153.363592","0.084232979042052","0.0189163104087813","0.888788879366506","Shrubland","8.42","#686b3e"
"18","Alameda","Tomatoes","4","4.670295","0.222395","3.335925","1.16757375","0.222395","0.5559875","1.50116625","2.96897325","0.0000127072876294555","0.00000907663402103964","0.535714285714286","Tomatoes","0","#ff0000"
"19","Alameda","Vegs & Fruits","16","164.12751","0.222395","158.79003","10.257969375","0.222395","0.222395","0.44479","40.53148875","0.00044657039383515","0.000432047779401487","0.913787262872629","Vegs & Fruits","0.04","#016d06"
"20","Alameda","Walnuts","11","4.670295","0.222395","1.556765","0.424572272727273","0.222395","0.222395","0.3335925","1.2231725","0.0000127072876294555","0.00000423576254315183","0.38961038961039","Walnuts","0","#f59bff"
"21","Alameda","Water","126","19403.51896","0.222395","7753.801675","153.996182222222","0.44479","1.2231725","13.4548975","436.2277925","0.0527945443378444","0.0210971230095698","0.950835822133732","Water","5.28","#0a00ce"
"22","Alameda","Wetlands","176","4497.494085","0.222395","1446.45708","25.5539436647727","0.222395","0.667185","2.446345","44.256605","0.0122371179871656","0.00393562851152279","0.945042042588771","Wetlands","1.22","#3b3872"
"23","Alameda","Winter Wheat","66","624.48516","0.222395","121.650065","9.46189636363636","0.222395","1.111975","4.61469625","55.43195375","0.00169914588873862","0.000330994587300579","0.82155961322628","Winter Wheat","0.17","#05006d"
