"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"24","Alpine","Alfalfa & Hay","7","189.03575","0.44479","179.69516","27.0051071428571","0.5559875","1.77916","3.0023325","126.854108","0.00040080046926662","0.000380996210785211","0.824873949579832","Alfalfa & Hay","0.04","#DEBB27"
"25","Alpine","Barren","19","15482.472715","0.222395","15422.426065","814.866985","0.3335925","0.88958","5.0038875","1565.86095549997","0.0328265014928639","0.0326991884026262","0.946098313857097","Barren","3.28","#474747"
"26","Alpine","Deciduous Forest","7","194.595625","0.222395","187.70138","27.799375","0.3335925","0.667185","2.66874","132.725336","0.000412588718362697","0.000397971289483562","0.838857142857143","Deciduous Forest","0.04","#199301"
"27","Alpine","Evergreen Forest","156","195088.00753","0.222395","184846.940175","1250.56415083333","3.2247275","10.452565","34.52682375","284.49880375","0.413632685702646","0.391919202397636","0.984046988388004","Evergreen Forest","41.36","#0e5100"
"28","Alpine","Fallow","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","9.43059927686165e-7","9.43059927686165e-7","0","Fallow","0","#562c0a"
"29","Alpine","Fruit Trees","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","4.71529963843082e-7","4.71529963843082e-7","0","Fruit Trees","0","#f97020"
"30","Alpine","Grassland","141","5644.82989","0.222395","3355.94055","40.0342545390071","0.44479","1.556765","6.449455","58.045095","0.0119683735422651","0.00711538715439211","0.930207982313931","Grassland","1.2","#94a843"
"31","Alpine","High Intensity Developed","25","121.42767","0.222395","91.404345","4.8571068","0.222395","0.222395","2.001555","6.62737099999999","0.000257455360258323","0.000193798815139507","0.861538461538462","High Intensity Developed","0.03","#700101"
"32","Alpine","Low Intensity Developed","171","3192.480225","0.222395","2054.48501","18.669475","0.44479","1.556765","3.8919125","38.1407425","0.00676881263096745","0.0043559938059824","0.914439820670916","Low Intensity Developed","0.68","#fc8f8f"
"33","Alpine","Mixed Forest","1","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.00000141458989152925","0.00000141458989152925","0","Mixed Forest","0","#287a30"
"34","Alpine","Shrubland","260","247783.390805","0.44479","222220.864715","953.013041557692","4.89269","10.452565","39.4751125","435.271494","0.525359352985445","0.471160755881393","0.980202200804511","Shrubland","52.54","#686b3e"
"35","Alpine","Water","15","2650.50361","0.222395","1937.282845","176.700240666667","0.667185","10.897355","94.74027","782.163214999998","0.00561969410908186","0.00410749751503709","0.853208032667673","Water","0.56","#0a00ce"
"36","Alpine","Wetlands","46","1297.45243","0.222395","224.396555","28.2054876086957","0.667185","2.7799375","15.06726125","150.0054275","0.00275090580906054","0.00047577373351767","0.779478618592658","Wetlands","0.28","#3b3872"
