"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"37","Amador","Alfalfa & Hay","61","1326.80857","0.222395","360.2799","21.7509601639344","0.222395","2.001555","7.11664","111.419895","0.00414290307370632","0.00112495859527392","0.84922209460165","Alfalfa & Hay","0.41","#DEBB27"
"38","Amador","Almonds","24","16.679625","0.222395","3.11353","0.694984375","0.222395","0.44479","0.667185","1.77916","0.0000520814164478669","0.00000972186440360181","0.468333333333333","Almonds","0.01","#84784f"
"39","Amador","Barren","87","1873.01069","0.222395","1514.50995","21.5288585057471","0.222395","0.44479","1.33437","35.5609605000001","0.00584839585765246","0.00472899261346631","0.956938177788333","Barren","0.58","#474747"
"40","Amador","Corn","8","242.632945","0.222395","140.331245","30.329118125","0.5559875","11.11975","38.52993375","105.69322375","0.00075761100459497","0.000438178317048053","0.678620531622365","Corn","0.08","#f9f900"
"41","Amador","Deciduous Forest","2454","17190.911105","0.222395","1061.26894","7.00526124898126","0.44479","0.88958","3.55832","25.4419879999999","0.0536778854667155","0.00331376692385627","0.831634946309156","Deciduous Forest","5.37","#199301"
"42","Amador","Evergreen Forest","3605","114386.866695","0.222395","43158.640885","31.73006010957","3.335925","5.78227","14.900465","69.5651559999999","0.357168104229497","0.134761012268298","0.830190121336498","Evergreen Forest","35.72","#0e5100"
"43","Amador","Fallow","42","168.13062","0.222395","82.953335","4.00311","0.222395","0.44479","1.72356125","8.36205199999999","0.000524980677794498","0.000259018244467391","0.819916855631141","Fallow","0.05","#562c0a"
"44","Amador","Fruit Trees","12","12.00933","0.222395","4.00311","1.0007775","0.222395","0.5559875","1.05637625","3.14688925","0.0000374986198424641","0.000012499539947488","0.521604938271605","Fruit Trees","0","#f97020"
"45","Amador","Grain Crops","8","120.0933","0.222395","84.95489","15.0116625","0.38919125","0.5559875","8.61780625","66.585063","0.000374986198424641","0.000265268014441135","0.786111111111111","Grain Crops","0.04","#8eeaff"
"46","Amador","Grapes","235","2587.34343","0.222395","216.390335","11.0099720425532","0.44479","2.22395","11.0085525","46.2359204999999","0.0080788693193931","0.000675669576050326","0.744164389774652","Grapes","0.81","#7f00ff"
"47","Amador","Grassland","2865","112912.61024","0.222395","6547.975985","39.4110332425829","1.33437","5.78227","22.906685","149.271524","0.352564801434392","0.0204457752596606","0.831437590375679","Grassland","35.26","#94a843"
"48","Amador","High Intensity Developed","213","440.119705","0.222395","69.164845","2.06628969483568","0.222395","0.667185","1.556765","8.095178","0.00137425497533771","0.000215964273537155","0.702355958218572","High Intensity Developed","0.14","#700101"
"49","Amador","Low Intensity Developed","2564","8263.975805","0.222395","623.373185","3.22307948712949","0.44479","1.111975","2.446345","9.30723074999998","0.0258039113838171","0.00194645613737828","0.724635162913984","Low Intensity Developed","2.58","#fc8f8f"
"50","Amador","Mixed Forest","905","1727.11957","0.222395","293.783795","1.90841941436464","0.222395","0.44479","1.33437","6.004665","0.00539285706845512","0.000917327348368428","0.732475175115214","Mixed Forest","0.54","#287a30"
"51","Amador","Other Tree Crops","3","1.33437","0.222395","0.88958","0.44479","0.222395","0.222395","0.5559875","0.8228615","0.00000416651331582935","0.00000277767554388623","0.333333333333333","Other Tree Crops","0","#48CA3B"
"52","Amador","Rice","2","1.111975","0.44479","0.667185","0.5559875","0.50038875","0.5559875","0.61158625","0.65606525","0.00000347209442985779","0.00000208325665791467","0.0999999999999999","Rice","0","#0083ff"
"53","Amador","Shrubland","3113","52457.865415","0.222395","31261.62036","16.8512256392547","0.44479","1.33437","3.335925","21.34992","0.163797443566313","0.09761307396325","0.926251799299412","Shrubland","16.38","#686b3e"
"54","Amador","Vegs & Fruits","5","1.77916","0.222395","0.667185","0.355832","0.222395","0.222395","0.44479","0.622706","0.00000555535108777246","0.00000208325665791467","0.25","Vegs & Fruits","0","#016d06"
"55","Amador","Walnuts","18","122.094855","0.222395","64.716945","6.7830475","0.222395","1.111975","2.891135","26.7207592499999","0.000381235968398385","0.000202075895817723","0.781521959117588","Walnuts","0.04","#f59bff"
"56","Amador","Water","126","5822.74589","0.222395","3686.641915","46.212268968254","0.27799375","0.88958","2.001555","40.08669875","0.0181812752725073","0.0115113818727505","0.966190876319973","Water","1.82","#0a00ce"
"57","Amador","Wetlands","88","105.86002","0.222395","15.12286","1.20295477272727","0.222395","0.44479","0.88958","4.14766675","0.000330543389722462","0.0000472204842460659","0.649446142093201","Wetlands","0.03","#3b3872"
"58","Amador","Winter Wheat","20","479.48362","0.222395","126.987545","23.974181","0.222395","1.4455675","49.81648","89.803101","0.00149716711815468","0.00039651318388976","0.707560296846011","Winter Wheat","0.15","#05006d"
