"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"443","Mendocino","Alfalfa & Hay","410","5976.865625","0.222395","522.405855","14.5777210365854","0.667185","2.66874","10.67496","61.647894","0.0026979377816898","0.00023581231066751","0.788237413499716","Alfalfa & Hay","0.27","#DEBB27"
"444","Mendocino","Almonds","4","3.55832","0.44479","1.556765","0.88958","0.61158625","0.7783825","1.05637625","1.45668725","0.00000160621412119207","7.0271867802153e-7","0.25","Almonds","0","#84784f"
"445","Mendocino","Barren","403","1689.75721","0.222395","383.631375","4.19294593052109","0.222395","0.667185","2.22395","11.3199055","0.000762750930801083","0.00017316995994102","0.827208021962159","Barren","0.08","#474747"
"446","Mendocino","Deciduous Forest","4856","39866.305305","0.222395","7319.90903","8.20970043348435","0.44479","1.111975","3.780715","22.73988875","0.0179955210719231","0.00330418322405723","0.853697410968215","Deciduous Forest","1.8","#199301"
"447","Mendocino","Evergreen Forest","9260","1242562.452865","0.222395","201086.44547","134.186010028618","4.225505","12.45412","36.47278","192.1715195","0.560888666071297","0.0907697700865107","0.910782673514049","Evergreen Forest","56.09","#0e5100"
"448","Mendocino","Fallow","10","7.339035","0.222395","2.891135","0.7339035","0.222395","0.222395","0.44479","2.59090175","0.00000331281662495864","0.00000130504897346856","0.542424242424242","Fallow","0","#562c0a"
"449","Mendocino","Fruit Trees","1","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","3.01165147723513e-7","3.01165147723513e-7","0","Fruit Trees","0","#f97020"
"450","Mendocino","Grain Crops","56","176.804025","0.222395","44.256605","3.15721473214286","0.38919125","0.7783825","3.11353","12.89891","0.0000798087641467309","0.0000199772881323263","0.712780772686433","Grain Crops","0.01","#8eeaff"
"451","Mendocino","Grapes","1538","17075.93289","0.222395","650.28298","11.1026871846554","0.44479","1.111975","6.004665","48.9713789999998","0.00770802079083558","0.00029353563064785","0.834658145353273","Grapes","0.77","#7f00ff"
"452","Mendocino","Grassland","7191","197587.504935","0.222395","5814.517275","27.4770553379224","1.111975","3.780715","12.00933","89.84758","0.089190359663466","0.00262465426241041","0.85293513666589","Grassland","8.92","#94a843"
"453","Mendocino","High Intensity Developed","621","1571.220675","0.222395","154.34213","2.53014601449275","0.222395","0.667185","1.77916","8.00622","0.000709243922888872","0.0000696695375067059","0.745081842974086","High Intensity Developed","0.07","#700101"
"454","Mendocino","Low Intensity Developed","7887","95384.993105","0.222395","9152.221435","12.0939511988082","1.33437","2.66874","6.004665","24.685845","0.0430564768978223","0.00413128310808857","0.811534595718427","Low Intensity Developed","4.31","#fc8f8f"
"455","Mendocino","Mixed Forest","7423","107390.319995","0.222395","12438.329955","14.467239659841","0.667185","2.22395","7.0054425","44.6791554999999","0.0484756425659592","0.00561462184900945","0.845025263953982","Mixed Forest","4.85","#287a30"
"456","Mendocino","Rice","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","2.00776765149008e-7","2.00776765149008e-7","0","Rice","0","#0083ff"
"457","Mendocino","Shrubland","9196","500201.9382","0.222395","101849.570965","54.3934252066116","1.556765","5.559875","18.903575","119.25931875","0.225789534551272","0.045974566402498","0.889956062065404","Shrubland","22.58","#686b3e"
"458","Mendocino","Walnuts","6","10.452565","0.222395","7.339035","1.74209416666667","0.222395","0.3335925","1.61236375","6.004665","0.0000047182539810017","0.00000331281662495864","0.656028368794326","Walnuts","0","#f59bff"
"459","Mendocino","Water","515","4081.39304","0.222395","1710.439945","7.92503502912621","0.222395","0.88958","3.11353","16.946499","0.0018423275970073","0.000772087050380512","0.874709245731795","Water","0.18","#0a00ce"
"460","Mendocino","Wetlands","757","1752.02781","0.222395","305.57073","2.31443568031704","0.222395","0.44479","1.111975","6.40497599999994","0.000790859677921944","0.000137933637657369","0.809154332768914","Wetlands","0.08","#3b3872"
"461","Mendocino","Winter Wheat","7","6.004665","0.222395","1.77916","0.857809285714286","0.44479","0.88958","1.111975","1.5790045","0.00000271048632951161","8.03107060596034e-7","0.328042328042328","Winter Wheat","0","#05006d"
