"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"501","Mono","Alfalfa & Hay","50","4084.728965","0.222395","825.752635","81.6945793","0.94517875","20.46034","103.5248725","359.00112875","0.00205317461799069","0.000415061651690502","0.722093972886154","Alfalfa & Hay","0.21","#DEBB27"
"502","Mono","Barren","89","95037.612115","0.222395","54412.272675","1067.83833837079","0.44479","1.77916","12.45412","648.014550999999","0.0477703207779326","0.0273501370888383","0.974744007130861","Barren","4.78","#474747"
"503","Mono","Deciduous Forest","62","1056.82104","0.222395","482.819545","17.0455006451613","0.222395","0.44479","1.556765","10.41920575","0.000531207371083561","0.000242687542639396","0.935483870967742","Deciduous Forest","0.05","#199301"
"504","Mono","Evergreen Forest","364","457750.73581","0.222395","289584.310215","1257.55696651099","1.556765","6.449455","27.41018375","331.980136249995","0.230086794052847","0.145558532915239","0.987647924384119","Evergreen Forest","23.01","#0e5100"
"505","Mono","Fallow","26","36.250385","0.222395","5.115085","1.39424557692308","0.222395","0.5559875","2.39074625","3.72511625","0.000018221128258969","0.00000257107944758458","0.520764511562058","Fallow","0","#562c0a"
"506","Mono","Fruit Trees","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","2.2357212587692e-7","2.2357212587692e-7","0","Fruit Trees","0","#f97020"
"507","Mono","Grain Crops","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.1178606293846e-7","1.1178606293846e-7","0","Grain Crops","0","#8eeaff"
"508","Mono","Grassland","385","85302.048595","0.222395","50825.930905","221.563762584416","0.667185","2.446345","13.121305","366.996228999999","0.0428767740867386","0.0255474750378927","0.966710406922525","Grassland","4.29","#94a843"
"509","Mono","High Intensity Developed","104","520.84909","0.222395","213.94399","5.00816432692308","0.44479","0.7783825","2.05715375","15.879003","0.000261802959401873","0.000107538192546798","0.829944820337647","High Intensity Developed","0.03","#700101"
"510","Mono","Low Intensity Developed","567","8942.94774","0.222395","2516.17703","15.7723946031746","0.667185","1.556765","4.00311","23.5293909999999","0.00449514116288135","0.00126474751608574","0.904472521386212","Low Intensity Developed","0.45","#fc8f8f"
"511","Mono","Mixed Forest","9","376.069945","0.222395","282.88644","41.7855494444444","0.44479","0.667185","1.111975","205.315064","0.000189030232428936","0.000142191872057721","0.826598331033577","Mixed Forest","0.02","#287a30"
"512","Mono","Other Tree Crops","4","1.33437","0.222395","0.44479","0.3335925","0.222395","0.3335925","0.44479","0.44479","6.70716377630759e-7","2.2357212587692e-7","0.166666666666667","Other Tree Crops","0","#48CA3B"
"513","Mono","Shrubland","905","1274959.3997","0.222395","488284.012545","1408.79491679558","7.783825","19.12597","65.38413","477.571023","0.640853848777379","0.245434237991857","0.981249776055969","Shrubland","64.09","#686b3e"
"514","Mono","Vegs & Fruits","2","1.556765","0.222395","1.33437","0.7783825","0.50038875","0.7783825","1.05637625","1.27877125","7.82502440569219e-7","6.70716377630759e-7","0.357142857142857","Vegs & Fruits","0","#016d06"
"515","Mono","Water","49","56346.664385","0.222395","44858.40587","1149.93192622449","0.222395","0.88958","8.8958","2451.504564","0.028322452264277","0.022547919611065","0.958826760378571","Water","2.83","#0a00ce"
"516","Mono","Wetlands","196","5050.812845","0.222395","1501.833435","25.7694532908163","0.38919125","1.556765","8.50660875","73.39035","0.00253877327539536","0.00075489128302342","0.890614230809668","Wetlands","0.25","#3b3872"
"517","Mono","Winter Wheat","1","1.33437","1.33437","1.33437","1.33437","1.33437","1.33437","1.33437","1.33437","6.70716377630759e-7","6.70716377630759e-7","0","Winter Wheat","0","#05006d"
