"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"564","Nevada","Alfalfa & Hay","5","1.77916","0.222395","0.667185","0.355832","0.222395","0.222395","0.44479","0.622706","0.00000265257618198795","9.9471606824548e-7","0.25","Alfalfa & Hay","0","#DEBB27"
"565","Nevada","Barren","63","1318.35756","0.222395","611.363855","20.9263104761905","0.222395","0.44479","3.6695175","21.0163275","0.00196555895085307","0.000911491490535608","0.928143007090375","Barren","0.2","#474747"
"566","Nevada","Deciduous Forest","7953","30974.508415","0.222395","2358.498975","3.89469488432038","0.44479","0.88958","2.22395","9.562985","0.0461803566123419","0.00351632130124777","0.784838600767317","Deciduous Forest","4.62","#199301"
"567","Nevada","Evergreen Forest","12564","434671.694685","0.222395","122707.77562","34.5966009777937","4.225505","7.11664","15.17845875","65.606525","0.648058513177998","0.182946852983618","0.819301625913567","Evergreen Forest","64.81","#0e5100"
"568","Nevada","Fallow","4","4.670295","0.222395","3.55832","1.16757375","0.38919125","0.44479","1.2231725","3.0912905","0.00000696301247771836","0.00000530515236397589","0.535714285714286","Fallow","0","#562c0a"
"569","Nevada","Grain Crops","3","0.88958","0.222395","0.44479","0.296526666666667","0.222395","0.222395","0.3335925","0.4225505","0.00000132628809099397","6.63144045496987e-7","0.166666666666667","Grain Crops","0","#8eeaff"
"570","Nevada","Grapes","416","360.057505","0.222395","45.81337","0.865522848557692","0.222395","0.222395","0.667185","2.001555","0.000536815104829811","0.0000683038366861896","0.637182555708652","Grapes","0.05","#7f00ff"
"571","Nevada","Grassland","6779","54790.56657","0.222395","2279.99354","8.08239660274377","0.667185","1.77916","4.670295","22.9511639999998","0.0816880729564553","0.00339927637721755","0.805305183292892","Grassland","8.17","#94a843"
"572","Nevada","High Intensity Developed","435","1162.68106","0.222395","76.50388","2.67283002298851","0.222395","0.667185","2.001555","8.74012349999999","0.00173345853492912","0.000114060775825482","0.739933514497533","High Intensity Developed","0.17","#700101"
"573","Nevada","Low Intensity Developed","7916","15124.416765","0.222395","1220.05897","1.9106135377716","0.44479","0.88958","1.556765","4.4479","0.0225492185510568","0.00181900411679823","0.669193572299163","Low Intensity Developed","2.25","#fc8f8f"
"574","Nevada","Mixed Forest","3428","4571.99641","0.222395","596.240995","1.33372123978997","0.222395","0.44479","0.88958","3.780715","0.00681645764366353","0.000888944592988711","0.692666807278789","Mixed Forest","0.68","#287a30"
"575","Nevada","Shrubland","7705","119326.03725","0.222395","38360.46876","15.4868315704088","0.44479","0.88958","2.446345","16.6351459999998","0.177904968805704","0.0571921950598421","0.943460402887654","Shrubland","17.79","#686b3e"
"576","Nevada","Walnuts","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.31572022748493e-7","3.31572022748493e-7","0","Walnuts","0","#f59bff"
"577","Nevada","Water","248","8290.663205","0.222395","2041.14131","33.4300935685484","0.222395","0.88958","4.4479","40.82060225","0.0123606734360411","0.00304316802478567","0.942436565946927","Water","1.24","#0a00ce"
"578","Nevada","Wetlands","62","127.432335","0.222395","21.79471","2.05536024193548","0.222395","0.222395","1.111975","13.04346675","0.000189990769034887","0.0000324940582293523","0.76099194955807","Wetlands","0.02","#3b3872"
"579","Nevada","Winter Wheat","13","3.11353","0.222395","0.44479","0.239502307692308","0.222395","0.222395","0.222395","0.311353","0.00000464200831847891","6.63144045496987e-7","0.0659340659340661","Winter Wheat","0","#05006d"
