"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"595","Placer","Alfalfa & Hay","359","4397.19394","0.222395","319.581615","12.248451086351","0.222395","0.88958","3.55832","58.4454059999999","0.005418256993969","0.000393790982213911","0.864704708890263","Alfalfa & Hay","0.54","#DEBB27"
"596","Placer","Almonds","92","136.99532","0.222395","31.357695","1.48907956521739","0.222395","0.44479","1.111975","5.21516275","0.00016880671193025","0.0000386391986723462","0.697310841332581","Almonds","0.02","#84784f"
"597","Placer","Barren","388","1893.02624","0.222395","845.768185","4.87893360824742","0.222395","0.44479","1.556765","9.26275175","0.00233260183758164","0.00104216221667328","0.873751308038137","Barren","0.23","#474747"
"598","Placer","Corn","76","326.253465","0.222395","128.9891","4.29280875","0.222395","0.667185","1.61236375","10.452565","0.00040201208831441","0.000158941384609651","0.8406612133606","Corn","0.04","#f9f900"
"599","Placer","Cotton","12","7.56143","0.222395","2.22395","0.630119166666667","0.222395","0.44479","0.72278375","1.734681","0.00000931725358056574","0.0000027403687001664","0.436274509803922","Cotton","0","#dbdbdb"
"600","Placer","Deciduous Forest","4686","17454.00439","0.222395","1917.0449","3.72471284464362","0.44479","1.111975","2.446345","9.28499125","0.0215069616326459","0.00236219781954343","0.753310324613119","Deciduous Forest","2.15","#199301"
"601","Placer","Evergreen Forest","5749","486902.494805","0.222395","297438.18964","84.693424039833","1.556765","4.4479","9.78538","59.0681119999999","0.59996508770276","0.366505679140094","0.955473747104298","Evergreen Forest","60","#0e5100"
"602","Placer","Fallow","664","25365.03933","0.222395","984.987455","38.200360436747","1.72356125","7.2278375","21.79471","196.8418145","0.0312550011728778","0.0012137092973037","0.795474918771303","Fallow","3.13","#562c0a"
"603","Placer","Fruit Trees","222","374.290785","0.222395","69.83203","1.68599452702703","0.222395","0.44479","0.667185","5.5376355","0.000461204052238004","0.0000860475771852248","0.778920631861808","Fruit Trees","0.05","#f97020"
"604","Placer","Grain Crops","146","337.818005","0.222395","89.180395","2.31382195205479","0.222395","0.667185","1.556765","8.00622","0.000416262005555275","0.000109888784876672","0.74059628270221","Grain Crops","0.04","#8eeaff"
"605","Placer","Grapes","562","428.33277","0.222395","40.92068","0.762157953736655","0.222395","0.3335925","0.667185","2.43522524999998","0.000527795011652048","0.0000504227840830617","0.576656578086717","Grapes","0.05","#7f00ff"
"606","Placer","Grassland","5940","95428.36013","0.222395","2519.512955","16.065380493266","1.77916","4.670295","9.562985","47.82604475","0.11758757670292","0.00310456370041851","0.767900344220684","Grassland","11.76","#94a843"
"607","Placer","High Intensity Developed","881","5460.019645","0.222395","385.410535","6.19752513620885","0.44479","2.22395","6.22706","21.79471","0.00672787919577852","0.000474905895738836","0.705191828670851","High Intensity Developed","0.67","#700101"
"608","Placer","Low Intensity Developed","5164","25099.722095","0.222395","1951.960915","4.86051938323005","0.667185","1.111975","2.66874","11.56454","0.030928075186948","0.00240522160813604","0.790453670892345","Low Intensity Developed","3.09","#fc8f8f"
"609","Placer","Mixed Forest","1479","7721.10961","0.222395","3045.47713","5.22049331304936","0.222395","0.667185","1.556765","9.34059","0.00951401205323769","0.00375266089800786","0.882330116494295","Mixed Forest","0.95","#287a30"
"610","Placer","Other Tree Crops","5","13.78849","0.222395","9.562985","2.757698","0.222395","0.222395","3.55832","8.362052","0.0000169902859410317","0.0000117835854107155","0.638709677419355","Other Tree Crops","0","#48CA3B"
"611","Placer","Rice","139","14813.508555","0.222395","1922.604775","106.572003992806","0.44479","6.22706","141.88801","414.2551665","0.0182533218749383","0.00236904874129385","0.761836254547234","Rice","1.83","#0083ff"
"612","Placer","Shrubland","3191","116796.96131","0.222395","75104.348265","36.6019935161391","0.222395","0.667185","1.77916","17.7916","0.143918135321599","0.0925441692627093","0.978386203216394","Shrubland","14.39","#686b3e"
"613","Placer","Tomatoes","68","183.920665","0.222395","29.35614","2.70471566176471","0.44479","1.33437","2.72433875","10.97519325","0.000226628491503761","0.0000361728668421964","0.647112170140124","Tomatoes","0.02","#ff0000"
"614","Placer","Vegs & Fruits","49","296.67493","0.222395","165.01709","6.05459040816327","0.222395","0.44479","1.556765","23.707307","0.000365565184602197","0.000203335357552347","0.868861487623535","Vegs & Fruits","0.04","#016d06"
"615","Placer","Walnuts","104","1117.75727","0.222395","445.901975","10.7476660576923","0.222395","0.5559875","1.83475875","12.765473","0.00137730930870363","0.000549443924383362","0.923773301907007","Walnuts","0.14","#f59bff"
"616","Placer","Water","250","4821.301205","0.222395","2017.56744","19.28520482","0.222395","0.667185","2.66874","25.0861559999999","0.00594084530509073","0.00248606248479095","0.94004871073389","Water","0.59","#0a00ce"
"617","Placer","Wetlands","529","1332.59084","0.222395","83.398125","2.51907531190926","0.222395","0.44479","1.556765","11.56454","0.0016420289251397","0.00010276382625624","0.773664192458249","Wetlands","0.16","#3b3872"
"618","Placer","Winter Wheat","228","842.654655","0.222395","92.738715","3.69585375","0.222395","0.667185","2.001555","11.48670175","0.00103832570049305","0.000114273374796939","0.809236571238071","Winter Wheat","0.1","#05006d"
