"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1097","Tuolumne","Alfalfa & Hay","9","7.339035","0.222395","3.55832","0.815448333333333","0.222395","0.222395","0.44479","2.935614","0.00000521429735052071","0.00000252814416994944","0.579124579124579","Alfalfa & Hay","0","#DEBB27"
"1098","Tuolumne","Almonds","6","2.22395","0.222395","0.667185","0.370658333333333","0.222395","0.3335925","0.44479","0.61158625","0.0000015800901062184","4.74027031865519e-7","0.233333333333333","Almonds","0","#84784f"
"1099","Tuolumne","Barren","46","123188.59361","0.222395","77777.980955","2678.01290456522","0.222395","0.44479","4.94828875","1558.59975875","0.0875240351456282","0.0552603332757654","0.959871630662018","Barren","8.75","#474747"
"1100","Tuolumne","Corn","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.5800901062184e-7","1.5800901062184e-7","0","Corn","0","#f9f900"
"1101","Tuolumne","Deciduous Forest","2265","16163.890995","0.222395","1673.077585","7.13637571523179","0.44479","1.111975","3.335925","22.68429","0.0114842529010059","0.0011887017869081","0.82853570440705","Deciduous Forest","1.15","#199301"
"1102","Tuolumne","Evergreen Forest","3359","680868.07477","0.222395","277465.33948","202.699635239655","1.556765","4.4479","10.007775","64.49455","0.483748694253039","0.197135833868062","0.980247811502351","Evergreen Forest","48.37","#0e5100"
"1103","Tuolumne","Fallow","20","16.679625","0.222395","5.33748","0.83398125","0.222395","0.222395","0.667185","3.647278","0.000011850675796638","0.00000379221625492415","0.592666666666667","Fallow","0","#562c0a"
"1104","Tuolumne","Fruit Trees","3","1.111975","0.222395","0.44479","0.370658333333333","0.3335925","0.44479","0.44479","0.44479","7.90045053109199e-7","3.16018021243679e-7","0.133333333333333","Fruit Trees","0","#f97020"
"1105","Tuolumne","Grain Crops","1","4.4479","4.4479","4.4479","4.4479","4.4479","4.4479","4.4479","4.4479","0.00000316018021243679","0.00000316018021243679","0","Grain Crops","0","#8eeaff"
"1106","Tuolumne","Grapes","107","174.135285","0.222395","44.256605","1.62743257009346","0.222395","0.222395","0.667185","4.981648","0.000123721055316901","0.0000314437931137461","0.780009787421969","Grapes","0.01","#7f00ff"
"1107","Tuolumne","Grassland","2640","137406.75075","0.222395","10322.019135","52.0480116477273","1.111975","4.225505","11.84253375","132.447342249999","0.0976258672127037","0.00733367220999145","0.909587349582251","Grassland","9.76","#94a843"
"1108","Tuolumne","High Intensity Developed","192","459.46807","0.222395","40.47589","2.39306286458333","0.222395","0.667185","2.66874","8.16189649999999","0.000326446615944721","0.0000287576399331748","0.677093417231365","High Intensity Developed","0.03","#700101"
"1109","Tuolumne","Low Intensity Developed","2362","10980.08594","0.222395","1947.068225","4.64863926333616","0.44479","0.88958","1.77916","8.228615","0.00780122087242147","0.00138336888799421","0.836252938945329","Low Intensity Developed","0.78","#fc8f8f"
"1110","Tuolumne","Mixed Forest","225","283.77602","0.222395","88.06842","1.26122675555556","0.222395","0.222395","0.44479","2.22394999999998","0.000201619497553467","0.0000625715682062485","0.769418321142459","Mixed Forest","0.02","#287a30"
"1111","Tuolumne","Other Tree Crops","2","0.88958","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","6.32036042487359e-7","3.16018021243679e-7","0","Other Tree Crops","0","#48CA3B"
"1112","Tuolumne","Shrubland","3549","409024.88089","0.222395","143468.126475","115.250741304593","1.33437","3.11353","8.228615","53.508237","0.290607328173496","0.101932402797202","0.972383619602454","Shrubland","29.06","#686b3e"
"1113","Tuolumne","Tomatoes","1","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","6.32036042487359e-7","6.32036042487359e-7","0","Tomatoes","0","#ff0000"
"1114","Tuolumne","Walnuts","7","2.22395","0.222395","0.88958","0.317707142857143","0.222395","0.222395","0.222395","0.6894245","0.0000015800901062184","6.32036042487359e-7","0.257142857142857","Walnuts","0","#f59bff"
"1115","Tuolumne","Water","160","27607.003325","0.222395","4740.57182","172.54377078125","0.44479","1.33437","7.0054425","551.306085249997","0.0196144485335421","0.00336812007041514","0.950127230434608","Water","1.96","#0a00ce"
"1116","Tuolumne","Wetlands","51","1288.55663","0.222395","722.78375","25.2658162745098","0.222395","0.222395","0.88958","43.9230125","0.000915504207542939","0.000513529284520979","0.943890569690078","Wetlands","0.09","#3b3872"
"1117","Tuolumne","Winter Wheat","5","1.77916","0.222395","0.667185","0.355832","0.222395","0.222395","0.44479","0.622706","0.00000126407208497472","4.74027031865519e-7","0.25","Winter Wheat","0","#05006d"
