"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"62","Butte","Alfalfa & Hay","932","4858.218775","0.222395","254.41988","5.21268108905579","0.222395","0.88958","2.891135","17.66928275","0.00482154968955135","0.000252499558015415","0.812045900840589","Alfalfa & Hay","0.48","#DEBB27"
"63","Butte","Almonds","2187","42045.331515","0.222395","1828.309295","19.2251172908093","0.667185","2.22395","10.007775","95.5631315","0.0417279798424129","0.0018145094986405","0.837230817126619","Almonds","4.17","#84784f"
"64","Butte","Barren","1036","2726.11791","0.222395","570.887965","2.63138794401544","0.222395","0.44479","1.111975","6.449455","0.00270554159279105","0.000566578990756618","0.828834970905456","Barren","0.27","#474747"
"65","Butte","Corn","203","597.575365","0.222395","174.35768","2.94372100985222","0.222395","0.44479","1.111975","7.18335849999996","0.000593064958380613","0.000173041655143431","0.84149370899111","Corn","0.06","#f9f900"
"66","Butte","Cotton","28","56.265935","0.222395","14.455675","2.00949767857143","0.222395","0.222395","0.667185","14.37783675","0.0000558412484072553","0.0000143465657963304","0.759881422924901","Cotton","0.01","#dbdbdb"
"67","Butte","Deciduous Forest","4683","29764.679615","0.222395","1495.606375","6.35589998184924","0.44479","1.33437","3.55832","16.45723","0.0295400204074381","0.00148431776892803","0.807237945655801","Deciduous Forest","2.95","#199301"
"68","Butte","Evergreen Forest","6317","390990.87034","0.222395","132565.2116","61.8950245907868","2.66874","6.004665","14.455675","77.83825","0.388039731600033","0.131564629844256","0.915179323857434","Evergreen Forest","38.8","#0e5100"
"69","Butte","Fallow","2258","65654.784715","0.222395","6195.47991","29.0765211315323","0.667185","2.446345","9.118195","128.08840025","0.0651592325337735","0.00614871738391035","0.878059638903143","Fallow","6.52","#562c0a"
"70","Butte","Fruit Trees","2110","10551.085985","0.222395","461.469625","5.00051468483412","0.44479","0.88958","2.66874","20.46034","0.0104714480165431","0.00045798652349824","0.80529262703171","Fruit Trees","1.05","#f97020"
"71","Butte","Grain Crops","625","2468.13971","0.222395","366.06217","3.949023536","0.222395","0.44479","1.111975","10.986313","0.00244951057242577","0.000363299189242459","0.865062822130114","Grain Crops","0.24","#8eeaff"
"72","Butte","Grapes","86","68.49766","0.222395","34.471225","0.796484418604651","0.222395","0.222395","0.38919125","1.27877125","0.0000679806502349195","0.0000342110415143264","0.68446088794926","Grapes","0.01","#7f00ff"
"73","Butte","Grassland","6783","176400.15568","0.222395","10430.992685","26.0062149019608","1.111975","3.780715","9.118195","50.038875","0.175068714532254","0.0103522611622352","0.878092190591363","Grassland","17.51","#94a843"
"74","Butte","High Intensity Developed","1669","4862.666675","0.222395","352.051285","2.91352107549431","0.222395","0.667185","2.22395","10.808397","0.00482596401748868","0.000349394056239862","0.746395996896364","High Intensity Developed","0.48","#700101"
"75","Butte","Low Intensity Developed","6827","26473.01122","0.222395","876.68109","3.87769316244324","0.44479","1.111975","2.66874","11.11975","0.0262731970174152","0.000870064036448223","0.739628989078334","Low Intensity Developed","2.63","#fc8f8f"
"76","Butte","Mixed Forest","343","233.06996","0.222395","25.130635","0.679504256559767","0.222395","0.222395","0.44479","1.77916","0.00023131078391622","0.0000249409528459283","0.573158925511317","Mixed Forest","0.02","#287a30"
"77","Butte","Other Tree Crops","215","809.740195","0.222395","141.220825","3.76623346511628","0.222395","0.667185","2.001555","12.89891","0.00080362840099137","0.000140154912010305","0.801124148106513","Other Tree Crops","0.08","#48CA3B"
"78","Butte","Rice","627","84609.510565","0.222395","3662.623255","134.943398030303","1.111975","41.81026","174.9136675","553.6968315","0.0839708910387156","0.00363497833999639","0.710969861445071","Rice","8.4","#0083ff"
"79","Butte","Shrubland","4264","72751.18677","0.222395","18886.450585","17.0617229760788","0.44479","1.33437","4.00311","25.31967075","0.0722020720413905","0.0187438985711041","0.918317965942264","Shrubland","7.22","#686b3e"
"80","Butte","Tomatoes","134","270.209925","0.222395","98.74338","2.01649197761194","0.222395","0.44479","0.667185","3.2692065","0.000268170422192945","0.0000979980802087801","0.814747251397334","Tomatoes","0.03","#ff0000"
"81","Butte","Vegs & Fruits","251","1637.494385","0.222395","751.472705","6.52388201195219","0.222395","0.44479","1.111975","13.0101075","0.00162513483012894","0.000745800705012315","0.912558918204677","Vegs & Fruits","0.16","#016d06"
"82","Butte","Walnuts","1995","46654.0231","0.222395","6339.814265","23.3854752380952","0.667185","2.001555","9.78538","85.3329614999999","0.0463018857346799","0.00629196232547679","0.867269694877866","Walnuts","4.63","#f59bff"
"83","Butte","Water","356","21980.63222","0.222395","14054.02963","61.7433489325843","0.222395","0.44479","2.66874","31.63568875","0.0218147258007094","0.0139479519835893","0.977895683281486","Water","2.18","#0a00ce"
"84","Butte","Wetlands","1328","17260.52074","0.222395","2671.85353","12.9973800753012","0.222395","0.44479","1.77916","23.5627502499999","0.0171302409936122","0.00265168679195559","0.939134423847015","Wetlands","1.71","#3b3872"
"85","Butte","Winter Wheat","388","3881.459935","0.222395","1909.03868","10.0037627190722","0.222395","0.667185","1.77916","25.0639164999999","0.00385216327451315","0.00189462955070308","0.919900782130033","Winter Wheat","0.39","#05006d"
