"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"86","Calaveras","Alfalfa & Hay","55","85.622075","0.222395","28.244165","1.556765","0.222395","0.44479","1.2231725","4.6925345","0.000134902405993171","0.0000445002741847602","0.719716646989374","Alfalfa & Hay","0.01","#DEBB27"
"87","Calaveras","Almonds","28","16.234835","0.222395","2.001555","0.579815535714286","0.222395","0.222395","0.667185","1.8458785","0.0000255788977597441","0.00000315356273750269","0.431996086105675","Almonds","0","#84784f"
"88","Calaveras","Barren","95","257.53341","0.222395","73.612745","2.710878","0.222395","0.44479","0.44479","5.60435399999998","0.00040575840555868","0.000115981029568155","0.853395145895828","Barren","0.04","#474747"
"89","Calaveras","Deciduous Forest","4032","35588.759875","0.222395","1950.40415","8.8265773499504","0.44479","1.33437","4.225505","27.00987275","0.0560720974520965","0.00307297168976651","0.843698459504095","Deciduous Forest","5.61","#199301"
"90","Calaveras","Evergreen Forest","5295","235407.998635","0.222395","61463.30615","44.4585455401322","1.77916","4.89269","13.78849","73.3013920000001","0.370898572662465","0.0968389037515133","0.898187837250804","Evergreen Forest","37.09","#0e5100"
"91","Calaveras","Fallow","13","8.228615","0.222395","2.22395","0.632970384615385","0.222395","0.44479","0.667185","2.090513","0.0000129646468097333","0.00000350395859722522","0.461538461538462","Fallow","0","#562c0a"
"92","Calaveras","Fruit Trees","14","8.00622","0.222395","2.446345","0.571872857142857","0.222395","0.3335925","0.44479","2.01267475","0.0000126142509500108","0.00000385435445694774","0.46031746031746","Fruit Trees","0","#f97020"
"93","Calaveras","Grain Crops","14","6.67185","0.222395","2.001555","0.476560714285714","0.222395","0.3335925","0.44479","1.1342145","0.0000105118757916756","0.00000315356273750269","0.380952380952381","Grain Crops","0","#8eeaff"
"94","Calaveras","Grapes","65","116.53498","0.222395","16.679625","1.79284584615385","0.222395","0.44479","1.111975","10.052254","0.000183607430494601","0.0000262796894791891","0.702172636523782","Grapes","0.02","#7f00ff"
"95","Calaveras","Grassland","5544","211309.276435","0.222395","7454.23561","38.114948851912","2.22395","5.559875","13.566095","113.7995215","0.332929677302933","0.0117445684261795","0.859521131934233","Grassland","33.29","#94a843"
"96","Calaveras","High Intensity Developed","407","573.556705","0.222395","28.46656","1.40923023341523","0.222395","0.44479","1.111975","5.115085","0.000903670922224383","0.0000448506700444828","0.68573519058203","High Intensity Developed","0.09","#700101"
"97","Calaveras","Low Intensity Developed","4177","12872.444995","0.222395","678.527145","3.08174407349773","0.44479","1.111975","2.22395","8.45101","0.0202812627565993","0.00106905776801341","0.720648558751781","Low Intensity Developed","2.03","#fc8f8f"
"98","Calaveras","Mixed Forest","1522","2493.49274","0.222395","358.50074","1.63830009198423","0.222395","0.44479","1.111975","4.4479","0.00392863837920891","0.000564838125872705","0.705823800574099","Mixed Forest","0.39","#287a30"
"99","Calaveras","Other Tree Crops","6","2.22395","0.222395","1.111975","0.370658333333333","0.222395","0.222395","0.222395","0.88958","0.00000350395859722522","0.00000175197929861261","0.333333333333333","Other Tree Crops","0","#48CA3B"
"100","Calaveras","Rice","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.50395859722522e-7","3.50395859722522e-7","0","Rice","0","#0083ff"
"101","Calaveras","Shrubland","5449","121970.536195","0.222395","17102.397895","22.3840220581758","1.111975","2.891135","7.56143","48.6155469999999","0.192171455702079","0.0269457920085216","0.879763391478918","Shrubland","19.22","#686b3e"
"102","Calaveras","Tomatoes","4","1.77916","0.222395","0.667185","0.44479","0.38919125","0.44479","0.50038875","0.63382575","0.00000280316687778017","0.00000105118757916756","0.1875","Tomatoes","0","#ff0000"
"103","Calaveras","Vegs & Fruits","2","0.667185","0.222395","0.44479","0.3335925","0.27799375","0.3335925","0.38919125","0.43367025","0.00000105118757916756","7.00791719445043e-7","0.166666666666667","Vegs & Fruits","0","#016d06"
"104","Calaveras","Walnuts","50","404.7589","0.222395","70.054425","8.095178","0.222395","0.44479","6.7830475","44.75699375","0.000637720464694989","0.000110374695812594","0.782307692307692","Walnuts","0.06","#f59bff"
"105","Calaveras","Water","230","13231.16813","0.222395","7160.451815","57.5268179565217","0.44479","1.2231725","6.83864625","60.9362299999999","0.0208464512783317","0.011281695495486","0.955857002752196","Water","2.08","#0a00ce"
"106","Calaveras","Wetlands","142","330.92376","0.222395","76.94867","2.33044901408451","0.222395","0.44479","0.88958","5.96018599999999","0.000521389039267112","0.000121236967463992","0.810133651370589","Wetlands","0.05","#3b3872"
"107","Calaveras","Winter Wheat","10","9.78538","0.222395","4.4479","0.978538","0.222395","0.3335925","1.33437","3.14688925","0.0000154174178277909","0.00000700791719445043","0.568181818181818","Winter Wheat","0","#05006d"
