"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"350","Lake","Alfalfa & Hay","318","1553.20668","0.222395","145.89112","4.88429773584906","0.44479","0.88958","3.335925","24.47456975","0.00198183769475727","0.000186151994238369","0.776318917633837","Alfalfa & Hay","0.2","#DEBB27"
"351","Lake","Almonds","130","60.93623","0.222395","3.55832","0.468740230769231","0.222395","0.222395","0.44479","1.33437","0.000077752509788587","0.00000454029254239924","0.392419988770354","Almonds","0.01","#84784f"
"352","Lake","Barren","296","1665.516155","0.222395","673.41206","5.62674376689189","0.222395","0.44479","1.111975","6.449455","0.00212514067812674","0.000859250363649056","0.91188833712869","Barren","0.21","#474747"
"353","Lake","Corn","1","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","0.88958","0.00000113507313559981","0.00000113507313559981","0","Corn","0","#f9f900"
"354","Lake","Deciduous Forest","983","7160.22942","0.222395","2727.674675","7.28405841302136","0.44479","1.111975","3.11353","17.1021755","0.00913620366844287","0.00348041800203292","0.858010769995123","Deciduous Forest","0.91","#199301"
"355","Lake","Evergreen Forest","2452","191812.796365","0.222395","110673.314985","78.2270784522838","0.88958","4.225505","17.40240875","104.84812275","0.244746455876018","0.141215300104824","0.937329409325603","Evergreen Forest","24.47","#0e5100"
"356","Lake","Fallow","28","217.9471","0.222395","98.74338","7.783825","0.222395","1.0007775","4.225505","38.207461","0.000278092918221953","0.000125993118051579","0.816690962099125","Fallow","0.03","#562c0a"
"357","Lake","Fruit Trees","10","2.891135","0.222395","0.667185","0.2891135","0.222395","0.222395","0.222395","0.56710725","0.00000368898769069938","8.51304851699857e-7","0.192307692307692","Fruit Trees","0","#f97020"
"358","Lake","Grain Crops","35","42.032655","0.222395","18.68118","1.200933","0.222395","0.44479","0.667185","3.60279899999999","0.000053632205657091","0.000023836535847596","0.699622071050642","Grain Crops","0.01","#8eeaff"
"359","Lake","Grapes","396","1283.886335","0.222395","235.516305","3.24213720959596","0.222395","0.44479","1.556765","13.2325025","0.00163819430295443","0.00030051061265005","0.822358786199077","Grapes","0.16","#7f00ff"
"360","Lake","Grassland","3794","69814.016005","0.222395","3484.48486","18.4011639443859","1.556765","4.670295","11.786935","57.8338197499999","0.0890802559135891","0.00444608147214445","0.784852083773972","Grassland","8.91","#94a843"
"361","Lake","High Intensity Developed","425","573.556705","0.222395","28.02177","1.34954518823529","0.222395","0.44479","1.33437","5.29300099999999","0.000731838404177977","0.000035754803771394","0.652373240882239","High Intensity Developed","0.07","#700101"
"362","Lake","Low Intensity Developed","3548","26600.22116","0.222395","6718.775345","7.49724384441939","0.88958","2.22395","4.89269","18.1585517499999","0.0339409569007055","0.00857292362490146","0.760855854227153","Low Intensity Developed","3.39","#fc8f8f"
"363","Lake","Mixed Forest","2640","41179.54778","0.222395","14691.636095","15.5983135530303","0.667185","2.001555","6.894245","36.0391097499999","0.0525436705200508","0.0187460166027148","0.862806951478886","Mixed Forest","5.25","#287a30"
"364","Lake","Other Tree Crops","33","8.8958","0.222395","0.44479","0.269569696969697","0.222395","0.222395","0.222395","0.44479","0.0000113507313559981","5.67536567799905e-7","0.137878787878788","Other Tree Crops","0","#48CA3B"
"365","Lake","Rice","7","20.90513","0.222395","8.00622","2.98644714285714","1.0007775","3.335925","3.6695175","6.805287","0.0000266742186865955","0.0000102156582203983","0.440729483282675","Rice","0","#0083ff"
"366","Lake","Shrubland","4586","435362.898345","0.222395","176773.112095","94.9330349640209","3.55832","9.118195","28.91135","182.30830125","0.55550791401367","0.225556341909","0.899287429656373","Shrubland","55.55","#686b3e"
"367","Lake","Vegs & Fruits","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","5.67536567799905e-7","5.67536567799905e-7","0","Vegs & Fruits","0","#016d06"
"368","Lake","Walnuts","134","386.07772","0.222395","57.600305","2.88117701492537","0.222395","0.88958","3.11353","11.44222275","0.000492621740850317","0.0000734959855300877","0.699841804800881","Walnuts","0.05","#f59bff"
"369","Lake","Water","348","5579.668155","0.222395","1919.71364","16.0335291810345","0.222395","0.667185","2.66874","24.22993525","0.00711946247476591","0.00244948782662439","0.935054081034735","Water","0.71","#0a00ce"
"370","Lake","Wetlands","175","391.192805","0.222395","94.74027","2.23538745714286","0.222395","0.44479","0.88958","8.67340499999992","0.000499148411380016","0.00012088528894138","0.806399740112077","Wetlands","0.05","#3b3872"
"371","Lake","Winter Wheat","6","2.66874","0.222395","0.88958","0.44479","0.27799375","0.44479","0.44479","0.7783825","0.00000340521940679943","0.00000113507313559981","0.25","Winter Wheat","0","#05006d"
