"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"372","Lassen","Alfalfa & Hay","1009","56742.972275","0.222395","3803.621685","56.2368407086224","0.667185","2.66874","21.572315","249.97198","0.0196799650250511","0.00131919669922377","0.875831716281892","Alfalfa & Hay","1.97","#DEBB27"
"373","Lassen","Barren","395","14349.37019","0.222395","3617.03228","36.3275194683544","0.222395","0.667185","3.11353","67.4301639999998","0.00497674147385348","0.00125448255371428","0.953625237824877","Barren","0.5","#474747"
"374","Lassen","Corn","42","316.023295","0.222395","104.08086","7.52436416666667","0.50038875","1.6679625","5.94906625","32.59198725","0.000109605245255042","0.0000360979977335394","0.752471431922523","Corn","0.01","#f9f900"
"375","Lassen","Deciduous Forest","23","26.6874","0.222395","12.89891","1.16032173913043","0.222395","0.44479","0.667185","3.958631","0.00000925589685475369","0.00000447368347979762","0.685507246376812","Deciduous Forest","0","#199301"
"376","Lassen","Evergreen Forest","1981","868331.93691","0.222395","433017.520675","438.330104447249","2.446345","8.228615","22.017105","169.46499","0.301160504347649","0.150181940079175","0.980896413811013","Evergreen Forest","30.12","#0e5100"
"377","Lassen","Fallow","489","5559.207815","0.222395","338.48519","11.3685231390593","0.44479","1.33437","7.11664","51.1063709999999","0.00192808044731898","0.000117395625107793","0.813797942051615","Fallow","0.19","#562c0a"
"378","Lassen","Fruit Trees","4","1.556765","0.222395","0.667185","0.38919125","0.222395","0.3335925","0.50038875","0.63382575","5.39927316527299e-7","2.31397421368842e-7","0.25","Fruit Trees","0","#f97020"
"379","Lassen","Grain Crops","625","5468.470655","0.222395","243.74492","8.749553048","0.44479","1.111975","4.670295","44.6569159999999","0.00189661039801282","0.000084537191273417","0.820960787343935","Grain Crops","0.19","#8eeaff"
"380","Lassen","Grapes","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","1.54264947579228e-7","1.54264947579228e-7","0","Grapes","0","#7f00ff"
"381","Lassen","Grassland","2366","129044.25396","0.222395","28842.40755","54.5411048013525","0.667185","2.001555","10.007775","158.95682625","0.044755963651476","0.0100033105257751","0.928456326360724","Grassland","4.48","#94a843"
"382","Lassen","High Intensity Developed","342","1186.032535","0.222395","299.78846","3.46793138888889","0.222395","0.44479","1.111975","7.50583124999999","0.000411347482720012","0.0001039745746684","0.859559753186328","High Intensity Developed","0.04","#700101"
"383","Lassen","Low Intensity Developed","2718","22817.059815","0.222395","4019.344835","8.39479757726269","0.44479","1.111975","3.11353","16.5239485","0.00791356041339304","0.0013940151987997","0.866280742824807","Low Intensity Developed","0.79","#fc8f8f"
"384","Lassen","Mixed Forest","21","2173.68873","0.222395","1076.614195","103.508987142857","0.222395","0.44479","2.22395","508.83976","0.000753892798819688","0.000373398305615522","0.868280277120056","Mixed Forest","0.08","#287a30"
"385","Lassen","Rice","1","16.234835","16.234835","16.234835","16.234835","16.234835","16.234835","16.234835","16.234835","0.00000563067058664183","0.00000563067058664183","0","Rice","0","#0083ff"
"386","Lassen","Shrubland","5378","1742171.930785","0.222395","903994.976715","323.944204311082","8.8958","19.348365","38.919125","246.113426749999","0.604231348673645","0.313529390712078","0.948532962482489","Shrubland","60.42","#686b3e"
"387","Lassen","Tomatoes","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","7.71324737896141e-8","7.71324737896141e-8","0","Tomatoes","0","#ff0000"
"388","Lassen","Vegs & Fruits","77","439.89731","0.222395","72.278375","5.71295207792208","0.44479","0.667185","4.4479","34.738099","0.000152568033155857","0.0000250680539816246","0.783120822554594","Vegs & Fruits","0.02","#016d06"
"389","Lassen","Walnuts","4","2.446345","0.222395","1.77916","0.61158625","0.222395","0.222395","0.61158625","1.54564525","8.48457211685755e-7","6.17059790316913e-7","0.477272727272727","Walnuts","0","#f59bff"
"390","Lassen","Water","306","15496.261205","0.222395","4737.45829","50.6413764869281","0.44479","1.556765","9.34059","145.3351325","0.00537451364118652","0.00164307595666636","0.928579817045242","Water","0.54","#0a00ce"
"391","Lassen","Wetlands","651","15070.152385","0.222395","2612.918855","23.1492356144393","0.222395","0.88958","3.780715","50.1500725","0.00522672782140562","0.000906229434554176","0.928887214730712","Wetlands","0.52","#3b3872"
"392","Lassen","Winter Wheat","456","4071.385265","0.222395","347.603385","8.92847645833333","0.44479","1.111975","4.670295","31.07970125","0.00141206419766647","0.000120558056533167","0.825472401027696","Winter Wheat","0.14","#05006d"
