"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"414","Madera","Alfalfa & Hay","1081","26286.421815","0.222395","1461.57994","24.3167639361702","0.44479","1.33437","6.449455","120.0933","0.0199213910944739","0.00110767094150345","0.890183580608228","Alfalfa & Hay","1.99","#DEBB27"
"415","Madera","Almonds","1952","109055.613755","0.222395","3555.20647","55.8686545876025","0.88958","7.339035","37.36236","261.280765749999","0.0826487358359865","0.00269434383306057","0.818953678584769","Almonds","8.26","#84784f"
"416","Madera","Barren","318","50029.312015","0.222395","19842.97148","157.324880550314","0.222395","0.44479","1.556765","16.1903559999999","0.0379151448551112","0.0150381667809957","0.985067572522525","Barren","3.79","#474747"
"417","Madera","Corn","146","1249.8599","0.222395","202.157055","8.56068424657534","0.222395","0.667185","2.22395","31.41329375","0.00094721708631305","0.000153206464672342","0.878840247647833","Corn","0.09","#f9f900"
"418","Madera","Cotton","211","1948.62499","0.222395","248.860005","9.23518952606635","0.222395","0.667185","1.77916","54.041985","0.00147678222602757","0.000188600697434929","0.870073378040245","Cotton","0.15","#dbdbdb"
"419","Madera","Deciduous Forest","1817","12151.21801","0.222395","2026.240845","6.68751679141442","0.222395","0.667185","2.22395","21.127525","0.00920890518896307","0.00153560406999968","0.869556413762727","Deciduous Forest","0.92","#199301"
"420","Madera","Evergreen Forest","3756","410556.73765","0.222395","131695.869545","109.306905657614","3.11353","6.449455","18.458785","107.47238375","0.311143958457283","0.0998068486154956","0.939728362192758","Evergreen Forest","31.11","#0e5100"
"421","Madera","Fallow","1959","16733.88938","0.222395","620.48205","8.54205685553854","0.667185","1.556765","4.89269","31.802485","0.0126819221428006","0.000470237663845802","0.804869827747599","Fallow","1.27","#562c0a"
"422","Madera","Fruit Trees","250","871.121215","0.222395","90.29237","3.48448486","0.222395","0.667185","1.77916","12.62091625","0.000660186713005021","0.0000684288500076687","0.805564462598928","Fruit Trees","0.07","#f97020"
"423","Madera","Grain Crops","859","15550.970375","0.222395","889.13521","18.1035743597206","0.44479","1.111975","6.5606525","92.1604879999995","0.0117854367901139","0.000673838774213447","0.872946941738258","Grain Crops","1.18","#8eeaff"
"424","Madera","Grapes","2960","137986.089725","0.222395","2800.620235","46.6169222043919","1.77916","7.11664","34.52682375","174.947026749999","0.104573946136719","0.00212247415799648","0.808615862661382","Grapes","10.46","#7f00ff"
"425","Madera","Grassland","5726","318663.346045","0.222395","12464.572565","55.651998960007","1.556765","4.670295","15.790045","141.44322","0.24150176044172","0.00944638363640347","0.902617672398229","Grassland","24.15","#94a843"
"426","Madera","High Intensity Developed","1002","2649.16924","0.222395","175.469655","2.64388147704591","0.222395","0.667185","2.001555","9.562985","0.00200769571746638","0.000132981188808007","0.742573449474456","High Intensity Developed","0.2","#700101"
"427","Madera","Low Intensity Developed","4891","21127.302605","0.222395","599.57692","4.31962842056839","0.44479","1.111975","2.891135","13.78849","0.0160115081819668","0.000454394531085406","0.757187770029556","Low Intensity Developed","1.6","#fc8f8f"
"428","Madera","Mixed Forest","52","68.49766","0.222395","24.685845","1.31726269230769","0.222395","0.222395","0.667185","5.55987499999998","0.000051911541385128","0.0000187083801745104","0.741633366633367","Mixed Forest","0.01","#287a30"
"429","Madera","Other Tree Crops","727","6278.21085","0.222395","1379.29379","8.63577833562586","0.222395","0.667185","2.66874","20.5048189999999","0.00475799614708495","0.00104530967425508","0.893415893517632","Other Tree Crops","0.48","#48CA3B"
"430","Madera","Rice","2","0.44479","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.3708793107226e-7","1.6854396553613e-7","0","Rice","0","#0083ff"
"431","Madera","Shrubland","3658","158993.966215","0.222395","50161.859435","43.4647255918535","0.667185","1.77916","4.4479","28.244165","0.120494946209193","0.0380155970585707","0.95977686790289","Shrubland","12.05","#686b3e"
"432","Madera","Tomatoes","305","5696.203135","0.222395","937.61732","18.676075852459","0.222395","0.667185","4.00311","108.039491","0.0043169165892769","0.000710581358700324","0.905949271406106","Tomatoes","0.43","#ff0000"
"433","Madera","Vegs & Fruits","198","1171.57686","0.222395","466.807105","5.91705484848485","0.222395","0.44479","0.88958","6.39385624999997","0.000887889610444332","0.000353773783660337","0.91614129142603","Vegs & Fruits","0.09","#016d06"
"434","Madera","Walnuts","300","853.10722","0.222395","95.62985","2.84369073333333","0.222395","0.44479","1.556765","14.02200475","0.000646534651796594","0.0000724739051805359","0.782302745915885","Walnuts","0.06","#f59bff"
"435","Madera","Water","381","7981.534155","0.222395","3093.292055","20.9489085433071","0.222395","0.44479","1.556765","11.786935","0.00604887437912617","0.00234427801664203","0.960866579799234","Water","0.6","#0a00ce"
"436","Madera","Wetlands","384","1108.639075","0.222395","219.503865","2.88708092447917","0.222395","0.44479","1.33437","9.71866149999998","0.000840191668197608","0.00016635289398416","0.807779066365764","Wetlands","0.08","#3b3872"
"437","Madera","Winter Wheat","810","12495.48547","0.222395","1040.36381","15.4265252716049","0.44479","1.111975","4.83709125","65.4063695","0.00946981124761299","0.000788448670778016","0.884181596135938","Winter Wheat","0.95","#05006d"
