"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"525","Modoc","Alfalfa & Hay","1219","109926.067785","0.222395","4320.022875","90.1772500287121","1.33437","7.783825","78.28304","434.11504","0.0412623180770481","0.00162158222849392","0.807858504509719","Alfalfa & Hay","4.13","#DEBB27"
"526","Modoc","Almonds","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","8.34791366020034e-8","8.34791366020034e-8","0","Almonds","0","#84784f"
"527","Modoc","Barren","538","124221.84078","0.222395","77478.41489","230.895614832714","0.222395","0.88958","3.55832","62.1149235","0.0466284404569614","0.0290826285676792","0.988541354943927","Barren","4.66","#474747"
"528","Modoc","Corn","2","1.77916","0.44479","1.33437","0.88958","0.667185","0.88958","1.111975","1.289891","6.67833092816028e-7","5.00874819612021e-7","0.25","Corn","0","#f9f900"
"529","Modoc","Deciduous Forest","9","24.46345","0.222395","17.569205","2.71816111111111","0.222395","0.88958","1.33437","11.342145","0.00000918270502622038","0.00000659485179155827","0.701010101010101","Deciduous Forest","0","#199301"
"530","Modoc","Evergreen Forest","1275","704486.42377","0.222395","479333.503375","552.538371584314","2.001555","6.449455","33.35925","308.3061885","0.264439031471718","0.179924670096713","0.979140786995924","Evergreen Forest","26.44","#0e5100"
"531","Modoc","Fallow","722","11759.580415","0.222395","435.44941","16.2875075","0.44479","1.77916","9.562985","77.5491364999999","0.00441412630610414","0.000163452149466723","0.815148043619969","Fallow","0.44","#562c0a"
"532","Modoc","Fruit Trees","6","7.339035","0.222395","4.670295","1.2231725","0.222395","0.5559875","1.05637625","3.780715","0.00000275481150786611","0.00000175306186864207","0.580808080808081","Fruit Trees","0","#f97020"
"533","Modoc","Grain Crops","859","16763.912705","0.222395","3168.68396","19.5156143247963","0.667185","2.22395","10.7861575","78.3719979999999","0.00629257383792242","0.00118941073830535","0.832950095984496","Grain Crops","0.63","#8eeaff"
"534","Modoc","Grapes","2","0.44479","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.66958273204007e-7","8.34791366020034e-8","0","Grapes","0","#7f00ff"
"535","Modoc","Grassland","1989","555292.515625","0.222395","277229.378385","279.181757478633","2.001555","8.673405","34.69362","445.635101","0.208436969203127","0.104062002960003","0.952729016851758","Grassland","20.84","#94a843"
"536","Modoc","High Intensity Developed","309","483.264335","0.222395","40.253495","1.56396224919094","0.222395","0.44479","1.111975","6.58289199999999","0.000181400163836153","0.0000151097237249626","0.72217282715051","High Intensity Developed","0.02","#700101"
"537","Modoc","Low Intensity Developed","1657","17474.46473","0.222395","3577.668365","10.5458447374774","0.667185","2.001555","5.78227","33.2702919999999","0.00655928967936582","0.00134292887051643","0.817045120768342","Low Intensity Developed","0.66","#fc8f8f"
"538","Modoc","Mixed Forest","11","18.013995","0.222395","11.786935","1.63763590909091","0.3335925","0.44479","1.0007775","6.7830475","0.00000676181006476228","0.00000442439423990618","0.684624017957351","Mixed Forest","0","#287a30"
"539","Modoc","Shrubland","2211","988733.92117","0.222395","564990.716785","447.188566788783","2.891135","11.342145","45.7021725","496.83043","0.371135385545471","0.212077327392068","0.963731510402523","Shrubland","37.11","#686b3e"
"540","Modoc","Tomatoes","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","8.34791366020034e-8","8.34791366020034e-8","0","Tomatoes","0","#ff0000"
"541","Modoc","Vegs & Fruits","252","9180.687995","0.222395","1591.90341","36.4313015674603","0.44479","2.001555","51.7068375","107.5279825","0.0034461022380673","0.000597543659797141","0.795086270904444","Vegs & Fruits","0.34","#016d06"
"542","Modoc","Water","611","96003.695995","0.222395","53996.838815","157.125525360065","0.222395","0.88958","3.335925","78.8390275","0.0360363571674895","0.0202684839295566","0.98395811470335","Water","3.6","#0a00ce"
"543","Modoc","Wetlands","770","23704.415865","0.222395","3605.690135","30.7849556688312","0.44479","1.4455675","8.17301625","85.8111107499997","0.00889779073299774","0.00135344724172828","0.912589703259297","Wetlands","0.89","#3b3872"
"544","Modoc","Winter Wheat","609","5995.546805","0.222395","273.99064","9.84490444170772","0.44479","1.111975","5.115085","51.0618920000001","0.00225051404365341","0.000102846296293668","0.824396543044656","Winter Wheat","0.23","#05006d"
