"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"813","San Joaquin","Alfalfa & Hay","4202","85001.815345","0.222395","1968.418145","20.2288946561161","0.44479","2.22395","8.45101","89.83646025","0.124124987862277","0.00287440776840282","0.851177715243897","Alfalfa & Hay","12.41","#DEBB27"
"814","San Joaquin","Almonds","4866","52873.96646","0.222395","663.62668","10.8660021496095","0.667185","2.001555","8.228615","49.2604925","0.0772098856764471","0.000969069345939895","0.775569599952413","Almonds","7.72","#84784f"
"815","San Joaquin","Barren","767","901.811725","0.222395","83.842915","1.17576496088657","0.222395","0.222395","0.667185","3.780715","0.00131688210381578","0.000122432688813452","0.697285209722252","Barren","0.13","#474747"
"816","San Joaquin","Corn","1385","48174.31532","0.222395","6282.21396","34.7828991480144","0.222395","1.111975","7.56143","133.348042","0.070347160000039","0.00917368327215488","0.915490253827532","Corn","7.03","#f9f900"
"817","San Joaquin","Cotton","55","64.49455","0.222395","34.24883","1.17262818181818","0.222395","0.222395","0.44479","2.134992","0.000094178991394963","0.0000500122919821528","0.73115987460815","Cotton","0.01","#dbdbdb"
"818","San Joaquin","Deciduous Forest","45","28.02177","0.222395","4.00311","0.622706","0.222395","0.44479","0.667185","1.512286","0.0000409191479853977","0.00000584559256934253","0.445502645502646","Deciduous Forest","0","#199301"
"819","San Joaquin","Evergreen Forest","37","29.578535","0.222395","14.67807","0.799419864864865","0.222395","0.222395","0.44479","1.556765","0.0000431924339845865","0.0000214338394209226","0.649867913025808","Evergreen Forest","0","#0e5100"
"820","San Joaquin","Fallow","3192","13848.09186","0.222395","1359.945425","4.33837464285714","0.222395","0.667185","2.001555","12.77659275","0.0202218532282123","0.00198587769786275","0.823791115628733","Fallow","2.02","#562c0a"
"821","San Joaquin","Fruit Trees","2150","9251.409605","0.222395","891.35916","4.30298121162791","0.222395","0.667185","2.891135","18.2586295","0.0135094891828933","0.00130161861210694","0.784667218632827","Fruit Trees","1.35","#f97020"
"822","San Joaquin","Grain Crops","2780","40089.589885","0.222395","1252.08385","14.4207157859712","0.44479","1.33437","6.67185","65.606525","0.0585413362959663","0.00182837145363325","0.845104938000859","Grain Crops","5.85","#8eeaff"
"823","San Joaquin","Grapes","6233","81528.895025","0.222395","1104.191175","13.0802013516766","1.111975","2.891135","9.118195","50.1278329999999","0.119053611553229","0.00161240928371031","0.774685347776662","Grapes","11.91","#7f00ff"
"824","San Joaquin","Grassland","4342","129100.075105","0.222395","5403.086525","29.7328593056195","0.44479","2.001555","6.67185","79.82868525","0.188520035606154","0.00788992619289871","0.91164031838619","Grassland","18.85","#94a843"
"825","San Joaquin","High Intensity Developed","3393","20984.74741","0.222395","594.461835","6.18471777483053","0.44479","1.111975","5.115085","20.7716929999999","0.030643245758779","0.000868070496547366","0.787374878377524","High Intensity Developed","3.06","#700101"
"826","San Joaquin","Low Intensity Developed","6175","28916.909875","0.222395","778.82729","4.68290038461538","0.667185","1.556765","3.780715","14.010885","0.0422262874349313","0.00113729250987986","0.716894633934458","Low Intensity Developed","4.22","#fc8f8f"
"827","San Joaquin","Mixed Forest","79","6168.570115","0.222395","2505.94686","78.0831660126582","0.88958","7.56143","28.91135","217.4355915","0.0090077333942141","0.00365934094840842","0.885449815011982","Mixed Forest","0.9","#287a30"
"828","San Joaquin","Other Tree Crops","54","21.79471","0.222395","2.001555","0.403605740740741","0.222395","0.222395","0.44479","1.0452565","0.0000318260039886427","0.00000292279628467127","0.351095993953137","Other Tree Crops","0","#48CA3B"
"829","San Joaquin","Rice","344","2931.833285","0.222395","569.553595","8.52277117732558","0.222395","0.44479","1.111975","21.98374575","0.00428124704675792","0.000831697920560345","0.921775798288493","Rice","0.43","#0083ff"
"830","San Joaquin","Shrubland","148","16455.45084","0.222395","4891.133235","111.185478648649","0.222395","1.8903575","25.9090175","386.17779775","0.0240292825217107","0.00714233985430835","0.907445253394815","Shrubland","2.4","#686b3e"
"831","San Joaquin","Tomatoes","1753","46361.128885","0.222395","2542.86443","26.4467363861951","0.44479","1.556765","11.342145","117.202164999999","0.0676994313212696","0.00371325030210347","0.856823704597679","Tomatoes","6.77","#ff0000"
"832","San Joaquin","Vegs & Fruits","1266","12267.3082","0.222395","1141.33114","9.68981690363349","0.222395","0.667185","3.335925","39.30831625","0.0179134936736074","0.0016666433925481","0.873127435110498","Vegs & Fruits","1.79","#016d06"
"833","San Joaquin","Walnuts","4144","51725.741075","0.222395","671.410505","12.4820803752413","0.44479","1.556765","7.339035","62.23724075","0.075533174874474","0.000980435775935839","0.81641263110269","Walnuts","7.55","#f59bff"
"834","San Joaquin","Water","764","7040.358515","0.222395","1467.807","9.21512894633508","0.222395","0.667185","3.335925","25.79782","0.0102807735537598","0.00214338394209226","0.885308154966677","Water","1.03","#0a00ce"
"835","San Joaquin","Wetlands","2282","7132.874835","0.222395","381.852215","3.12571202234882","0.222395","0.44479","1.556765","10.88623525","0.0104158716931402","0.000557604580086729","0.813344177897414","Wetlands","1.04","#3b3872"
"836","San Joaquin","Winter Wheat","2000","23909.464055","0.222395","720.337405","11.9547320275","0.222395","0.88958","3.335925","65.19509425","0.0349141006409692","0.00105188190733891","0.875137016435833","Winter Wheat","3.49","#05006d"
