"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"837","San Luis Obispo","Alfalfa & Hay","938","5907.70078","0.222395","639.16323","6.29818846481876","0.222395","0.88958","2.891135","20.46034","0.00311924989578624","0.000337476441819367","0.841417147917136","Alfalfa & Hay","0.31","#DEBB27"
"838","San Luis Obispo","Almonds","246","383.631375","0.222395","107.861575","1.55947713414634","0.222395","0.44479","0.88958","4.00311","0.000202556319463607","0.0000569506173564345","0.75601036879934","Almonds","0.02","#84784f"
"839","San Luis Obispo","Barren","1558","61943.012165","0.222395","19240.948215","39.7580309146341","0.222395","0.667185","2.891135","64.3611129999995","0.0327057414441972","0.0101591681687147","0.961915255420833","Barren","3.27","#474747"
"840","San Luis Obispo","Corn","27","141.44322","0.222395","84.95489","5.23863777777778","0.222395","0.88958","2.446345","17.7248815","0.0000746816343065822","0.0000448559501652742","0.833799208013045","Corn","0.01","#f9f900"
"841","San Luis Obispo","Cotton","43","228.17727","0.222395","111.64229","5.30644813953488","0.222395","1.111975","3.2247275","15.5898895","0.000120476976098354","0.0000589468245627426","0.802801577587379","Cotton","0.01","#dbdbdb"
"842","San Luis Obispo","Deciduous Forest","22","20.237945","0.222395","9.34059","0.919906590909091","0.222395","0.222395","0.61158625","2.6020215","0.0000106855797514135","0.00000493180603911392","0.647852147852148","Deciduous Forest","0","#199301"
"843","San Luis Obispo","Evergreen Forest","2408","77896.739885","0.222395","15729.55356","32.349144470515","0.667185","2.446345","10.67496","87.62363","0.0411292661590038","0.00830516136986784","0.902088629168004","Evergreen Forest","4.11","#0e5100"
"844","San Luis Obispo","Fallow","2143","25167.10778","0.222395","3257.864355","11.7438673728418","0.44479","1.111975","3.335925","27.799375","0.0132881642526259","0.00172014349207095","0.892266317659579","Fallow","1.33","#562c0a"
"845","San Luis Obispo","Fruit Trees","58","52.48522","0.222395","22.017105","0.904917586206897","0.222395","0.222395","0.667185","1.59012425","0.0000277120529816877","0.0000116249713779114","0.646551724137931","Fruit Trees","0","#f97020"
"846","San Luis Obispo","Grain Crops","1704","24107.840395","0.222395","2708.103915","14.1477936590376","0.222395","0.667185","2.66874","38.44097575","0.0127288739629997","0.0014298714794831","0.916790993127456","Grain Crops","1.27","#8eeaff"
"847","San Luis Obispo","Grapes","4256","46490.562775","0.222395","1094.62819","10.9235344866071","0.44479","1.33437","4.4479","44.31220375","0.0245468903201564","0.000577960698202826","0.846154564204167","Grapes","2.45","#7f00ff"
"848","San Luis Obispo","Grassland","8669","850002.5858","0.222395","72257.692265","98.0508231399239","3.11353","7.11664","19.793155","219.904176000001","0.448799046517499","0.0381518643988187","0.917088525930096","Grassland","44.88","#94a843"
"849","San Luis Obispo","High Intensity Developed","1103","4200.374365","0.222395","339.152375","3.80813632366274","0.222395","0.667185","2.22395","13.0990655","0.0022177862062082","0.00017907152880116","0.804311426822912","High Intensity Developed","0.22","#700101"
"850","San Luis Obispo","Low Intensity Developed","7300","70738.95681","0.222395","7057.705325","9.69026805616438","0.88958","2.001555","4.670295","24.46345","0.0373499762216495","0.00372644915836381","0.811694308288473","Low Intensity Developed","3.73","#fc8f8f"
"851","San Luis Obispo","Mixed Forest","4932","175850.39524","0.222395","27048.347085","35.6549868694242","1.111975","3.55832","13.3437","102.74649","0.0928485289714249","0.0142814534736941","0.882042409679706","Mixed Forest","9.28","#287a30"
"852","San Luis Obispo","Other Tree Crops","136","183.475875","0.222395","30.912905","1.34908731617647","0.222395","0.222395","0.88958","4.50349875","0.0000968747614825948","0.0000163219295104008","0.711256684491979","Other Tree Crops","0.01","#48CA3B"
"853","San Luis Obispo","Rice","22","22.906685","0.222395","5.78227","1.04121295454545","0.222395","0.667185","1.111975","3.0468115","0.0000120946671911603","0.00000305302278611814","0.527360988526037","Rice","0","#0083ff"
"854","San Luis Obispo","Shrubland","6743","530262.847955","0.222395","188761.75936","78.6390105227644","0.88958","3.335925","14.67807","140.7537955","0.279977337177011","0.0996656940049201","0.93787206957606","Shrubland","28","#686b3e"
"855","San Luis Obispo","Tomatoes","86","187.478985","0.222395","50.928455","2.17998819767442","0.222395","0.44479","1.111975","8.3398125","0.0000989883926422151","0.0000268900853085021","0.778821484730613","Tomatoes","0.01","#ff0000"
"856","San Luis Obispo","Vegs & Fruits","476","6435.22172","0.222395","387.85688","13.5193733613445","0.44479","1.556765","7.339035","64.93934","0.00339777951304287","0.00020478737457654","0.824207668967504","Vegs & Fruits","0.34","#016d06"
"857","San Luis Obispo","Walnuts","16","17.7916","0.222395","5.559875","1.111975","0.222395","0.222395","0.88958","4.89269","0.00000939391626497889","0.0000029355988328059","0.6265625","Walnuts","0","#f59bff"
"858","San Luis Obispo","Water","719","6148.77696","0.222395","2359.61095","8.55184556328234","0.222395","0.44479","1.556765","15.56765","0.00324653746117671","0.00124586814464283","0.925594418849482","Water","0.32","#0a00ce"
"859","San Luis Obispo","Wetlands","1262","7221.832835","0.222395","592.01549","5.72252998019018","0.222395","0.44479","1.556765","12.45412","0.00381310803590825","0.000312582563717173","0.886128854189386","Wetlands","0.38","#3b3872"
"860","San Luis Obispo","Winter Wheat","244","337.59561","0.222395","40.47589","1.38358856557377","0.222395","0.44479","1.111975","5.52651575","0.000178249561127975","0.000021371159502827","0.681424004838118","Winter Wheat","0.02","#05006d"
