"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"978","Sierra","Alfalfa & Hay","109","4025.3495","0.222395","624.04037","36.9298119266055","1.111975","5.78227","31.802485","147.22549","0.0065819498208146","0.00102038404404452","0.765406254751888","Alfalfa & Hay","0.66","#DEBB27"
"979","Sierra","Barren","27","247.970425","0.222395","135.883345","9.18408981481482","0.222395","0.667185","4.670295","37.0732465","0.00040546265470764","0.000222186261907056","0.850224215246637","Barren","0.04","#474747"
"980","Sierra","Corn","1","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","0.00000181821818254547","0.00000181821818254547","0","Corn","0","#f9f900"
"981","Sierra","Deciduous Forest","53","786.83351","0.222395","605.35919","14.8459152830189","0.222395","0.44479","1.33437","20.638256","0.00128657118596917","0.000989837978577753","0.939439188540589","Deciduous Forest","0.13","#199301"
"982","Sierra","Evergreen Forest","665","377377.405205","0.222395","242171.69777","567.484819857143","6.004665","13.3437","45.146185","319.937446999999","0.617059250275915","0.395981010529301","0.970685757023176","Evergreen Forest","61.71","#0e5100"
"983","Sierra","Fallow","2","0.44479","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","7.27287273018188e-7","3.63643636509094e-7","0","Fallow","0","#562c0a"
"984","Sierra","Fruit Trees","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.63643636509094e-7","3.63643636509094e-7","0","Fruit Trees","0","#f97020"
"985","Sierra","Grain Crops","28","62.2706","0.222395","39.363915","2.22395","0.222395","0.44479","1.0007775","3.825194","0.000101820218222546","0.0000643649236621096","0.785714285714286","Grain Crops","0.01","#8eeaff"
"986","Sierra","Grassland","331","28915.130715","0.222395","5766.479955","87.3568903776435","0.88958","3.335925","35.2496075","335.2604625","0.0472798546880028","0.00942891585104429","0.878504221630139","Grassland","4.73","#94a843"
"987","Sierra","High Intensity Developed","76","387.85688","0.222395","125.208385","5.10338","0.222395","0.667185","1.33437","13.121305","0.00063419450207186","0.00020473136735462","0.856636286817962","High Intensity Developed","0.06","#700101"
"988","Sierra","Low Intensity Developed","440","6185.24974","0.222395","2363.836455","14.0573857727273","0.667185","1.556765","5.115085","24.2632945","0.0101136568185909","0.00386516821245516","0.882531412209249","Low Intensity Developed","1.01","#fc8f8f"
"989","Sierra","Mixed Forest","62","326.698255","0.222395","214.83357","5.26932669354839","0.222395","0.44479","0.88958","4.225505","0.000534192502031859","0.000351279752867785","0.903939480445332","Mixed Forest","0.05","#287a30"
"990","Sierra","Shrubland","678","188205.994255","0.222395","73701.480605","277.589962028024","2.22395","6.67185","36.41718125","191.04842475","0.307740336624914","0.120511137495477","0.961785760144029","Shrubland","30.77","#686b3e"
"991","Sierra","Vegs & Fruits","3","1.77916","0.222395","0.88958","0.593053333333333","0.44479","0.667185","0.7783825","0.8673405","0.00000290914909207275","0.00000145457454603638","0.25","Vegs & Fruits","0","#016d06"
"992","Sierra","Water","53","3979.53613","0.222395","1827.864505","75.0855873584906","0.44479","1.556765","5.115085","408.050345999999","0.00650703923169373","0.00298878704846824","0.927712672741575","Water","0.65","#0a00ce"
"993","Sierra","Wetlands","146","1049.482005","0.222395","138.996875","7.1882329109589","0.44479","1.33437","5.72667125","26.465005","0.00171603432068641","0.000227277272818184","0.779215180834109","Wetlands","0.17","#3b3872"
"994","Sierra","Winter Wheat","20","20.682735","0.222395","4.670295","1.03413675","0.222395","0.44479","0.72278375","4.2477445","0.0000338188581953457","0.00000763651636669097","0.586559139784946","Winter Wheat","0","#05006d"
