"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1040","Sonoma","Alfalfa & Hay","567","1908.816285","0.222395","416.545835","3.36651902116402","0.222395","0.44479","1.33437","11.9648509999999","0.00209496695356218","0.000457168018644059","0.82578066934741","Alfalfa & Hay","0.21","#DEBB27"
"1041","Sonoma","Almonds","47","23.796265","0.222395","2.66874","0.506303510638298","0.222395","0.44479","0.44479","1.5790045","0.0000261169129711235","0.00000292899958554656","0.410021873135812","Almonds","0","#84784f"
"1042","Sonoma","Barren","343","1018.346705","0.222395","350.272125","2.96894083090379","0.222395","0.44479","1.111975","6.22706","0.00111765742518481","0.000384431195602986","0.855799418947063","Barren","0.11","#474747"
"1043","Sonoma","Corn","4","1.33437","0.222395","0.667185","0.3335925","0.222395","0.222395","0.3335925","0.6004665","0.00000146449979277328","7.3224989638664e-7","0.25","Corn","0","#f9f900"
"1044","Sonoma","Deciduous Forest","3004","12171.23356","0.222395","419.88176","4.05167561917443","0.222395","0.667185","2.446345","14.86710575","0.0133581907764827","0.000460829268125992","0.797206974046786","Deciduous Forest","1.34","#199301"
"1045","Sonoma","Evergreen Forest","6497","286771.013465","0.222395","15671.953255","44.138989297368","1.33437","5.559875","22.68429","132.369504","0.314737359047997","0.0172003059828234","0.858020832178689","Evergreen Forest","31.47","#0e5100"
"1046","Sonoma","Fallow","131","977.20363","0.222395","280.440095","7.45956969465649","0.222395","0.88958","3.55832","19.2371675","0.00107250201490763","0.000307789039781184","0.851032115271693","Fallow","0.11","#562c0a"
"1047","Sonoma","Fruit Trees","33","20.90513","0.222395","4.225505","0.633488787878788","0.222395","0.222395","0.44479","2.713219","0.0000229438300867814","0.00000463758267711538","0.524822695035461","Fruit Trees","0","#f97020"
"1048","Sonoma","Grain Crops","600","11050.585155","0.222395","1120.42601","18.417641925","0.222395","0.667185","2.891135","39.9087827499999","0.0121282550338519","0.00122969165933196","0.926838636317897","Grain Crops","1.21","#8eeaff"
"1049","Sonoma","Grapes","5610","68336.64602","0.222395","2200.598525","12.1812203244207","0.44479","1.556765","6.83864625","44.82371225","0.0750009397207004","0.00241520424158193","0.832666567027398","Grapes","7.5","#7f00ff"
"1050","Sonoma","Grassland","8571","220211.0811","0.222395","4368.060195","25.6925774238712","1.556765","4.4479","11.342145","104.4144525","0.241686400801374","0.00479404007164333","0.829408364282629","Grassland","24.17","#94a843"
"1051","Sonoma","High Intensity Developed","2325","12784.376575","0.222395","3409.982535","5.49865659139785","0.222395","0.88958","4.00311","14.010885","0.014031128431262","0.00374252922043212","0.807311386514107","High Intensity Developed","1.4","#700101"
"1052","Sonoma","Low Intensity Developed","8062","42947.14324","0.222395","4743.907745","5.32710781939965","0.667185","1.77916","4.00311","13.121305","0.0471354139970056","0.0052065408466078","0.729095709934079","Low Intensity Developed","4.71","#fc8f8f"
"1053","Sonoma","Mixed Forest","6837","66696.038105","0.222395","1650.1709","9.75516134342548","0.667185","2.001555","5.33748","31.179779","0.0732003372254856","0.00181109807706296","0.810304917130594","Mixed Forest","7.32","#287a30"
"1054","Sonoma","Other Tree Crops","5","1.33437","0.222395","0.44479","0.266874","0.222395","0.222395","0.222395","0.400311","0.00000146449979277328","4.88166597591093e-7","0.133333333333333","Other Tree Crops","0","#48CA3B"
"1055","Sonoma","Rice","26","10.452565","0.222395","1.33437","0.402021730769231","0.222395","0.222395","0.44479","1.16757375","0.0000114719150433907","0.00000146449979277328","0.324877250409166","Rice","0","#0083ff"
"1056","Sonoma","Shrubland","8210","169075.576355","0.222395","6293.556105","20.5938582649208","1.111975","2.66874","8.228615","61.5033372499998","0.185564083826015","0.00690731327261517","0.857702398961925","Shrubland","18.56","#686b3e"
"1057","Sonoma","Tomatoes","2","0.44479","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","4.88166597591093e-7","2.44083298795547e-7","0","Tomatoes","0","#ff0000"
"1058","Sonoma","Vegs & Fruits","91","209.94088","0.222395","27.57698","2.30704263736264","0.222395","0.667185","2.891135","9.8965775","0.000230414634062996","0.0000302663290506478","0.685160178804247","Vegs & Fruits","0.02","#016d06"
"1059","Sonoma","Walnuts","19","8.8958","0.222395","1.556765","0.4682","0.222395","0.222395","0.44479","1.3566095","0.00000976333195182186","0.00000170858309156883","0.402631578947369","Walnuts","0","#f59bff"
"1060","Sonoma","Water","763","6092.066235","0.222395","1481.373095","7.98435941677589","0.222395","0.88958","2.001555","16.635146","0.00668617380390641","0.00162583885327714","0.896170248313718","Water","0.67","#0a00ce"
"1061","Sonoma","Wetlands","1582","10712.099965","0.222395","3416.87678","6.7712389159292","0.222395","0.44479","1.556765","13.121305","0.0117567602530851","0.00375009580269478","0.904906449450772","Wetlands","1.18","#3b3872"
"1062","Sonoma","Winter Wheat","77","114.533425","0.222395","23.57387","1.48744707792208","0.222395","0.44479","0.88958","5.96018600000001","0.000125702898879706","0.0000258728296723279","0.708056991552137","Winter Wheat","0.01","#05006d"
