"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1151","Tulare","Alfalfa & Hay","3261","80357.762955","0.222395","1683.752545","24.6420616237351","0.44479","2.001555","10.67496","131.880235","0.0266801890574962","0.000559035425759638","0.851122658264464","Alfalfa & Hay","2.67","#DEBB27"
"1152","Tulare","Almonds","5622","65729.28704","0.222395","1693.537925","11.6914420206332","0.667185","1.77916","5.78227","50.4614254999999","0.0218232780549614","0.000562284343833","0.830210060109629","Almonds","2.18","#84784f"
"1153","Tulare","Barren","1571","148781.36542","0.222395","135733.673165","94.7048793252705","0.222395","0.44479","1.0007775","4.4479","0.049398027168339","0.0450659641127463","0.994817429353145","Barren","4.94","#474747"
"1154","Tulare","Corn","1178","19362.375885","0.222395","1094.405795","16.4366518548387","0.222395","0.88958","6.22706","80.76274425","0.00642864895957091","0.000363361950886696","0.845594871711168","Corn","0.64","#f9f900"
"1155","Tulare","Cotton","1083","17315.452305","0.222395","865.338945","15.9884139473684","0.222395","0.88958","4.4479","83.1312509999999","0.00574903436986126","0.000287307732351176","0.859943081757862","Cotton","0.57","#dbdbdb"
"1156","Tulare","Deciduous Forest","874","24082.932155","0.222395","6276.43169","27.5548422826087","0.44479","1.33437","4.670295","61.01406825","0.00799595657377961","0.00208388558787327","0.933969778260745","Deciduous Forest","0.8","#199301"
"1157","Tulare","Evergreen Forest","1620","866836.55293","0.222395","490612.932985","535.084291932099","1.33437","4.4479","16.95761875","161.7478835","0.287804964494494","0.16289211302986","0.987998055685752","Evergreen Forest","28.78","#0e5100"
"1158","Tulare","Fallow","5893","85139.700245","0.222395","2784.607795","14.4475988876633","0.44479","1.556765","5.78227","41.81026","0.0282678762487106","0.000924538709012868","0.870364061784735","Fallow","2.83","#562c0a"
"1159","Tulare","Fruit Trees","7695","135214.82563","0.222395","2017.789835","17.5717772098765","1.111975","4.225505","14.010885","72.723165","0.044893697615811","0.000669941674536678","0.765296278711652","Fruit Trees","4.49","#f97020"
"1160","Tulare","Grain Crops","3737","123038.69938","0.222395","5954.181335","32.9244579555793","0.44479","1.33437","10.23017","170.79936","0.0408510097858889","0.00197689280859368","0.880515602113635","Grain Crops","4.09","#8eeaff"
"1161","Tulare","Grapes","4445","52325.0956","0.222395","768.819515","11.7716750506187","0.44479","1.77916","6.22706","49.149295","0.0173728510068323","0.000255261585900286","0.829030685598166","Grapes","1.74","#7f00ff"
"1162","Tulare","Grassland","9613","526704.527955","0.222395","25276.52612","54.790859040362","1.111975","4.00311","10.452565","106.037936","0.174875156631079","0.00839225073968265","0.923904708934536","Grassland","17.49","#94a843"
"1163","Tulare","High Intensity Developed","3611","8899.135925","0.222395","246.41366","2.4644519315979","0.222395","0.667185","1.556765","9.118195","0.00295466947058142","0.0000818136642110261","0.751066425415864","High Intensity Developed","0.3","#700101"
"1164","Tulare","Low Intensity Developed","8931","46364.02002","0.222395","961.413585","5.19135819281156","0.88958","2.001555","4.4479","16.679625","0.0153936691877779","0.000319206200707821","0.687255883798252","Low Intensity Developed","1.54","#fc8f8f"
"1165","Tulare","Mixed Forest","73","1182.029425","0.222395","510.17413","16.1921839041096","0.222395","0.44479","0.88958","65.9178779999999","0.000392454535452711","0.000169386774097558","0.937037848425882","Mixed Forest","0.04","#287a30"
"1166","Tulare","Other Tree Crops","4749","39212.019215","0.222395","704.10257","8.25690023478627","0.44479","0.88958","3.55832","29.80093","0.0130190792713858","0.000233774423187824","0.85343787741903","Other Tree Crops","1.3","#48CA3B"
"1167","Tulare","Rice","27","24.46345","0.222395","5.78227","0.906053703703704","0.222395","0.44479","1.0007775","2.6909795","0.00000812229518340512","0.00000191981522516848","0.515151515151515","Rice","0","#0083ff"
"1168","Tulare","Shrubland","2367","658535.391265","0.222395","361229.08186","278.21520543515","0.667185","2.891135","12.89891","149.249284499999","0.218645319305883","0.119934401390537","0.983441704944568","Shrubland","21.86","#686b3e"
"1169","Tulare","Tomatoes","227","523.740225","0.222395","162.570745","2.30722566079295","0.222395","0.44479","0.88958","4.6035765","0.000173890955971991","0.0000539763434460831","0.825058690386001","Tomatoes","0.02","#ff0000"
"1170","Tulare","Vegs & Fruits","763","3032.13343","0.222395","164.5723","3.97396255570118","0.222395","0.44479","1.556765","16.635146","0.0010067215684595","0.0000546408948701799","0.843803874017062","Vegs & Fruits","0.1","#016d06"
"1171","Tulare","Walnuts","4970","54142.50754","0.222395","592.682675","10.8938646961771","0.44479","1.77916","6.894245","47.6147695000001","0.0179762636999122","0.000196781060579769","0.804115880403099","Walnuts","1.8","#f59bff"
"1172","Tulare","Water","490","7100.18277","0.222395","2538.41653","14.4901689183673","0.222395","0.44479","1.556765","10.941834","0.00235738541841265","0.000842798883848964","0.955495169313732","Water","0.24","#0a00ce"
"1173","Tulare","Wetlands","1000","3663.29044","0.222395","1077.28138","3.66329044","0.222395","0.44479","1.33437","7.35015474999999","0.00121627678419136","0.000357676344258313","0.859469402622632","Wetlands","0.12","#3b3872"
"1174","Tulare","Winter Wheat","3440","44321.321945","0.222395","1198.041865","12.8841052165698","0.44479","0.88958","4.670295","66.5072247499999","0.0147154575399635","0.000397770946845485","0.863694694494308","Winter Wheat","1.47","#05006d"
