"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1215","Yolo","Alfalfa & Hay","1927","61535.584525","0.222395","1623.03871","31.9333598988064","0.667185","2.891135","21.6835125","150.8950075","0.102849927461055","0.00271272979493948","0.816803624868085","Alfalfa & Hay","10.28","#DEBB27"
"1216","Yolo","Almonds","1818","25063.694105","0.222395","682.085465","13.7864103987899","0.667185","1.556765","5.559875","66.940895","0.0418911941846924","0.00114003045780754","0.846041649480346","Almonds","4.19","#84784f"
"1217","Yolo","Barren","344","595.351415","0.222395","124.318805","1.73067271802326","0.222395","0.44479","0.667185","4.63693574999999","0.000995064080714305","0.000207785140500298","0.78298881080001","Barren","0.1","#474747"
"1218","Yolo","Corn","223","3214.274935","0.222395","943.84438","14.4137889461883","0.222395","0.667185","3.4471225","63.5382515","0.00537230525161145","0.00157753154970172","0.896627044395332","Corn","0.54","#f9f900"
"1219","Yolo","Cotton","6","2.891135","0.222395","1.111975","0.481855833333333","0.222395","0.3335925","0.61158625","1.0007775","0.00000483221256977436","0.00000185854329606706","0.346153846153846","Cotton","0","#dbdbdb"
"1220","Yolo","Deciduous Forest","85","112.309475","0.222395","18.458785","1.32128794117647","0.222395","0.44479","1.111975","6.22706","0.000187712872902773","0.0000308518187147132","0.654816540477577","Deciduous Forest","0.02","#199301"
"1221","Yolo","Evergreen Forest","116","4972.974595","0.222395","3128.430465","42.8704706465517","0.667185","3.780715","14.23328","99.410565","0.00831177732867112","0.00522882570915507","0.899099648556831","Evergreen Forest","0.83","#0e5100"
"1222","Yolo","Fallow","2450","97095.87784","0.222395","8474.361475","39.6309705469388","1.33437","4.4479","16.01244","131.035134","0.162285026943302","0.0141639584593271","0.86180518793804","Fallow","16.23","#562c0a"
"1223","Yolo","Fruit Trees","1021","3751.80365","0.222395","325.58628","3.67463628795299","0.222395","0.667185","1.77916","13.566095","0.00627072508093027","0.000544181477088436","0.808680425933871","Fruit Trees","0.63","#f97020"
"1224","Yolo","Grain Crops","1494","33971.948225","0.222395","2178.359025","22.7389211680054","0.44479","1.77916","10.897355","119.5817915","0.0567803562381448","0.00364088631699537","0.837484138379974","Grain Crops","5.68","#8eeaff"
"1225","Yolo","Grapes","1487","16878.00134","0.222395","892.24874","11.3503707733692","0.44479","1.111975","3.335925","52.885531","0.0282097135650243","0.00149129514076421","0.876862657375534","Grapes","2.82","#7f00ff"
"1226","Yolo","Grassland","1966","113547.992755","0.222395","4634.044615","57.7558457553408","0.667185","3.11353","16.234835","202.7130425","0.189782918425933","0.00774529333202987","0.903840934836217","Grassland","18.98","#94a843"
"1227","Yolo","High Intensity Developed","1016","5512.504865","0.222395","435.671805","5.42569376476378","0.44479","1.111975","5.33748","20.1267475","0.00921354253592285","0.000728177263399075","0.75109972397901","High Intensity Developed","0.92","#700101"
"1228","Yolo","Low Intensity Developed","2378","14527.28619","0.222395","472.589375","6.10903540370059","1.111975","2.22395","5.33748","18.903575","0.0242807530371385","0.000789880900828501","0.686259134377055","Low Intensity Developed","2.43","#fc8f8f"
"1229","Yolo","Mixed Forest","234","10726.333245","0.222395","2834.424275","45.8390309615385","0.44479","2.22395","16.45723","149.48279925","0.0179278803425221","0.00473742686167494","0.891682336448151","Mixed Forest","1.79","#287a30"
"1230","Yolo","Other Tree Crops","574","1623.705895","0.222395","340.486745","2.82875591463415","0.222395","0.44479","0.88958","7.27231650000001","0.00271384492091712","0.000569085957255735","0.846096449009181","Other Tree Crops","0.27","#48CA3B"
"1231","Yolo","Rice","259","25422.86203","0.222395","7464.688175","98.1577684555985","0.222395","0.44479","2.22395","267.363269","0.042491503669322","0.0124764011464982","0.956329592209712","Rice","4.25","#0083ff"
"1232","Yolo","Shrubland","317","79074.099015","0.222395","21288.316585","249.445107302839","0.88958","11.11975","104.97044","909.728986999999","0.132163615743943","0.0355810679858855","0.89065322123233","Shrubland","13.22","#686b3e"
"1233","Yolo","Tomatoes","903","38266.395675","0.222395","2043.142865","42.3769608803987","0.667185","4.89269","48.259715","165.773233","0.0639580504475558","0.00341488745219362","0.77685161023164","Tomatoes","6.4","#ff0000"
"1234","Yolo","Vegs & Fruits","571","6835.08793","0.222395","1260.09007","11.9703816637478","0.222395","0.667185","2.891135","44.03421","0.011424093932265","0.00210610126310319","0.891827929318825","Vegs & Fruits","1.14","#016d06"
"1235","Yolo","Walnuts","1320","14823.738725","0.222395","513.28766","11.230105094697","0.44479","1.111975","4.4479","59.868734","0.02477624067987","0.000857903585464556","0.848839194586325","Walnuts","2.48","#f59bff"
"1236","Yolo","Water","301","3637.49262","0.222395","1447.124265","12.084693089701","0.222395","0.88958","3.11353","30.023325","0.00607966683009457","0.00241870824550167","0.90489677759551","Water","0.61","#0a00ce"
"1237","Yolo","Wetlands","751","4827.30587","0.222395","621.37163","6.42783737683089","0.222395","0.44479","1.556765","12.231725","0.00806830815688633","0.00103855399384227","0.899713186864824","Wetlands","0.81","#3b3872"
"1238","Yolo","Winter Wheat","1389","32285.08215","0.222395","583.786875","23.2433996760259","0.44479","2.001555","16.90202","124.585679","0.0539609460580111","0.000975735230435208","0.816724841801868","Winter Wheat","5.4","#05006d"
