"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"161","El Dorado","Alfalfa & Hay","58","23.57387","0.222395","2.446345","0.406446034482759","0.222395","0.222395","0.44479","0.9562985","0.0000224823338698693","0.00000233307238272228","0.370527000650618","Alfalfa & Hay","0","#DEBB27"
"162","El Dorado","Almonds","12","5.33748","0.222395","1.111975","0.44479","0.222395","0.3335925","0.50038875","0.98965775","0.00000509033974412135","0.00000106048744669195","0.326388888888889","Almonds","0","#84784f"
"163","El Dorado","Barren","142","8990.09548","0.222395","4933.833075","63.3105315492958","0.222395","0.222395","0.667185","37.0065279999997","0.00857382890901505","0.00470538280097217","0.973758442202791","Barren","0.86","#474747"
"164","El Dorado","Deciduous Forest","8889","24464.78437","0.222395","1405.09161","2.75225383845202","0.44479","0.667185","1.77916","6.004665","0.0233319964121589","0.00134003193763994","0.759242126203419","Deciduous Forest","2.33","#199301"
"165","El Dorado","Evergreen Forest","13740","661337.123475","0.222395","179914.663865","48.1322506168122","2.891135","5.33748","10.007775","42.69984","0.630715364533015","0.171584111607396","0.908150859141119","Evergreen Forest","63.07","#0e5100"
"166","El Dorado","Fallow","39","14.23328","0.222395","1.77916","0.364955897435897","0.222395","0.222395","0.44479","0.9118195","0.0000135742393176569","0.00000169677991470712","0.310096153846154","Fallow","0","#562c0a"
"167","El Dorado","Fruit Trees","11","4.00311","0.222395","0.88958","0.363919090909091","0.222395","0.222395","0.44479","0.667185","0.00000381775480809101","8.48389957353558e-7","0.252525252525252","Fruit Trees","0","#f97020"
"168","El Dorado","Grapes","27","24.685845","0.222395","2.66874","0.914290555555556","0.222395","0.667185","1.4455675","2.22395","0.0000235428213165612","0.00000254516987206067","0.453787120453787","Grapes","0","#7f00ff"
"169","El Dorado","Grassland","7600","70638.43427","0.222395","4110.74918","9.294530825","0.667185","2.001555","4.670295","21.34992","0.0673676771485953","0.00392040999293079","0.820421274176481","Grassland","6.74","#94a843"
"170","El Dorado","High Intensity Developed","781","2332.03397","0.222395","168.13062","2.98595898847631","0.222395","0.667185","2.22395","11.786935","0.00222405427320235","0.000160345701939822","0.760090827767918","High Intensity Developed","0.22","#700101"
"171","El Dorado","Low Intensity Developed","10300","30563.967245","0.222395","2746.355855","2.96737546067961","0.44479","0.88958","1.77916","5.78227","0.0291487700572642","0.00261919189583977","0.741926676991589","Low Intensity Developed","2.91","#fc8f8f"
"172","El Dorado","Mixed Forest","3641","6219.720965","0.222395","422.5505","1.70824525267784","0.222395","0.44479","1.111975","4.89269","0.00593173048432674","0.00040298522974294","0.724642994759577","Mixed Forest","0.59","#287a30"
"173","El Dorado","Other Tree Crops","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","2.12097489338389e-7","2.12097489338389e-7","0","Other Tree Crops","0","#48CA3B"
"174","El Dorado","Shrubland","11627","229713.352265","0.222395","72615.303425","19.7568893321579","0.44479","1.111975","3.11353","14.455675","0.219076981420048","0.0692530117313242","0.943887389644541","Shrubland","21.91","#686b3e"
"175","El Dorado","Walnuts","16","13.78849","0.222395","2.891135","0.861780625","0.222395","0.44479","1.38996875","2.22395","0.0000131500443389801","0.00000275726736139906","0.471774193548387","Walnuts","0","#f59bff"
"176","El Dorado","Water","369","13705.31427","0.222395","4442.11773","37.1417730894309","0.222395","0.44479","2.001555","11.653498","0.0130707198779676","0.00423643525204499","0.97124986048809","Water","1.31","#0a00ce"
"177","El Dorado","Wetlands","164","499.49917","0.222395","113.86624","3.04572664634146","0.222395","0.222395","0.667185","7.80606449999999","0.000476370961054023","0.000108593914541255","0.867580305366722","Wetlands","0.05","#3b3872"
"178","El Dorado","Winter Wheat","2","0.667185","0.222395","0.44479","0.3335925","0.27799375","0.3335925","0.38919125","0.43367025","6.36292468015168e-7","4.24194978676779e-7","0.166666666666667","Winter Wheat","0","#05006d"
