"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"179","Fresno","Alfalfa & Hay","4011","74702.92529","0.222395","2047.145975","18.6245139092496","0.44479","1.33437","5.559875","86.28926","0.0213758303607912","0.000585779538291177","0.880489964527814","Alfalfa & Hay","2.14","#DEBB27"
"180","Fresno","Almonds","8820","231498.07214","0.222395","2750.13657","26.2469469546485","0.88958","3.0023325","11.342145","131.00177475","0.0662418974853353","0.000786936422651678","0.849428843868882","Almonds","6.62","#84784f"
"181","Fresno","Barren","1295","264012.66593","0.222395","134314.793065","203.870784501931","0.222395","0.44479","2.001555","22.595332","0.075545769300354","0.0384334377851539","0.994374122659893","Barren","7.55","#474747"
"182","Fresno","Corn","1647","6844.650915","0.222395","322.250355","4.15582933515483","0.222395","0.667185","2.446345","14.6113515","0.00195855913633759","0.0000922101630618051","0.796481116811873","Corn","0.2","#f9f900"
"183","Fresno","Cotton","1063","41415.508875","0.222395","1168.90812","38.96096789746","0.44479","1.77916","26.909795","196.330306","0.0118508196108935","0.000334476616323566","0.825890084559956","Cotton","1.19","#dbdbdb"
"184","Fresno","Deciduous Forest","851","1490.713685","0.222395","529.967285","1.75171995887192","0.222395","0.44479","0.88958","4.1143075","0.000426559505178247","0.000151647217789014","0.791906319723196","Deciduous Forest","0.04","#199301"
"185","Fresno","Evergreen Forest","3721","788371.816215","0.222395","607695.67187","211.870953027412","1.556765","4.4479","12.89891","76.726275","0.225588250248837","0.173888767306667","0.979576492612372","Evergreen Forest","22.56","#0e5100"
"186","Fresno","Fallow","7726","261622.142075","0.222395","4519.288795","33.8625604549573","0.667185","2.001555","8.45101","169.40939125","0.0748617340741626","0.00129316958148995","0.887936982990196","Fallow","7.49","#562c0a"
"187","Fresno","Fruit Trees","5265","64544.588875","0.222395","1528.29844","12.2591811728395","0.667185","2.22395","8.8958","49.149295","0.018469078381375","0.000437314175680279","0.795681854395152","Fruit Trees","1.85","#f97020"
"188","Fresno","Grain Crops","2687","41076.134105","0.222395","1030.356035","15.2869870133978","0.222395","0.667185","2.66874","83.4203644999999","0.0117537093908574","0.000294830700804239","0.902181221786227","Grain Crops","1.18","#8eeaff"
"189","Fresno","Grapes","8414","217059.74395","0.222395","4613.584275","25.7974499584027","1.33437","5.78227","19.57076","93.628295","0.0621104494478622","0.00132015171340038","0.78111069072848","Grapes","6.21","#7f00ff"
"190","Fresno","Grassland","9636","490768.83188","0.222395","49637.67442","50.9307629597343","1.33437","4.3367025","11.342145","77.615855","0.140430796463533","0.0142035469666961","0.918709916366763","Grassland","14.04","#94a843"
"191","Fresno","High Intensity Developed","5447","17969.293605","0.222395","139.441665","3.29893401964384","0.222395","0.88958","3.55832","13.0545865","0.00514181433073208","0.0000399004639335761","0.708865360507325","High Intensity Developed","0.51","#700101"
"192","Fresno","Low Intensity Developed","12148","82569.03644","0.222395","6204.37571","6.79692430358907","0.667185","1.77916","4.225505","19.12597","0.0236266747137905","0.00177534791518167","0.780747387956191","Low Intensity Developed","2.36","#fc8f8f"
"193","Fresno","Mixed Forest","235","23536.285245","0.222395","7915.92763","100.154405297872","1.556765","9.562985","53.9307875","397.4421045","0.00673477830710413","0.0022650990641973","0.862627428676431","Mixed Forest","0.67","#287a30"
"194","Fresno","Other Tree Crops","3771","50824.37414","0.222395","1788.94538","13.4776913656855","0.222395","0.667185","2.22395","46.480555","0.0145431145513046","0.000511896861055321","0.91772087546677","Other Tree Crops","1.45","#48CA3B"
"195","Fresno","Rice","23","1308.794575","0.222395","538.418295","56.9041119565217","0.222395","2.66874","55.7099475","259.3792885","0.000374504354464267","0.000154065427724382","0.813446123157623","Rice","0.04","#0083ff"
"196","Fresno","Shrubland","4785","633845.543155","0.222395","265159.112155","132.465108287356","1.111975","3.11353","9.34059","101.590036","0.181371408854836","0.0758738185692177","0.972232797380685","Shrubland","18.14","#686b3e"
"197","Fresno","Tomatoes","1322","90939.09466","0.222395","2359.16616","68.789027730711","0.667185","3.6695175","67.99727125","337.13970025","0.0260217207434621","0.000675062394589115","0.802630505629051","Tomatoes","2.6","#ff0000"
"198","Fresno","Vegs & Fruits","978","31255.615695","0.222395","552.206785","31.9587072546012","0.222395","1.33437","23.62946875","153.77502275","0.00894362217175234","0.000158010928145246","0.811112263537735","Vegs & Fruits","0.89","#016d06"
"199","Fresno","Walnuts","4138","20275.974545","0.222395","401.422975","4.89994551594973","0.44479","0.88958","3.11353","17.7916","0.00580185836888049","0.000114864971929992","0.788994587839414","Walnuts","0.58","#f59bff"
"200","Fresno","Water","1693","24016.88084","0.222395","11260.30364","14.1859898641465","0.222395","0.222395","0.667185","5.115085","0.00687229808790231","0.0032220738275675","0.973457966981168","Water","0.69","#0a00ce"
"201","Fresno","Wetlands","1028","6018.231095","0.222395","3754.249995","5.8543104036965","0.222395","0.44479","1.111975","6.894245","0.0017220836595","0.00107425794523556","0.925309076179958","Wetlands","0.17","#3b3872"
"202","Fresno","Winter Wheat","4200","28771.018755","0.222395","1296.11806","6.85024256071429","0.222395","0.88958","2.446345","23.57387","0.00823266845075408","0.000370877039561215","0.858677052977658","Winter Wheat","0.82","#05006d"
