"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"227","Humboldt","Alfalfa & Hay","78","231.73559","0.222395","63.16018","2.9709691025641","0.44479","0.88958","2.1127525","9.4073085","0.0001215943942417","0.0000331408905610776","0.736133667995472","Alfalfa & Hay","0.01","#DEBB27"
"228","Humboldt","Barren","451","8504.162405","0.222395","2970.30762","18.8562359312639","0.222395","1.33437","5.559875","55.821145","0.0044622342048065","0.00155855540258364","0.899602795789743","Barren","0.45","#474747"
"229","Humboldt","Deciduous Forest","1459","36474.55916","0.222395","3032.800615","24.999697847841","0.44479","2.001555","6.894245","74.5690434999997","0.0191386309124691","0.00159134621331484","0.89991696688829","Deciduous Forest","1.91","#199301"
"230","Humboldt","Evergreen Forest","2225","1413374.48938","0.222395","293501.35335","635.224489608989","20.46034","48.9269","142.3328","915.867088999999","0.741614246101919","0.154003617958348","0.919563811335449","Evergreen Forest","74.16","#0e5100"
"231","Humboldt","Fallow","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.16693276623513e-7","1.16693276623513e-7","0","Fallow","0","#562c0a"
"232","Humboldt","Grain Crops","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","2.33386553247025e-7","2.33386553247025e-7","0","Grain Crops","0","#8eeaff"
"233","Humboldt","Grapes","19","19.793155","0.222395","4.4479","1.041745","0.3335925","0.44479","1.33437","3.4471225","0.0000103857016194926","0.00000233386553247025","0.500295683027794","Grapes","0","#7f00ff"
"234","Humboldt","Grassland","1099","81578.266715","0.222395","2800.175445","74.2295420518653","1.111975","5.559875","36.5839775","366.862791999998","0.0428050776512071","0.00146928504596665","0.850363318943939","Grassland","4.28","#94a843"
"235","Humboldt","High Intensity Developed","252","1036.80549","0.222395","84.287705","4.1143075","0.38919125","0.88958","3.11353","22.78436775","0.000544024055618816","0.0000442267518403113","0.751874323302895","High Intensity Developed","0.05","#700101"
"236","Humboldt","Low Intensity Developed","1315","30761.009215","0.222395","4473.25303","23.3924024448669","1.77916","4.670295","10.1189725","57.155515","0.0161406639427344","0.00234716856600534","0.831077715869022","Low Intensity Developed","1.61","#fc8f8f"
"237","Humboldt","Mixed Forest","1809","76610.18481","0.222395","28771.68594","42.3494664510779","0.667185","2.22395","8.45101","81.8858389999999","0.0401982665447144","0.0150968425833371","0.930442677368959","Mixed Forest","4.02","#287a30"
"238","Humboldt","Shrubland","2060","243682.20461","0.222395","33391.942065","118.292332334951","1.77916","6.67185","27.799375","317.757976","0.127862923675362","0.0175211454051906","0.917354526429511","Shrubland","12.79","#686b3e"
"239","Humboldt","Vegs & Fruits","2","2.001555","0.88958","1.111975","1.0007775","0.94517875","1.0007775","1.05637625","1.10085525","0.00000105023948961161","5.83466383117564e-7","0.0555555555555556","Vegs & Fruits","0","#016d06"
"240","Humboldt","Walnuts","4","4.225505","0.44479","2.001555","1.05637625","0.61158625","0.88958","1.33437","1.868118","0.00000221717225584674","0.00000105023948961161","0.302631578947369","Walnuts","0","#f59bff"
"241","Humboldt","Water","514","9756.246255","0.222395","857.11033","18.9810238424125","0.667185","2.66874","8.228615","55.59875","0.00511921735219688","0.000449735888107018","0.853913087364015","Water","0.51","#0a00ce"
"242","Humboldt","Wetlands","296","3761.14424","0.222395","639.16323","12.7065683783784","0.222395","1.111975","5.17068375","55.15396","0.00197351669425685","0.000335376477015976","0.872595262599402","Wetlands","0.2","#3b3872"
"243","Humboldt","Winter Wheat","10","10.67496","0.222395","3.780715","1.067496","0.222395","0.5559875","1.16757375","3.380404","0.00000560127727792861","0.00000198378570259972","0.541666666666667","Winter Wheat","0","#05006d"
