"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"265","Inyo","Alfalfa & Hay","32","2875.789745","0.222395","2058.04333","89.86842953125","1.27877125","4.5590975","33.85963875","145.6464855","0.000440747916936929","0.000315418855721471","0.877129089010904","Alfalfa & Hay","0.04","#DEBB27"
"266","Inyo","Almonds","3","7.783825","0.222395","6.67185","2.59460833333333","0.5559875","0.88958","3.780715","6.093623","0.00000119296087640496","0.00000102253789406139","0.552380952380953","Almonds","0","#84784f"
"267","Inyo","Barren","330","375367.399195","0.222395","81369.43781","1137.47696725758","0.88958","3.11353","14.67807","435.972038250002","0.0575293793883492","0.0124708039867798","0.97682533574854","Barren","5.75","#474747"
"268","Inyo","Corn","3","2.446345","0.222395","1.556765","0.815448333333333","0.44479","0.667185","1.111975","1.467807","3.74930561155844e-7","2.38592175280992e-7","0.363636363636364","Corn","0","#f9f900"
"269","Inyo","Cotton","1","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","1.02253789406139e-7","1.02253789406139e-7","0","Cotton","0","#dbdbdb"
"270","Inyo","Deciduous Forest","20","441.67647","0.222395","208.828905","22.0838235","0.222395","1.0007775","2.3351475","146.08015575","0.0000676920085868642","0.0000320054360841216","0.856898288016113","Deciduous Forest","0.01","#199301"
"271","Inyo","Evergreen Forest","129","311332.762055","0.222395","161818.16032","2413.43226399225","0.667185","2.22395","8.45101","6838.86864499996","0.0477153333579197","0.0248004977441792","0.971371610915507","Evergreen Forest","4.77","#0e5100"
"272","Inyo","Fallow","44","361.391875","0.222395","214.83357","8.21345170454546","0.222395","0.44479","0.94517875","25.98685575","0.0000553874692616588","0.0000329257201887769","0.901440559440559","Fallow","0.01","#562c0a"
"273","Inyo","Fruit Trees","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","6.81691929374262e-8","6.81691929374262e-8","0","Fruit Trees","0","#f97020"
"274","Inyo","Grain Crops","7","90.959555","0.222395","86.73405","12.9942221428571","0.222395","0.667185","1.4455675","61.1808644999999","0.0000139405999557037","0.0000132929926227981","0.827104435906392","Grain Crops","0","#8eeaff"
"275","Inyo","Grapes","2","5.115085","0.222395","4.89269","2.5575425","1.38996875","2.5575425","3.72511625","4.65917525","7.83945718780401e-7","7.49861122311688e-7","0.456521739130435","Grapes","0","#7f00ff"
"276","Inyo","Grassland","67","15755.573775","0.222395","10109.409515","235.157817537313","0.44479","2.446345","16.90202","307.7724405","0.00241472323682598","0.00154938350167829","0.955452675222237","Grassland","0.24","#94a843"
"277","Inyo","High Intensity Developed","79","2861.33407","0.222395","794.83973","36.2194186075949","0.3335925","1.111975","3.0023325","134.949286","0.000438532418166463","0.000121818347779181","0.921842871113542","High Intensity Developed","0.04","#700101"
"278","Inyo","Low Intensity Developed","453","25108.3955","0.222395","7603.24026","55.4269216335541","0.667185","1.33437","3.780715","30.6905099999999","0.00384815094131771","0.00116528418407236","0.963595672585284","Low Intensity Developed","0.38","#fc8f8f"
"279","Inyo","Mixed Forest","9","31.802485","0.222395","12.89891","3.53360944444444","0.222395","1.111975","5.78227","11.297666","0.00000487409729502597","0.00000197690659518536","0.621600621600622","Mixed Forest","0","#287a30"
"280","Inyo","Other Tree Crops","2","2.001555","0.44479","1.556765","1.0007775","0.72278375","1.0007775","1.27877125","1.50116625","3.06761368218418e-7","2.38592175280992e-7","0.277777777777778","Other Tree Crops","0","#48CA3B"
"281","Inyo","Shrubland","762","5763048.84494","0.222395","1885830.42738","7563.05622695538","5.33748","13.6772925","48.09291875","550.383145999999","0.883253644682943","0.289025243938344","0.991549088973971","Shrubland","88.33","#686b3e"
"282","Inyo","Vegs & Fruits","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","6.81691929374262e-8","6.81691929374262e-8","0","Vegs & Fruits","0","#016d06"
"283","Inyo","Water","21","7772.26046","0.222395","4725.00417","370.107640952381","0.88958","1.77916","20.90513","1686.19889","0.00119118847738859","0.000724161336574279","0.890356829466364","Water","0.12","#0a00ce"
"284","Inyo","Wetlands","111","19691.29809","0.222395","16793.713635","177.399081891892","0.44479","1.556765","9.562985","165.5730775","0.0030179183405328","0.00257383013314193","0.969078043280117","Wetlands","0.3","#3b3872"
"285","Inyo","Winter Wheat","4","36.47278","0.667185","29.35614","9.118195","1.83475875","3.2247275","10.50816375","25.58654475","0.00000558987382086895","0.00000449916673387013","0.603658536585366","Winter Wheat","0","#05006d"
