"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"286","Kern","Alfalfa & Hay","1649","72871.28007","0.222395","1513.17558","44.1911947058824","0.667185","3.55832","27.13219","221.549899","0.0159062130231373","0.000330293266342636","0.830913248913701","Alfalfa & Hay","1.59","#DEBB27"
"287","Kern","Almonds","2934","206815.78546","0.222395","29284.52881","70.4893610974779","0.88958","3.335925","24.241055","233.19227725","0.0451433807243976","0.006392174709798","0.896916721562686","Almonds","4.51","#84784f"
"288","Kern","Barren","5115","240694.99497","0.222395","102096.20702","47.0566950087977","0.44479","1.33437","5.115085","48.1707570000001","0.0525384741412266","0.0222853779452545","0.960880241308282","Barren","5.25","#474747"
"289","Kern","Corn","366","8961.18413","0.222395","663.62668","24.4841096448087","0.222395","1.33437","11.28654625","133.04780875","0.00195603128659761","0.000144855247908058","0.837898820716911","Corn","0.2","#f9f900"
"290","Kern","Cotton","532","18797.27019","0.222395","1981.09466","35.3332146428571","0.667185","2.891135","28.96694875","148.4041835","0.00410303460579251","0.000432429808433304","0.822906853632271","Cotton","0.41","#dbdbdb"
"291","Kern","Deciduous Forest","792","18416.52995","0.222395","3730.45373","23.2531943813131","0.44479","0.88958","3.61391875","76.58171825","0.00401992730538413","0.000814276785660107","0.922756669459966","Deciduous Forest","0.4","#199301"
"292","Kern","Evergreen Forest","3284","248558.214985","0.222395","163971.8335","75.6876415910475","0.667185","1.77916","6.004665","52.707615","0.0542548437793919","0.0357914793172289","0.97139804811065","Evergreen Forest","5.43","#0e5100"
"293","Kern","Fallow","5198","316346.879725","0.222395","17583.215885","60.8593458493651","1.556765","5.78227","20.46034","160.791585","0.069051632594858","0.00383803299777304","0.889386786111887","Fallow","6.91","#562c0a"
"294","Kern","Fruit Trees","1071","40348.012875","0.222395","2042.03089","37.6732146358543","0.44479","2.22395","22.2395","167.7970275","0.00880709227604536","0.000445730860017354","0.843376181945839","Fruit Trees","0.88","#f97020"
"295","Kern","Grain Crops","1559","43611.6595","0.222395","4173.686965","27.9741241180244","0.44479","1.111975","6.004665","119.0035645","0.00951947523953422","0.000911024945539718","0.911229762930055","Grain Crops","0.95","#8eeaff"
"296","Kern","Grapes","1632","71475.08426","0.222395","2661.845755","43.7960075122549","0.44479","1.77916","15.790045","211.564363499999","0.0156014538923173","0.000581022943100383","0.879951157625857","Grapes","1.56","#7f00ff"
"297","Kern","Grassland","10067","944361.893165","0.222395","107210.180045","93.8076778747393","1.33437","4.4479","16.90202","161.01398","0.206133629451635","0.0234016468546532","0.937225792605892","Grassland","20.61","#94a843"
"298","Kern","High Intensity Developed","4303","21573.426975","0.222395","2487.043285","5.01357819544504","0.222395","0.88958","3.55832","14.23328","0.00470900915660896","0.000542867371768033","0.807538231094963","High Intensity Developed","0.47","#700101"
"299","Kern","Low Intensity Developed","16036","170618.997655","0.222395","21796.711555","10.6397479206161","0.667185","1.556765","4.00311","22.461895","0.0372424104515197","0.00475774731642789","0.868747529882361","Low Intensity Developed","3.72","#fc8f8f"
"300","Kern","Mixed Forest","245","3905.70099","0.222395","2128.76494","15.9416366938776","0.222395","0.44479","1.33437","14.589112","0.000852529444960224","0.000464663013731879","0.956100950800545","Mixed Forest","0.09","#287a30"
"301","Kern","Other Tree Crops","1816","79177.290295","0.222395","15593.00303","43.5998294575991","0.44479","1.33437","7.83942375","134.8825675","0.017282677686151","0.00340361288600052","0.925062408460363","Other Tree Crops","1.73","#48CA3B"
"302","Kern","Rice","2","1.111975","0.44479","0.667185","0.5559875","0.50038875","0.5559875","0.61158625","0.65606525","2.42719919416987e-7","1.45631951650192e-7","0.0999999999999999","Rice","0","#0083ff"
"303","Kern","Shrubland","19373","1996896.936725","0.222395","961332.410825","103.076288480101","4.4479","9.34059","20.01555","119.64851","0.435879101208138","0.209837923773809","0.922922689232203","Shrubland","43.59","#686b3e"
"304","Kern","Tomatoes","659","17395.29211","0.222395","3381.071185","26.3964978907436","0.44479","1.111975","6.1158625","103.458154","0.00379701333139157","0.00073801418697929","0.900909837960758","Tomatoes","0.38","#ff0000"
"305","Kern","Vegs & Fruits","1181","29096.38264","0.222395","2558.654475","24.637072514818","0.44479","1.111975","6.67185","111.64229","0.00635110649943264","0.000558498534578487","0.888402596987047","Vegs & Fruits","0.64","#016d06"
"306","Kern","Walnuts","201","1176.247155","0.222395","297.786905","5.85197589552239","0.222395","0.44479","1.556765","13.78849","0.000256749130759289","0.0000650003944198691","0.883640033901207","Walnuts","0.03","#f59bff"
"307","Kern","Water","596","6611.136165","0.222395","1652.172455","11.0925103439597","0.222395","0.44479","1.556765","22.62869125","0.00144306700890175","0.000360633256269759","0.932742938367782","Water","0.14","#0a00ce"
"308","Kern","Wetlands","776","6712.77068","0.222395","1507.8381","8.65047768041237","0.222395","0.44479","1.111975","13.2325025","0.00146525160953647","0.000329128210729434","0.933085836423202","Wetlands","0.15","#3b3872"
"309","Kern","Winter Wheat","1427","16885.11798","0.222395","642.27676","11.8325984442887","0.3335925","0.88958","4.670295","60.2912845","0.00368565343236306","0.000140195025455252","0.860487917563859","Winter Wheat","0.37","#05006d"
