"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"310","Kings","Alfalfa & Hay","1608","49322.985495","0.222395","3320.134955","30.6734984421642","0.667185","2.446345","13.121305","147.581322","0.0575268146427364","0.0038723687592779","0.859572585285996","Alfalfa & Hay","5.75","#DEBB27"
"311","Kings","Almonds","2161","36372.479855","0.222395","3913.040025","16.8313187667746","1.111975","3.11353","9.34059","70.054425","0.0424222679490349","0.00456389097189997","0.809942118310936","Almonds","4.24","#84784f"
"312","Kings","Barren","258","2732.567365","0.222395","469.25345","10.591346375969","0.222395","0.44479","2.891135","36.5394985","0.00318707180288349","0.000547303776681383","0.897500856454449","Barren","0.32","#474747"
"313","Kings","Corn","583","9477.807715","0.222395","427.220795","16.2569600600343","0.44479","1.111975","13.78849","84.7992134999999","0.0110542393605832","0.000498279883888596","0.806687480185212","Corn","1.11","#f9f900"
"314","Kings","Cotton","655","51881.417575","0.222395","22053.57778","79.2082711068702","0.44479","1.556765","16.5684275","235.7164605","0.0605107874611927","0.0257217211899681","0.923243609731372","Cotton","6.05","#dbdbdb"
"315","Kings","Deciduous Forest","9","4.00311","0.222395","1.111975","0.44479","0.222395","0.44479","0.44479","0.934059","0.00000466894217074166","0.00000129692838076157","0.308641975308642","Deciduous Forest","0","#199301"
"316","Kings","Evergreen Forest","7","4.4479","0.222395","2.891135","0.635414285714286","0.222395","0.222395","0.3335925","2.1572315","0.00000518771352304629","0.00000337201378998009","0.542857142857143","Evergreen Forest","0","#0e5100"
"317","Kings","Fallow","2605","276252.39715","0.222395","50277.060045","106.04698547025","1.33437","5.78227","19.348365","179.205890999998","0.32220110534612","0.0586395791934299","0.935480948708777","Fallow","32.22","#562c0a"
"318","Kings","Fruit Trees","797","3763.145795","0.222395","283.77602","4.72163838770389","0.222395","0.667185","1.77916","23.9297019999999","0.00438906502617331","0.000330976122770353","0.834459819441397","Fruit Trees","0.44","#f97020"
"319","Kings","Grain Crops","1615","93378.990205","0.222395","29327.67344","57.8198081764706","0.44479","2.001555","18.903575","196.3525455","0.108910598317158","0.034205707885558","0.899573115259205","Grain Crops","10.89","#8eeaff"
"320","Kings","Grapes","1109","9239.845065","0.222395","847.102555","8.33169077096483","0.44479","1.111975","3.780715","29.4450979999999","0.0107766966871002","0.000988000040464166","0.841874975841347","Grapes","1.08","#7f00ff"
"321","Kings","Grassland","710","130143.107655","0.222395","26115.177665","183.300151626761","1.111975","5.0038875","23.12908","437.617761249999","0.151789644441897","0.0304588817935378","0.944897857605605","Grassland","15.18","#94a843"
"322","Kings","High Intensity Developed","1239","9816.737695","0.222395","2169.24083","7.92311355528652","0.44479","0.88958","3.335925","17.3023309999998","0.0114495431310393","0.00253004788518967","0.87253022675757","High Intensity Developed","1.14","#700101"
"323","Kings","Low Intensity Developed","2464","25506.48255","0.222395","1860.11178","10.3516568790584","0.88958","2.22395","5.559875","24.3967315","0.0297489431979089","0.00216950179533796","0.807944396696685","Low Intensity Developed","2.97","#fc8f8f"
"324","Kings","Mixed Forest","37","1544.533275","0.222395","644.723105","41.7441425675676","0.667185","3.780715","23.57387","167.68583","0.00180143352087782","0.000751959075165559","0.81751211254451","Mixed Forest","0.18","#287a30"
"325","Kings","Other Tree Crops","2089","36547.282325","0.222395","5189.142535","17.4951088200096","0.667185","2.001555","5.78227","43.5004619999999","0.0426261450904906","0.00605224598166195","0.881912446267369","Other Tree Crops","4.26","#48CA3B"
"326","Kings","Rice","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","2.59385676152314e-7","2.59385676152314e-7","0","Rice","0","#0083ff"
"327","Kings","Shrubland","114","19963.50957","0.222395","3736.903185","175.118505","0.44479","2.5575425","32.91446","1458.7555235","0.0232840146054887","0.00435845751638734","0.900983883633509","Shrubland","2.33","#686b3e"
"328","Kings","Tomatoes","412","27348.35794","0.222395","15544.743315","66.3795095631068","0.222395","1.111975","4.89269","158.5009165","0.0318971753678024","0.0181302806060183","0.945311056680675","Tomatoes","3.19","#ff0000"
"329","Kings","Vegs & Fruits","256","6897.136135","0.222395","782.38561","26.9419380273438","0.222395","0.667185","2.66874","161.1251775","0.00804432797451173","0.000912518808703842","0.90472279265953","Vegs & Fruits","0.8","#016d06"
"330","Kings","Walnuts","1611","19801.383615","0.222395","531.52405","12.2913616480447","0.667185","2.001555","8.45101","60.04665","0.0230949224475736","0.000619931766004031","0.792652692172338","Walnuts","2.31","#f59bff"
"331","Kings","Water","507","11414.64577","0.222395","6191.92159","22.5140942209073","0.222395","0.222395","0.667185","16.946499","0.0133132292141937","0.00722181599543274","0.975534966533681","Water","1.33","#0a00ce"
"332","Kings","Wetlands","96","1294.561295","0.222395","472.36698","13.4850134895833","0.222395","0.44479","1.77916","28.63335625","0.00150988402088262","0.000550935176147516","0.920633983278933","Wetlands","0.15","#3b3872"
"333","Kings","Winter Wheat","1735","34683.167435","0.222395","3682.41641","19.9902982334294","0.44479","1.556765","6.004665","72.8343624999999","0.0404519743529819","0.00429490802573002","0.886503472717368","Winter Wheat","4.05","#05006d"
