"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"664","Riverside","Alfalfa & Hay","871","61077.67322","0.222395","8579.776705","70.1236202296211","0.667185","3.55832","26.465005","270.0987275","0.0140451709381625","0.00197297022103209","0.885765889826842","Alfalfa & Hay","1.4","#DEBB27"
"665","Riverside","Almonds","89","187.25659","0.222395","41.587865","2.10400662921348","0.222395","0.44479","0.88958","9.42954799999995","0.0000430607565283968","0.00000956337466842067","0.787397582001121","Almonds","0","#84784f"
"666","Riverside","Barren","5366","295181.102785","0.222395","99793.306795","55.0095234411107","0.222395","0.667185","3.11353","48.704505","0.0678786343316866","0.02294805906197","0.974638824472601","Barren","6.79","#474747"
"667","Riverside","Corn","179","1978.42592","0.222395","169.46499","11.0526587709497","0.3335925","1.111975","8.1174175","60.9139905","0.000454950700803584","0.000038969473247789","0.799603613198826","Corn","0.05","#f9f900"
"668","Riverside","Cotton","50","3001.220525","0.222395","594.23944","60.0244105","0.667185","6.004665","69.83203","215.44515625","0.000690148348397524","0.0001366488615723","0.743322712115599","Cotton","0.07","#dbdbdb"
"669","Riverside","Deciduous Forest","50","188.368565","0.222395","64.272155","3.7673713","0.222395","0.44479","2.16835125","17.168894","0.0000433164617334348","0.0000147797608511956","0.809893742621015","Deciduous Forest","0","#199301"
"670","Riverside","Evergreen Forest","825","77135.4818","0.222395","14734.780725","93.4975536969697","0.222395","0.667185","4.4479","93.8506899999999","0.017737758663075","0.00338834967195835","0.971045805768444","Evergreen Forest","1.77","#0e5100"
"671","Riverside","Fallow","3763","56904.431045","0.222395","2822.19255","15.122091694127","0.44479","1.77916","6.894245","55.3541154999999","0.0130855093036549","0.000648979810386408","0.856405883083028","Fallow","1.31","#562c0a"
"672","Riverside","Fruit Trees","819","11679.073425","0.222395","927.38715","14.2601629120879","0.44479","1.33437","4.670295","44.8125924999995","0.00268567176851396","0.00021325814100168","0.881517589543868","Fruit Trees","0.27","#f97020"
"673","Riverside","Grain Crops","618","10767.698715","0.222395","665.628235","17.4234607038835","0.44479","0.88958","5.115085","95.7188079999999","0.00247609578246483","0.000153065135735738","0.867110150738063","Grain Crops","0.25","#8eeaff"
"674","Riverside","Grapes","498","10262.63967","0.222395","1658.844305","20.6077101807229","0.44479","1.33437","4.89269","86.7340499999999","0.00235995447833658","0.000381461024875667","0.897049995152456","Grapes","0.24","#7f00ff"
"675","Riverside","Grassland","13824","208250.23321","0.222395","8091.397285","15.0643976569734","1.111975","2.891135","6.67185","34.026435","0.047888368517432","0.00186066449497941","0.83815794493555","Grassland","4.79","#94a843"
"676","Riverside","High Intensity Developed","8742","55274.49809","0.222395","938.06211","6.32286640242507","0.44479","1.111975","5.33748","22.2395","0.0127106966141102","0.000215712910970045","0.776082361244068","High Intensity Developed","1.27","#700101"
"677","Riverside","Low Intensity Developed","20011","171841.280575","0.222395","3996.88294","8.58734099120484","0.88958","2.22395","4.670295","22.017105","0.0395159152709552","0.000919106788988536","0.787358132356426","Low Intensity Developed","3.95","#fc8f8f"
"678","Riverside","Mixed Forest","954","4873.341635","0.222395","740.797745","5.10832456498952","0.222395","0.667185","1.556765","10.97519325","0.00112065363159948","0.000170350807596306","0.874310224892588","Mixed Forest","0.11","#287a30"
"679","Riverside","Other Tree Crops","215","1379.960975","0.222395","808.405825","6.41842313953488","0.222395","0.44479","1.111975","7.33903499999996","0.00031733015945214","0.000185897684062616","0.917497142214643","Other Tree Crops","0.03","#48CA3B"
"680","Riverside","Shrubland","21439","3247582.811755","0.222395","199291.050635","151.480144211717","2.446345","6.22706","17.569205","105.904498999999","0.746800808253469","0.0458281516804409","0.959604543821158","Shrubland","74.68","#686b3e"
"681","Riverside","Tomatoes","23","161.90356","0.222395","58.045095","7.0392852173913","0.44479","1.33437","4.89269","43.9230125","0.0000372306778535307","0.0000133478117029829","0.746536072623029","Tomatoes","0","#ff0000"
"682","Riverside","Vegs & Fruits","1556","28456.107435","0.222395","1039.91902","18.287986783419","0.44479","2.66874","10.67496","81.56336625","0.00654364962004508","0.000239135507751524","0.823928756415761","Vegs & Fruits","0.65","#016d06"
"683","Riverside","Water","484","57727.51494","0.222395","17920.5891","119.271725082645","0.222395","0.88958","4.94828875","103.24687875","0.013274782296424","0.00412094508439218","0.973737107352689","Water","1.33","#0a00ce"
"684","Riverside","Wetlands","1106","7459.57309","0.222395","1676.8583","6.74464113019892","0.222395","0.222395","0.667185","7.72822625","0.00171537279747682","0.000385603449197283","0.937531235298856","Wetlands","0.17","#3b3872"
"685","Riverside","Winter Wheat","2913","37289.41444","0.222395","1154.23005","12.8010348232063","0.667185","2.001555","6.67185","50.572623","0.00857492062782583","0.000265422002829429","0.826585078968441","Winter Wheat","0.86","#05006d"
