"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"753","San Diego","Alfalfa & Hay","111","116.09019","0.222395","14.010885","1.04585756756757","0.44479","0.44479","0.667185","3.6695175","0.0000337733574793429","0.00000407609486819656","0.590383486935211","Alfalfa & Hay","0","#DEBB27"
"754","San Diego","Almonds","1","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","3.23499592714013e-7","3.23499592714013e-7","0","Almonds","0","#84784f"
"755","San Diego","Barren","3886","287054.1223","0.222395","160862.529005","73.8687911219763","0.222395","1.111975","5.33748","46.925345","0.083510772859937","0.0467986803804614","0.975827001089697","Barren","8.35","#474747"
"756","San Diego","Deciduous Forest","13","15.345255","0.222395","10.007775","1.18040423076923","0.222395","0.222395","0.667185","4.67029499999999","0.00000446429437945338","0.00000291149633442612","0.688963210702341","Deciduous Forest","0","#199301"
"757","San Diego","Evergreen Forest","2466","68495.88084","0.222395","10620.028435","27.7761073965937","0.222395","0.667185","2.66874","30.3569175","0.0199270573118348","0.00308961521017445","0.960033938906198","Evergreen Forest","1.99","#0e5100"
"758","San Diego","Fallow","413","303.569175","0.222395","34.24883","0.735034322033898","0.222395","0.222395","0.44479","1.868118","0.0000883153888109255","0.00000996378745559159","0.628780743066457","Fallow","0.01","#562c0a"
"759","San Diego","Fruit Trees","11","10.23017","0.222395","2.66874","0.930015454545455","0.222395","0.44479","1.6679625","2.446345","0.00000297619625296892","7.76399022513631e-7","0.494071146245059","Fruit Trees","0","#f97020"
"760","San Diego","Grain Crops","5","1.33437","0.222395","0.44479","0.266874","0.222395","0.222395","0.222395","0.400311","3.88199511256815e-7","1.29399837085605e-7","0.133333333333333","Grain Crops","0","#8eeaff"
"761","San Diego","Grapes","2","1.556765","0.44479","1.111975","0.7783825","0.61158625","0.7783825","0.94517875","1.07861575","4.52899429799618e-7","3.23499592714013e-7","0.214285714285714","Grapes","0","#7f00ff"
"762","San Diego","Grassland","13591","210125.245455","0.222395","21434.207705","15.460616985873","0.44479","1.33437","4.225505","24.1298575","0.0611303593368776","0.00623571344923677","0.912774775266155","Grassland","6.11","#94a843"
"763","San Diego","High Intensity Developed","61125","725476.95345","0.222395","4605.80045","11.8687436147239","3.55832","6.22706","11.56454","44.03421","0.211058251277662","0.00133993531302144","0.581909321001721","High Intensity Developed","21.11","#700101"
"764","San Diego","Low Intensity Developed","66561","427102.03607","0.222395","14482.80719","6.41670101215426","1.111975","2.66874","5.559875","15.12286","0.124253993764222","0.00421338809534439","0.692214910095392","Low Intensity Developed","12.43","#fc8f8f"
"765","San Diego","Mixed Forest","3026","28370.04057","0.222395","5735.56705","9.37542649372108","0.222395","0.667185","2.001555","12.676515","0.00825350980883115","0.00166861089921888","0.920835676119664","Mixed Forest","0.83","#287a30"
"766","San Diego","Other Tree Crops","1","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","3.23499592714013e-7","3.23499592714013e-7","0","Other Tree Crops","0","#48CA3B"
"767","San Diego","Shrubland","26362","1659986.52572","0.222395","245045.263565","62.9689145633867","1.33437","5.115085","14.010885","85.84447","0.4829289911924","0.0712894111466314","0.92886697622626","Shrubland","48.29","#686b3e"
"768","San Diego","Vegs & Fruits","26","18.458785","0.222395","5.115085","0.709953269230769","0.222395","0.222395","0.667185","2.446345","0.00000537009323905261","0.00000148809812648446","0.561167747914736","Vegs & Fruits","0","#016d06"
"769","San Diego","Water","1394","8751.465645","0.222395","3664.62481","6.27795239956958","0.222395","0.222395","0.667185","3.11353","0.00254600649457782","0.0010661252577483","0.946706274147396","Water","0.25","#0a00ce"
"770","San Diego","Wetlands","5161","20948.941815","0.222395","2262.869125","4.05908580023251","0.222395","0.44479","1.556765","6.004665","0.00609453822697637","0.000658321671173016","0.863233921755175","Wetlands","0.61","#3b3872"
"771","San Diego","Winter Wheat","344","550.427625","0.222395","174.135285","1.60008030523256","0.222395","0.222395","0.44479","2.41298574999999","0.000160132298393436","0.0000506600362190144","0.82074113225276","Winter Wheat","0.02","#05006d"
