"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"905","Santa Cruz","Alfalfa & Hay","92","351.82889","0.222395","101.85691","3.82422706521739","0.44479","1.111975","3.2247275","11.37550425","0.00146236400107228","0.000423364546454553","0.742964326938932","Alfalfa & Hay","0.15","#DEBB27"
"906","Santa Cruz","Almonds","34","46.70295","0.222395","13.121305","1.37361617647059","0.222395","0.44479","1.72356125","4.50349874999998","0.000194119115186585","0.0000545382276000407","0.636694677871148","Almonds","0.02","#84784f"
"907","Santa Cruz","Barren","172","400.978185","0.222395","140.55364","2.33126851744186","0.222395","0.44479","1.16757375","7.0944005","0.00166665126038768","0.000584206099037724","0.782813527841195","Barren","0.17","#474747"
"908","Santa Cruz","Corn","24","28.91135","0.222395","6.894245","1.20463958333333","0.222395","0.44479","1.16757375","5.69331199999999","0.000120168976067886","0.0000286556789084959","0.605128205128205","Corn","0.01","#f9f900"
"909","Santa Cruz","Cotton","17","14.67807","0.222395","4.225505","0.863415882352941","0.222395","0.44479","1.556765","2.446345","0.0000610088647729269","0.0000175631580406911","0.532976827094474","Cotton","0.01","#dbdbdb"
"910","Santa Cruz","Deciduous Forest","4","2.22395","0.222395","1.33437","0.5559875","0.222395","0.3335925","0.667185","1.200933","0.0000092437673898374","0.00000554626043390244","0.4","Deciduous Forest","0","#199301"
"911","Santa Cruz","Evergreen Forest","4426","133380.95646","0.222395","34607.108345","30.1357786850429","2.66874","6.004665","12.45412","57.600305","0.55439310045202","0.143843188729999","0.838812841384344","Evergreen Forest","55.44","#0e5100"
"912","Santa Cruz","Fallow","323","1804.95782","0.222395","106.082415","5.58810470588235","0.44479","1.556765","5.559875","22.4396555","0.00750224161359204","0.000440927704495244","0.712337514705501","Fallow","0.75","#562c0a"
"913","Santa Cruz","Fruit Trees","13","16.45723","0.222395","5.559875","1.26594076923077","0.222395","0.44479","0.88958","4.759253","0.0000684038786847968","0.0000231094184745935","0.592515592515592","Fruit Trees","0.01","#f97020"
"914","Santa Cruz","Grain Crops","115","263.538075","0.222395","48.03732","2.29163543478261","0.44479","0.88958","1.6679625","8.11741749999999","0.00109538643569573","0.000199665375620488","0.683558980003669","Grain Crops","0.11","#8eeaff"
"915","Santa Cruz","Grapes","93","113.199055","0.222395","6.894245","1.21719413978495","0.44479","0.667185","1.556765","3.780715","0.000470507760142724","0.0000286556789084959","0.502735703572259","Grapes","0.05","#7f00ff"
"916","Santa Cruz","Grassland","1344","15236.503845","0.222395","1086.399575","11.3366844084821","0.667185","2.001555","6.22706","32.88110075","0.063329974764515","0.00451558036993557","0.822320622739761","Grassland","6.33","#94a843"
"917","Santa Cruz","High Intensity Developed","884","3919.711875","0.222395","175.69205","4.43406320701358","0.44479","1.33437","5.115085","15.08950075","0.0162921400245884","0.000730257623797155","0.696645999807451","High Intensity Developed","1.63","#700101"
"918","Santa Cruz","Low Intensity Developed","4119","25207.58367","0.222395","2034.691855","6.11983094683176","1.111975","2.446345","4.670295","18.013995","0.104774405856851","0.00845712278496224","0.692714104653408","Low Intensity Developed","10.48","#fc8f8f"
"919","Santa Cruz","Mixed Forest","4318","36853.07545","0.222395","4469.027525","8.53475577813803","1.111975","2.446345","5.33748","20.90513","0.153178469416996","0.0185753505698783","0.768525772393939","Mixed Forest","15.32","#287a30"
"920","Santa Cruz","Rice","3","0.88958","0.222395","0.44479","0.296526666666667","0.222395","0.222395","0.3335925","0.4225505","0.00000369750695593496","0.00000184875347796748","0.166666666666667","Rice","0","#0083ff"
"921","Santa Cruz","Shrubland","2755","18307.778795","0.222395","2642.49739","6.64529175862069","0.44479","1.33437","3.335925","15.8567634999999","0.0760956175298805","0.0109834444126048","0.826985583481564","Shrubland","7.61","#686b3e"
"922","Santa Cruz","Tomatoes","25","40.698285","0.222395","8.8958","1.6279314","0.222395","0.667185","2.22395","5.826749","0.000169160943234024","0.0000369750695593496","0.61551912568306","Tomatoes","0.02","#ff0000"
"923","Santa Cruz","Vegs & Fruits","179","773.9346","0.222395","143.889565","4.32365698324022","0.44479","1.111975","3.780715","16.7018645","0.00321683105166342","0.00059807175012248","0.739260258139087","Vegs & Fruits","0.32","#016d06"
"924","Santa Cruz","Walnuts","36","34.69362","0.222395","7.783825","0.963711666666667","0.222395","0.44479","0.72278375","3.4471225","0.000144202771281463","0.0000323531858644309","0.573005698005698","Walnuts","0.01","#f59bff"
"925","Santa Cruz","Water","252","1226.28603","0.222395","156.12129","4.86621440476191","0.222395","0.667185","2.94673375","22.09494325","0.00509701333875634","0.000648912470766586","0.808376657397332","Water","0.51","#0a00ce"
"926","Santa Cruz","Wetlands","367","2306.23615","0.222395","285.777575","6.28402220708447","0.222395","0.88958","3.55832","33.670603","0.00958578678326139","0.00118782410959411","0.81017975242985","Wetlands","0.96","#3b3872"
"927","Santa Cruz","Winter Wheat","112","257.311015","0.222395","24.685845","2.29741977678571","0.44479","1.0007775","2.27954875","8.09517799999997","0.00106950388700419","0.000102605818027195","0.638296394616619","Winter Wheat","0.11","#05006d"
