"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1058","Sutter","Alfalfa & Hay","1116","11741.788815","0.222395","396.530285","10.5213161424731","0.44479","1.33437","5.33748","59.87985375","0.0329155891601808","0.00111158769385765","0.824863667650281","Alfalfa & Hay","3.29","#DEBB27"
"1059","Sutter","Almonds","1630","12006.438865","0.222395","824.418265","7.36591341411043","0.44479","1.33437","4.225505","28.83351175","0.0336574788717291","0.00231107996698279","0.800541814144987","Almonds","3.37","#84784f"
"1060","Sutter","Barren","201","114.75582","0.222395","8.228615","0.57092447761194","0.222395","0.222395","0.44479","2.001555","0.000321693353915058","0.0000230671590985604","0.51602452852019","Barren","0.03","#474747"
"1061","Sutter","Corn","157","1846.990475","0.222395","153.45255","11.7642705414013","0.222395","0.44479","2.001555","82.553024","0.00517764206252821","0.000430171345351531","0.843804476621788","Corn","0.52","#f9f900"
"1062","Sutter","Cotton","53","531.746445","0.222395","288.66871","10.0329517924528","0.222395","0.222395","0.667185","38.0740239999999","0.00149063722715291","0.000809220878646793","0.927629554224569","Cotton","0.15","#dbdbdb"
"1063","Sutter","Deciduous Forest","72","2151.44923","0.222395","519.292325","29.8812393055556","0.222395","1.0007775","15.4564525","146.6695025","0.00603112694917494","0.00145572477013888","0.863477132290446","Deciduous Forest","0.6","#199301"
"1064","Sutter","Evergreen Forest","25","600.91129","0.222395","151.67339","24.0364516","0.667185","1.77916","47.370135","72.990039","0.0016845260509273","0.000425183851492383","0.694448556624723","Evergreen Forest","0.17","#0e5100"
"1065","Sutter","Fallow","2551","91067.416575","0.222395","1465.805445","35.6987128871031","2.891135","8.45101","26.1314125","155.7876975","0.255287990364162","0.00410907150320571","0.759818767679169","Fallow","25.53","#562c0a"
"1066","Sutter","Fruit Trees","1214","5790.053825","0.222395","304.23636","4.76940183278418","0.44479","1.111975","3.780715","16.90202","0.0162311753278654","0.00085286144991434","0.76658993137169","Fruit Trees","1.62","#f97020"
"1067","Sutter","Grain Crops","566","9720.663055","0.222395","547.758885","17.1743163515901","0.222395","0.667185","3.11353","102.69089125","0.0272497961361885","0.00153552467188525","0.88396107827491","Grain Crops","2.72","#8eeaff"
"1068","Sutter","Grapes","315","218.169495","0.222395","9.34059","0.692601571428571","0.222395","0.222395","0.667185","2.446345","0.000611591434478046","0.000026184342760528","0.544556089510218","Grapes","0.06","#7f00ff"
"1069","Sutter","Grassland","331","28539.50556","0.222395","2453.01685","86.2220711782477","0.44479","2.22395","21.572315","544.0893675","0.0800043889945961","0.00687650715830056","0.894370703395811","Grassland","8","#94a843"
"1070","Sutter","High Intensity Developed","1129","2457.687145","0.222395","78.505435","2.17687081045173","0.222395","0.667185","2.22395","8.13965699999998","0.00688959932968083","0.000220073166534914","0.676749772513763","High Intensity Developed","0.69","#700101"
"1071","Sutter","Low Intensity Developed","2289","12755.24283","0.222395","272.878665","5.57240840104849","1.111975","2.446345","6.004665","19.57076","0.0357565903496981","0.000764956870646853","0.632317257458462","Low Intensity Developed","3.58","#fc8f8f"
"1072","Sutter","Mixed Forest","18","174.80247","0.222395","38.029545","9.71124833333333","0.44479","7.339035","13.566095","28.01065025","0.000490021271661309","0.000106607681239292","0.558382810291207","Mixed Forest","0.05","#287a30"
"1073","Sutter","Other Tree Crops","266","269.09795","0.222395","17.7916","1.01164642857143","0.222395","0.222395","0.667185","3.6695175","0.000754358446196163","0.0000498749385914819","0.660970608339029","Other Tree Crops","0.08","#48CA3B"
"1074","Sutter","Rice","805","86759.625425","0.222395","4660.50962","107.775932204969","0.88958","35.805595","137.662505","414.366363999999","0.243212020857699","0.0130647401640387","0.725419596371607","Rice","24.32","#0083ff"
"1075","Sutter","Shrubland","32","3190.92346","0.222395","921.827275","99.716358125","0.7783825","11.786935","107.416785","400.2887605","0.00894507023638227","0.00258414525577115","0.762466894340675","Shrubland","0.89","#686b3e"
"1076","Sutter","Tomatoes","783","15917.032545","0.222395","450.57227","20.3282663409962","0.667185","2.001555","7.11664","139.797497","0.0446199903741369","0.00126308281982928","0.832803364548307","Tomatoes","4.46","#ff0000"
"1077","Sutter","Vegs & Fruits","578","9367.944585","0.222395","613.587805","16.207516583045","0.222395","0.667185","3.55832","96.97533975","0.0262610254786124","0.00172006194467373","0.878965637541794","Vegs & Fruits","2.63","#016d06"
"1078","Sutter","Walnuts","2035","40870.86352","0.222395","712.775975","20.0839624176904","0.88958","4.4479","18.458785","89.40279","0.114572708932352","0.00199811472732124","0.758007932742392","Walnuts","11.46","#f59bff"
"1079","Sutter","Water","167","710.996815","0.222395","148.11507","4.25746595808383","0.222395","1.111975","3.6695175","17.7916","0.00199312723346209","0.000415208863774086","0.755045429940869","Water","0.2","#0a00ce"
"1080","Sutter","Wetlands","636","10959.18081","0.222395","1719.335745","17.2314163679245","0.222395","0.44479","2.001555","39.75310625","0.030721715298888","0.00481978937813433","0.935224580042735","Wetlands","3.07","#3b3872"
"1081","Sutter","Winter Wheat","721","8960.961735","0.222395","303.79157","12.4285183564494","0.222395","0.667185","3.335925","88.06842","0.0251201362583322","0.000851614576449553","0.870090319340099","Winter Wheat","2.51","#05006d"
