"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"59","Butte","Alfalfa & Hay","591","3504.9452","0.222395","183.031085","5.93053333333333","0.44479","0.88958","3.55832","24.1298575","0.00347849041461796","0.00018164959462123","0.813401315845981","Alfalfa & Hay","0.35","#DEBB27"
"60","Butte","Almonds","2144","43919.676575","0.222395","2062.268835","20.484923775653","0.88958","2.891135","11.17534875","97.6870037499999","0.0435881776352048","0.00204670314814418","0.823461164535829","Almonds","4.36","#84784f"
"61","Butte","Barren","708","2064.937575","0.222395","611.808645","2.91657849576271","0.222395","0.44479","0.88958","6.67185","0.00204935174490658","0.000607190807780076","0.849828104986781","Barren","0.2","#474747"
"62","Butte","Corn","104","270.209925","0.222395","208.384115","2.59817235576923","0.222395","0.44479","0.667185","1.74580075","0.000268170422192945","0.000206811263864025","0.871422918645141","Corn","0.03","#f9f900"
"63","Butte","Cotton","27","81.39657","0.222395","50.26127","3.01468777777778","0.222395","0.44479","1.0007775","9.78537999999999","0.0000807822012531836","0.0000498819056918565","0.825541388382919","Cotton","0.01","#dbdbdb"
"64","Butte","Deciduous Forest","4842","36126.73338","0.222395","1531.634365","7.46111800495663","0.667185","1.77916","4.225505","19.793155","0.0358540543726015","0.00152007382522042","0.797500389318545","Deciduous Forest","3.59","#199301"
"65","Butte","Evergreen Forest","6476","391415.422395","0.222395","130290.777935","60.4409237793391","2.446345","6.22706","14.67807","77.39346","0.388461079201651","0.129307363253501","0.913283859334968","Evergreen Forest","38.85","#0e5100"
"66","Butte","Fallow","2610","63940.78645","0.222395","8122.087795","24.4983856130268","0.667185","2.66874","8.673405","78.8946262499997","0.0634581712631224","0.00806078352996589","0.879971028827116","Fallow","6.35","#562c0a"
"67","Butte","Fruit Trees","1695","8684.302355","0.222395","396.75268","5.12348221533923","0.44479","0.88958","2.66874","25.041677","0.00861875458124471","0.000393758052010053","0.80291082733886","Fruit Trees","0.86","#f97020"
"68","Butte","Grain Crops","199","568.88641","0.222395","213.4992","2.85872567839196","0.222395","0.44479","0.88958","4.2922235","0.000564592543184818","0.000211887740991957","0.860412303896338","Grain Crops","0.06","#8eeaff"
"69","Butte","Grapes","268","393.416755","0.222395","34.24883","1.46797296641791","0.222395","0.44479","0.88958","8.12853724999997","0.000390447306057054","0.0000339903251174597","0.711863942019692","Grapes","0.04","#7f00ff"
"70","Butte","Grassland","5132","148383.27837","0.222395","9518.728395","28.9133434080281","1.33437","4.00311","9.562985","55.25403775","0.147263304287791","0.00944688250228828","0.878485057342312","Grassland","14.73","#94a843"
"71","Butte","High Intensity Developed","1723","4998.10523","0.222395","336.483635","2.90081557167731","0.222395","0.667185","2.3351475","10.452565","0.00496038030318046","0.000333943908459199","0.742172382495416","High Intensity Developed","0.5","#700101"
"72","Butte","Low Intensity Developed","7130","27114.3984","0.222395","891.136765","3.8028609256662","0.44479","1.111975","2.66874","10.67496","0.0269097431059785","0.000884410602244553","0.736662166440275","Low Intensity Developed","2.69","#fc8f8f"
"73","Butte","Mixed Forest","570","808.850615","0.222395","70.944005","1.41903616666667","0.222395","0.222395","0.667185","3.68063724999999","0.000802745535403903","0.0000704085306004523","0.762652369168729","Mixed Forest","0.08","#287a30"
"74","Butte","Other Tree Crops","289","968.085435","0.222395","138.77448","3.3497765916955","0.222395","0.44479","1.33437","11.253187","0.000960778475560404","0.000137727031644772","0.825247989494577","Other Tree Crops","0.1","#48CA3B"
"75","Butte","Rice","515","103580.47125","0.222395","3572.55328","201.127128640777","15.790045","110.085525","270.43232","676.725745499999","0.102798661840629","0.00354558819926541","0.637516939480637","Rice","10.28","#0083ff"
"76","Butte","Shrubland","4892","84309.277315","0.222395","20312.22493","17.2341122884301","0.44479","1.111975","3.780715","23.12908","0.0836729239029457","0.020158911391416","0.925874791642146","Shrubland","8.37","#686b3e"
"77","Butte","Tomatoes","74","838.87394","0.222395","589.569145","11.3361343243243","0.222395","0.222395","0.667185","6.10474274999994","0.000832542248980897","0.000585119168093414","0.950588977100112","Tomatoes","0.08","#ff0000"
"78","Butte","Vegs & Fruits","160","1137.77282","0.222395","371.84444","7.111080125","0.222395","0.44479","0.88958","25.0194375","0.00112918508636964","0.000369037815560992","0.923460711493354","Vegs & Fruits","0.11","#016d06"
"79","Butte","Walnuts","2022","49604.092775","0.222395","6755.02573","24.5321922725025","0.667185","2.446345","10.23017","97.4868482499995","0.0492296887391156","0.00670403983842677","0.866294599881919","Walnuts","4.92","#f59bff"
"80","Butte","Water","244","22076.70686","0.222395","14093.393545","90.4783068032787","0.222395","0.88958","4.670295","110.5970335","0.0219100752841558","0.0139870187858347","0.972667879699069","Water","2.19","#0a00ce"
"81","Butte","Wetlands","633","11046.582045","0.222395","1571.44307","17.4511564691943","0.222395","0.44479","1.77916","28.5555179999999","0.010963204148762","0.00155958206025955","0.949275871887891","Wetlands","1.1","#3b3872"
"82","Butte","Winter Wheat","192","1768.04025","0.222395","1063.270495","9.20854296875","0.222395","0.667185","2.446345","16.09027825","0.00175469535508964","0.00105524509341932","0.908841719077568","Winter Wheat","0.18","#05006d"
