"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"83","Calaveras","Alfalfa & Hay","25","36.47278","0.222395","11.342145","1.4589112","0.222395","0.44479","1.556765","6.76080799999998","0.0000574649209944935","0.0000178701888458486","0.652682926829268","Alfalfa & Hay","0.01","#DEBB27"
"84","Calaveras","Almonds","45","108.306365","0.222395","17.7916","2.40680811111111","0.44479","0.88958","2.66874","9.963296","0.000170642783684868","0.0000280316687778017","0.657631759069131","Almonds","0.02","#84784f"
"85","Calaveras","Barren","106","502.835095","0.222395","219.059075","4.74372731132075","0.222395","0.222395","0.88958","13.73289125","0.000792245038832621","0.000345139921826684","0.895333505795565","Barren","0.08","#474747"
"86","Calaveras","Corn","1","17.34681","17.34681","17.34681","17.34681","17.34681","17.34681","17.34681","17.34681","0.0000273308770583567","0.0000273308770583567","0","Corn","0","#f9f900"
"87","Calaveras","Deciduous Forest","4142","46147.85208","0.222395","2350.492755","11.1414418348624","0.667185","1.77916","5.33748","33.57052525","0.0727085424758621","0.00370333384140733","0.842892551710894","Deciduous Forest","7.27","#199301"
"88","Calaveras","Evergreen Forest","5654","240147.90327","0.222395","61355.66697","42.4739835992218","1.556765","4.670295","12.89891","72.3562132499999","0.378366559620732","0.0966693121554076","0.899369437575366","Evergreen Forest","37.84","#0e5100"
"89","Calaveras","Fallow","30","17.124415","0.222395","4.00311","0.570813833333333","0.222395","0.222395","0.44479","1.77916","0.0000269804811986342","0.00000630712547500539","0.486147186147186","Fallow","0","#562c0a"
"90","Calaveras","Fruit Trees","8","3.55832","0.222395","0.88958","0.44479","0.222395","0.3335925","0.667185","0.81174175","0.00000560633375556034","0.00000140158343889009","0.296875","Fruit Trees","0","#f97020"
"91","Calaveras","Grain Crops","41","16.679625","0.222395","1.556765","0.40682012195122","0.222395","0.222395","0.44479","1.111975","0.0000262796894791891","0.00000245277101805765","0.350569105691057","Grain Crops","0","#8eeaff"
"92","Calaveras","Grapes","31","66.940895","0.222395","14.010885","2.15938370967742","0.222395","0.44479","2.891135","8.5622075","0.000105469153776479","0.0000220749391625189","0.656092594577216","Grapes","0.01","#7f00ff"
"93","Calaveras","Grassland","4697","178002.28926","0.222395","5894.35708","37.8970170875027","2.446345","5.559875","12.676515","115.022694","0.28045264137159","0.00928689186608571","0.857095470076617","Grassland","28.05","#94a843"
"94","Calaveras","High Intensity Developed","410","603.13524","0.222395","28.244165","1.47106156097561","0.222395","0.44479","1.111975","5.559875","0.000950273571567478","0.0000445002741847602","0.688581912367796","High Intensity Developed","0.1","#700101"
"95","Calaveras","Low Intensity Developed","4417","15442.886405","0.222395","974.312495","3.49623871519131","0.44479","1.111975","2.446345","9.562985","0.0243311381032722","0.00153508426144437","0.723546520568381","Low Intensity Developed","2.43","#fc8f8f"
"96","Calaveras","Mixed Forest","1254","2158.343475","0.222395","372.511625","1.72116704545455","0.222395","0.44479","1.111975","4.97052824999998","0.00340059181860707","0.000586913065035224","0.739919573182406","Mixed Forest","0.34","#287a30"
"97","Calaveras","Other Tree Crops","5","1.33437","0.222395","0.44479","0.266874","0.222395","0.222395","0.222395","0.400311","0.00000210237515833513","7.00791719445043e-7","0.133333333333333","Other Tree Crops","0","#48CA3B"
"98","Calaveras","Rice","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.50395859722522e-7","3.50395859722522e-7","0","Rice","0","#0083ff"
"99","Calaveras","Shrubland","5818","137011.999625","0.222395","16728.774295","23.5496733628395","1.33437","3.335925","8.673405","51.1842092499999","0.215870129278552","0.0263571269641878","0.868779352236914","Shrubland","21.59","#686b3e"
"100","Calaveras","Walnuts","25","405.20369","0.222395","73.39035","16.2081476","1.111975","2.891135","23.796265","55.020523","0.000638421256414434","0.000115630633708432","0.625817782656422","Walnuts","0.06","#f59bff"
"101","Calaveras","Water","289","13293.43873","0.222395","7246.741075","45.9980578892734","0.222395","0.88958","4.4479","48.0373199999997","0.020944562119054","0.0114176490890584","0.961343552062249","Water","2.09","#0a00ce"
"102","Calaveras","Wetlands","378","686.978155","0.222395","97.631405","1.81740252645503","0.222395","0.44479","0.667185","4.89269","0.00108237281068287","0.000153823782418187","0.791202269188673","Wetlands","0.11","#3b3872"
"103","Calaveras","Winter Wheat","37","25.575425","0.222395","6.22706","0.691227702702703","0.222395","0.222395","0.44479","2.935614","0.00004029552386809","0.0000098110840722306","0.576733254994125","Winter Wheat","0","#05006d"
