"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"475","Mendocino","Alfalfa & Hay","648","7949.28688","0.222395","761.03569","12.2674180246914","0.44479","2.001555","8.1174175","53.152405","0.0035873539350595","0.000343440162426522","0.800798908147927","Alfalfa & Hay","0.36","#DEBB27"
"476","Mendocino","Almonds","16","24.01866","0.222395","6.894245","1.50116625","0.222395","0.667185","1.33437","6.72744875","0.0000108391401350276","0.00000311123466838755","0.592592592592593","Almonds","0","#84784f"
"477","Mendocino","Barren","602","1817.41194","0.222395","294.673375","3.01895671096346","0.222395","0.44479","1.33437","8.8958","0.000820161603550421","0.000132980191471403","0.824150774949873","Barren","0.08","#474747"
"478","Mendocino","Corn","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.00362408657663e-7","1.00362408657663e-7","0","Corn","0","#f9f900"
"479","Mendocino","Deciduous Forest","4291","34577.9746","0.222395","5865.89052","8.05825555814496","0.44479","1.111975","3.780715","20.5715375","0.0156043472980934","0.00264715889075451","0.852233817293805","Deciduous Forest","1.56","#199301"
"480","Mendocino","Evergreen Forest","9030","1216514.660885","0.222395","197235.231255","134.719231548726","4.00311","12.45412","36.47278","191.82680725","0.548988698189161","0.0890083090038128","0.912257640138217","Evergreen Forest","54.9","#0e5100"
"481","Mendocino","Fallow","22","23.796265","0.222395","12.231725","1.08164840909091","0.222395","0.222395","0.667185","2.21283025","0.0000107387777263699","0.00000551993247617146","0.682667799490229","Fallow","0","#562c0a"
"482","Mendocino","Fruit Trees","3","0.667185","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.01087225972988e-7","1.00362408657663e-7","0","Fruit Trees","0","#f97020"
"483","Mendocino","Grain Crops","80","151.2286","0.222395","36.695175","1.8903575","0.222395","0.44479","0.94517875","7.93950149999998","0.0000682464378872107","0.0000165597974285144","0.754227941176471","Grain Crops","0.01","#8eeaff"
"484","Mendocino","Grapes","488","2378.959315","0.222395","115.423005","4.87491662909836","0.44479","1.111975","3.83631375","19.926592","0.00107357668541102","0.000052088090093327","0.760116786229324","Grapes","0.11","#7f00ff"
"485","Mendocino","Grassland","5876","157076.69892","0.222395","3085.50823","26.7319092784207","1.111975","4.00311","13.121305","91.62674","0.0708855677852726","0.00139242805771641","0.838443429241456","Grassland","7.09","#94a843"
"486","Mendocino","High Intensity Developed","900","2350.937545","0.222395","167.463435","2.61215282777778","0.222395","0.667185","1.77916","8.68452474999999","0.00106093102192015","0.0000755728937192201","0.752025457488517","High Intensity Developed","0.11","#700101"
"487","Mendocino","Low Intensity Developed","7879","95370.759825","0.222395","9124.644455","12.1044243971316","1.33437","2.66874","6.004665","24.7080844999999","0.0430389135167088","0.00411776926481525","0.811395070129768","Low Intensity Developed","4.3","#fc8f8f"
"488","Mendocino","Mixed Forest","7292","87896.508665","0.222395","9663.50754","12.0538272990949","0.667185","2.001555","6.004665","36.47278","0.0396659336865421","0.00436094738099276","0.837111094662014","Mixed Forest","3.97","#287a30"
"489","Mendocino","Other Tree Crops","2","0.44479","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","2.00724817315326e-7","1.00362408657663e-7","0","Other Tree Crops","0","#48CA3B"
"490","Mendocino","Other","138","573.33431","0.222395","287.77913","4.15459644927536","0.44479","0.88958","1.94595625","7.76158550000001","0.000258734289519455","0.000129868956803016","0.814264512429588","Other","0.03","#48CA3B"
"491","Mendocino","Shrubland","9669","596762.73367","0.222395","110828.546695","61.7191781642362","2.22395","6.894245","22.461895","142.243842","0.269307067821905","0.0500147030928684","0.882065029108239","Shrubland","26.93","#686b3e"
"492","Mendocino","Vegs & Fruits","4","1.556765","0.222395","0.667185","0.38919125","0.222395","0.3335925","0.50038875","0.63382575","7.0253686060364e-7","3.01087225972988e-7","0.25","Vegs & Fruits","0","#016d06"
"493","Mendocino","Walnuts","8","12.45412","0.222395","6.22706","1.556765","0.38919125","0.5559875","1.61236375","5.1373245","0.00000562029488482912","0.00000281014744241456","0.589285714285714","Walnuts","0","#f59bff"
"494","Mendocino","Water","835","5587.00719","0.222395","1841.4306","6.6910265748503","0.222395","0.88958","2.891135","13.1880235","0.00252130443029781","0.000831000743685448","0.864413995033578","Water","0.25","#0a00ce"
"495","Mendocino","Wetlands","974","6789.052165","0.222395","1776.49126","6.9702794301848","0.44479","0.88958","2.66874","14.455675","0.00306376324909247","0.000801694920357411","0.867571064602386","Wetlands","0.31","#3b3872"
"496","Mendocino","Winter Wheat","40","59.60186","0.222395","23.57387","1.4900465","0.222395","0.44479","1.111975","5.33748","0.0000268971255202536","0.0000106384153177123","0.707089552238806","Winter Wheat","0","#05006d"
