"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"767","San Diego","Alfalfa & Hay","414","1492.048055","0.222395","149.671835","3.60398080917874","0.222395","0.667185","3.8919125","11.11975","0.00043409323913853","0.0000435452004680624","0.771810956945138","Alfalfa & Hay","0.04","#DEBB27"
"768","San Diego","Almonds","88","39.363915","0.44479","0.667185","0.447317215909091","0.44479","0.44479","0.44479","0.44479","0.0000114524524262215","1.94109363156296e-7","0.00558551617873655","Almonds","0","#84784f"
"769","San Diego","Barren","4101","293407.50266","0.222395","163909.340505","71.5453554401365","0.44479","1.111975","5.559875","48.48211","0.0853633452290021","0.0476874295746967","0.974000274062084","Barren","8.54","#474747"
"770","San Diego","Cotton","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","1.29406242104197e-7","1.29406242104197e-7","0","Cotton","0","#dbdbdb"
"771","San Diego","Deciduous Forest","50","74.947115","0.222395","12.00933","1.4989423","0.222395","0.44479","1.33437","7.12775974999999","0.0000218049517945572","0.00000349396853681333","0.660118694362018","Deciduous Forest","0","#199301"
"772","San Diego","Evergreen Forest","2546","71100.348685","0.222395","10669.844915","27.9262956343284","0.222395","0.667185","2.891135","28.18856625","0.0206857819097191","0.00310426163871654","0.96004315243302","Evergreen Forest","2.07","#0e5100"
"773","San Diego","Fallow","235","144.334355","0.222395","17.569205","0.614188744680851","0.222395","0.222395","0.222395","2.0682735","0.000041992325562812","0.00000511154656311579","0.604229092220437","Fallow","0","#562c0a"
"774","San Diego","Fruit Trees","114","589.79154","0.222395","6.67185","5.17361","6.67185","6.67185","6.67185","6.67185","0.000171592677030166","0.00000194109363156296","0.221567304384642","Fruit Trees","0.02","#f97020"
"775","San Diego","Grain Crops","1","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","1.111975","3.23515605260493e-7","3.23515605260493e-7","0","Grain Crops","0","#8eeaff"
"776","San Diego","Grapes","88","22.017105","0.222395","2.446345","0.250194375","0.222395","0.222395","0.222395","0.222395","0.00000640560898415776","7.11734331573085e-7","0.109618916437098","Grapes","0","#7f00ff"
"777","San Diego","Grassland","12123","201828.79998","0.222395","20329.349345","16.6484203563474","0.44479","1.556765","4.670295","28.244165","0.0587196352296848","0.00591457699849339","0.91164171212206","Grassland","5.87","#94a843"
"778","San Diego","High Intensity Developed","60967","729325.72132","0.222395","4539.52674","11.9626309531386","3.335925","6.22706","11.786935","44.479","0.212188450428189","0.00132072010691544","0.584485669392912","High Intensity Developed","21.22","#700101"
"779","San Diego","Low Intensity Developed","64811","423018.86387","0.222395","14646.9347","6.52696091512243","1.111975","2.66874","5.33748","15.12286","0.123072194771923","0.00426134755249122","0.692943656737645","Low Intensity Developed","12.31","#fc8f8f"
"780","San Diego","Mixed Forest","2569","25727.09839","0.222395","5369.282485","10.0144407901907","0.222395","0.667185","1.556765","11.697977","0.00748498644954887","0.00156212745156082","0.934811562352759","Mixed Forest","0.75","#287a30"
"781","San Diego","Other Tree Crops","4","6.449455","0.88958","2.66874","1.61236375","0.88958","1.4455675","2.16835125","2.56866225","0.00000187639051051086","7.76437452625184e-7","0.25","Other Tree Crops","0","#48CA3B"
"782","San Diego","Other","291","779.494475","0.222395","150.33902","2.67867517182131","0.667185","1.111975","1.33437","4.89269","0.000226784439287606","0.0000437393098312187","0.705346804515885","Other","0.02","#48CA3B"
"783","San Diego","Shrubland","25192","1657174.56334","0.222395","242223.515805","65.7817784749127","1.33437","5.33748","15.12286","85.39968","0.482134788894745","0.0704719866219827","0.926755439566593","Shrubland","48.21","#686b3e"
"784","San Diego","Vegs & Fruits","101","199.71071","0.222395","2.22395","1.97733376237624","2.22395","2.22395","2.22395","2.22395","0.0000581034027047846","6.47031210520986e-7","0.108734481465964","Vegs & Fruits","0.01","#016d06"
"785","San Diego","Water","1415","9065.042595","0.222395","3675.522165","6.40639052650177","0.222395","0.44479","0.88958","3.335925","0.00263736391720459","0.00106934848162803","0.937393023522537","Water","0.26","#0a00ce"
"786","San Diego","Wetlands","5265","22753.67724","0.222395","2777.26876","4.32168608547009","0.222395","0.44479","1.111975","6.67185","0.00661990572108232","0.000808012575698608","0.878867088637204","Wetlands","0.66","#3b3872"
"787","San Diego","Winter Wheat","71","408.984405","0.222395","181.91911","5.76034373239437","0.222395","0.222395","0.5559875","6.7830475","0.000118989039614809","0.0000529271530206167","0.917308089975415","Winter Wheat","0.01","#05006d"
