"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"802","San Joaquin","Alfalfa & Hay","3142","78122.693205","0.222395","1528.29844","24.8640016565882","0.667185","2.66874","11.11975","112.52075025","0.114079661787004","0.00223171734091788","0.846859924039081","Alfalfa & Hay","11.41","#DEBB27"
"803","San Joaquin","Almonds","4902","70192.75469","0.222395","634.048145","14.3192074031008","0.88958","3.11353","12.00933","64.92822025","0.102499867662279","0.000925876911955309","0.756845543210447","Almonds","10.25","#84784f"
"804","San Joaquin","Barren","675","806.40427","0.222395","76.50388","1.19467299259259","0.222395","0.44479","0.667185","3.335925","0.00117756214757978","0.000111715769102991","0.710933790933791","Barren","0.12","#474747"
"805","San Joaquin","Corn","943","45326.992135","0.222395","6477.03198","48.066799718982","0.222395","1.33437","12.231725","171.777898","0.0661893199075227","0.00945816877719621","0.912787640016365","Corn","6.62","#f9f900"
"806","San Joaquin","Cotton","70","329.811785","0.222395","64.49455","4.71159692857143","0.222395","0.5559875","3.83631375","18.82573675","0.000481611876685276","0.000094178991394963","0.76452172237742","Cotton","0.05","#dbdbdb"
"807","San Joaquin","Deciduous Forest","75","108.08397","0.222395","25.575425","1.4411196","0.222395","0.44479","1.0007775","4.269984","0.000157830999372248","0.0000373468414152439","0.684334705075446","Deciduous Forest","0.02","#199301"
"808","San Joaquin","Evergreen Forest","33","24.90824","0.222395","4.89269","0.754795151515152","0.222395","0.222395","0.667185","2.535303","0.0000363725759870202","0.00000714461314030754","0.538961038961039","Evergreen Forest","0","#0e5100"
"809","San Joaquin","Fallow","3516","31516.04024","0.222395","1480.70591","8.96360643913538","0.44479","1.33437","4.89269","34.08203375","0.0460217007881483","0.00216221974037125","0.824984433007938","Fallow","4.6","#562c0a"
"810","San Joaquin","Fruit Trees","2007","6094.290185","0.222395","680.5287","3.03651728201295","0.222395","0.667185","1.77916","10.3858465","0.00889926517653852","0.00099375073678823","0.784308381962987","Fruit Trees","0.89","#f97020"
"811","San Joaquin","Grain Crops","2194","33547.39617","0.222395","1446.90187","15.2905178532361","0.44479","1.33437","6.894245","73.7684215","0.0489880142619468","0.00211285695867458","0.847966753441915","Grain Crops","4.9","#8eeaff"
"812","San Joaquin","Grapes","4882","62817.469305","0.222395","1109.30626","12.8671588088898","0.667185","2.001555","8.45101","50.47254525","0.0917300128635512","0.00161987865199336","0.810028457737948","Grapes","9.17","#7f00ff"
"813","San Joaquin","Grassland","3492","126592.12669","0.222395","5407.979215","36.2520408619702","0.667185","2.891135","9.118195","111.64229","0.184857771861461","0.00789707080603902","0.901876997941641","Grassland","18.49","#94a843"
"814","San Joaquin","High Intensity Developed","3276","20411.190705","0.222395","542.866195","6.23052219322344","0.44479","1.111975","5.115085","21.127525","0.0298057022456493","0.000792727303431395","0.788716776794115","High Intensity Developed","2.98","#700101"
"815","San Joaquin","Low Intensity Developed","6426","29681.059095","0.222395","866.00613","4.61890119747899","0.667185","1.556765","3.780715","13.3437","0.0433421461053902","0.00126459652583443","0.713404635649601","Low Intensity Developed","4.33","#fc8f8f"
"816","San Joaquin","Mixed Forest","234","5422.43489","0.222395","2192.592305","23.1727986752137","0.222395","0.44479","2.22395","57.23335325","0.0079181798903172","0.003201760952286","0.9403241287008","Mixed Forest","0.79","#287a30"
"817","San Joaquin","Other Tree Crops","23","15.12286","0.222395","6.004665","0.657515652173913","0.222395","0.222395","0.44479","1.3121305","0.0000220833497064051","0.0000087683888540138","0.557544757033248","Other Tree Crops","0","#48CA3B"
"818","San Joaquin","Rice","150","3464.246915","0.222395","574.446285","23.0949794333333","0.222395","0.44479","2.446345","110.886147","0.00505871085848048","0.000838842533700653","0.91489118572254","Rice","0.51","#0083ff"
"819","San Joaquin","Shrubland","266","18562.86586","0.222395","5525.18138","69.78521","0.222395","0.667185","4.4479","245.91327125","0.0271066622543268","0.00806821676626366","0.947276449378105","Shrubland","2.71","#686b3e"
"820","San Joaquin","Tomatoes","1424","33258.949855","0.222395","2632.26722","23.3560041116573","0.44479","1.556765","8.673405","111.34205675","0.0485668068418114","0.00384380186948546","0.866846914291592","Tomatoes","4.86","#ff0000"
"821","San Joaquin","Vegs & Fruits","1218","15417.088585","0.222395","600.02171","12.6577081978654","0.44479","1.33437","7.783825","65.4842077499999","0.0225130007602518","0.000876189375115897","0.812640120412035","Vegs & Fruits","2.25","#016d06"
"822","San Joaquin","Walnuts","4324","64021.515835","0.222395","807.071455","14.8060859932932","0.44479","1.77916","9.562985","72.05598","0.0934882372063524","0.001178536413008","0.808900165507188","Walnuts","9.35","#f59bff"
"823","San Joaquin","Water","944","6642.49386","0.222395","1518.95785","7.0365401059322","0.222395","0.44479","1.83475875","17.75824075","0.00969978660339571","0.00221807762492275","0.898708625863404","Water","0.97","#0a00ce"
"824","San Joaquin","Wetlands","1657","6502.8298","0.222395","465.472735","3.92445974652987","0.222395","0.44479","1.77916","14.455675","0.0094958403737542","0.00067971251375744","0.834549360297936","Wetlands","0.95","#3b3872"
"825","San Joaquin","Winter Wheat","1862","25929.47784","0.222395","1372.844335","13.9256057142857","0.222395","1.111975","6.22706","66.48498525","0.037863851602488","0.00200471349614175","0.854413573190755","Winter Wheat","3.79","#05006d"
