"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"231","Humboldt","Alfalfa & Hay","66","1481.817885","0.222395","244.856895","22.4517861363636","0.72278375","2.3351475","23.62946875","114.1998325","0.000776057773267436","0.00012823647131434","0.789118105867318","Alfalfa & Hay","0.08","#DEBB27"
"232","Humboldt","Barren","415","7743.126715","0.222395","1859.889385","18.6581366626506","0.44479","1.111975","6.004665","58.623322","0.00405523090077327","0.000974061407449433","0.888637907461768","Barren","0.41","#474747"
"233","Humboldt","Corn","17","170.35457","0.222395","37.80715","10.0208570588235","0.667185","3.11353","10.897355","37.80715","0.0000892181081078878","0.0000198003634181996","0.632160958378129","Corn","0.01","#f9f900"
"234","Humboldt","Deciduous Forest","1375","23901.23544","0.222395","4420.76781","17.3827166836364","0.44479","1.111975","4.1143075","50.7727785","0.0125175568075338","0.00231524484721748","0.907896219903366","Deciduous Forest","1.25","#199301"
"235","Humboldt","Evergreen Forest","2216","1430345.89662","0.222395","294940.249","645.462949738267","21.572315","49.4828875","144.38995375","935.615765","0.749100859673543","0.154466129207155","0.918863101507988","Evergreen Forest","74.91","#0e5100"
"236","Humboldt","Fallow","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.1647272598941e-7","1.1647272598941e-7","0","Fallow","0","#562c0a"
"237","Humboldt","Grapes","5","6.449455","0.44479","2.446345","1.289891","0.44479","0.88958","2.22395","2.401866","0.00000337770905369288","0.00000128119998588351","0.358620689655172","Grapes","0","#7f00ff"
"238","Humboldt","Grassland","1098","82856.37078","0.222395","3222.281155","75.4611755737705","1.111975","5.78227","39.30831625","395.551746999999","0.0433935446855184","0.00168757332686056","0.849305684749383","Grassland","4.34","#94a843"
"239","Humboldt","High Intensity Developed","270","1120.42601","0.222395","88.51321","4.14972596296296","0.222395","0.88958","2.891135","22.85108625","0.000586789593534646","0.000046356144943785","0.760823666063841","High Intensity Developed","0.06","#700101"
"240","Humboldt","Low Intensity Developed","1314","30698.51622","0.222395","4473.25303","23.3626455251142","1.77916","4.670295","10.007775","56.93312","0.0160774292046741","0.00234273241055098","0.83102706138954","Low Intensity Developed","1.61","#fc8f8f"
"241","Humboldt","Mixed Forest","1776","70246.57428","0.222395","26672.054745","39.5532512837838","0.667185","1.77916","7.783825","73.2791525","0.0367895411219189","0.0139686905006359","0.933130246727238","Mixed Forest","3.68","#287a30"
"242","Humboldt","Other Ocean/Mexico","52","3608.803665","0.44479","1817.634335","69.4000704807692","4.00311","9.2293925","32.1360775","189.880851","0.00189000292463015","0.000951931589511445","0.836778446179445","Other Ocean/Mexico","0.19","#48CA3B"
"243","Humboldt","Shrubland","2055","242686.3198","0.222395","35745.99314","118.095532749392","1.77916","6.67185","27.57698","309.9519115","0.127099697508683","0.0187208941937298","0.918561786136551","Shrubland","12.71","#686b3e"
"244","Humboldt","Water","442","7726.89188","0.222395","753.47426","17.4816558371041","0.667185","2.446345","7.95062125","63.560491","0.00404672839177605","0.00039460959565212","0.847257588275928","Water","0.4","#0a00ce"
"245","Humboldt","Wetlands","457","6821.966625","0.222395","1127.09786","14.9277169037199","0.44479","1.111975","4.670295","44.523479","0.00357280086972514","0.000590283775314328","0.89209974694109","Wetlands","0.36","#3b3872"
"246","Humboldt","Winter Wheat","7","2.001555","0.222395","0.44479","0.285936428571429","0.222395","0.222395","0.3335925","0.44479","0.00000104825453390469","2.32945451978819e-7","0.158730158730159","Winter Wheat","0","#05006d"
