"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"290","Kern","Alfalfa & Hay","2186","63055.65435","0.222395","1540.530165","28.8452215690759","0.44479","1.77916","9.78538","145.668725","0.0137636757504597","0.000336264176360293","0.870519217773031","Alfalfa & Hay","1.38","#DEBB27"
"291","Kern","Almonds","3317","211271.24689","0.222395","26753.67371","63.6934720801929","0.667185","3.11353","21.572315","226.531546999999","0.0461159108975176","0.00583974417320493","0.895522595265879","Almonds","4.61","#84784f"
"292","Kern","Barren","5072","230060.06607","0.222395","101631.84626","45.3588458339905","0.222395","1.111975","4.225505","39.01920275","0.0502171008319225","0.022184018106906","0.967380189987049","Barren","5.02","#474747"
"293","Kern","Corn","220","4055.817615","0.222395","279.550515","18.4355346136364","0.44479","1.4455675","12.231725","115.38964575","0.000885296634081517","0.0000610197877414305","0.816223013155074","Corn","0.09","#f9f900"
"294","Kern","Cotton","389","23315.44701","0.222395","3821.63568","59.9368817737789","0.667185","5.78227","46.70295","225.641966999999","0.00508925418236761","0.0008341798190523","0.833129689479045","Cotton","0.51","#dbdbdb"
"295","Kern","Deciduous Forest","655","13707.98301","0.222395","2916.48803","20.9282183358779","0.222395","0.88958","3.780715","69.075887","0.00299215407860485","0.000636605804646873","0.915229600853444","Deciduous Forest","0.3","#199301"
"296","Kern","Evergreen Forest","2885","237085.07933","0.222395","161586.647125","82.1785370294627","0.667185","1.77916","6.449455","56.6662459999999","0.0517505081948313","0.0352708450900794","0.972115075450882","Evergreen Forest","5.18","#0e5100"
"297","Kern","Fallow","4944","245546.097105","0.222395","17398.85043","49.6654727154126","1.111975","4.4479","16.95761875","142.2660815","0.0535973640616751","0.00379779003513371","0.888418692460716","Fallow","5.36","#562c0a"
"298","Kern","Fruit Trees","1439","58832.595695","0.222395","4242.85181","40.8843611501042","0.44479","1.77916","14.23328","181.385362","0.0128418740404978","0.000926122124527455","0.88428416635284","Fruit Trees","1.28","#f97020"
"299","Kern","Grain Crops","1717","43872.528835","0.222395","2567.105485","25.5518513890507","0.44479","1.111975","6.22706","119.248199","0.00957641733262945","0.000560343205966056","0.902468908470903","Grain Crops","0.96","#8eeaff"
"300","Kern","Grapes","2137","77242.453795","0.222395","3704.21112","36.1452755240992","0.44479","1.77916","9.78538","156.655038","0.0168603450263655","0.000808548595561866","0.886678484817414","Grapes","1.69","#7f00ff"
"301","Kern","Grassland","10031","946661.67986","0.222395","108877.92015","94.3736097956335","1.111975","4.4479","16.679625","161.01398","0.206635622788973","0.0237656781897948","0.938401533004748","Grassland","20.66","#94a843"
"302","Kern","High Intensity Developed","4409","21489.361665","0.222395","2354.940655","4.87397633590383","0.222395","0.88958","3.335925","13.78849","0.00469065953070104","0.000514032245341295","0.809469427842873","High Intensity Developed","0.47","#700101"
"303","Kern","Low Intensity Developed","16249","175905.771595","0.222395","21708.86553","10.8256367527232","0.667185","1.556765","4.00311","22.68429","0.0383963980363959","0.00473857244279395","0.864211273698957","Low Intensity Developed","3.84","#fc8f8f"
"304","Kern","Mixed Forest","424","4525.071065","0.222395","2178.803815","10.6723374174528","0.222395","0.44479","1.111975","7.97286074999999","0.000987724440075486","0.000475585410105644","0.952854182759315","Mixed Forest","0.1","#287a30"
"305","Kern","Other Tree Crops","2703","126977.092435","0.222395","16978.07909","46.9763568017018","0.44479","2.001555","11.11975","143.5114935","0.0277163332301774","0.00370594481762632","0.91732113400249","Other Tree Crops","2.77","#48CA3B"
"306","Kern","Rice","11","5.115085","0.222395","1.77916","0.465007727272727","0.222395","0.222395","0.44479","1.2231725","0.00000111651162931814","3.88351871067179e-7","0.387351778656126","Rice","0","#0083ff"
"307","Kern","Shrubland","19363","2015809.407525","0.222395","967583.934275","104.106254584775","4.670295","9.34059","20.237945","123.429225","0.440007281597583","0.211202495160772","0.921256680709518","Shrubland","44","#686b3e"
"308","Kern","Tomatoes","301","6021.344625","0.222395","585.566035","20.004467192691","0.222395","1.33437","9.118195","108.306365","0.00131432836364298","0.000127816309564985","0.853420209029305","Tomatoes","0.13","#ff0000"
"309","Kern","Vegs & Fruits","1414","31588.763405","0.222395","2694.315425","22.3400024080622","0.44479","0.88958","4.89269","103.20239975","0.00689513892681388","0.000588110364747359","0.907146330998022","Vegs & Fruits","0.69","#016d06"
"310","Kern","Walnuts","866","4741.4614","0.222395","813.07612","5.4751286374134","0.222395","0.667185","2.001555","17.0132175","0.00103495773639403","0.000177476805077701","0.862068057836379","Walnuts","0.1","#f59bff"
"311","Kern","Water","366","9447.78439","0.222395","3314.797475","25.8136185519126","0.222395","0.667185","2.66874","75.391905","0.00206224552333449","0.000723548079782037","0.942055561686943","Water","0.21","#0a00ce"
"312","Kern","Wetlands","496","4485.70715","0.222395","813.743305","9.04376441532258","0.222395","0.44479","1.556765","17.18001375","0.000979132154928125","0.000177622437029351","0.923735546244023","Wetlands","0.1","#3b3872"
"313","Kern","Winter Wheat","1653","25605.67072","0.222395","1101.74483","15.490423908046","0.44479","1.111975","6.004665","62.9377849999998","0.00558916012839884","0.00024048689615835","0.870142155670943","Winter Wheat","0.56","#05006d"
