"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"653","Plumas","Alfalfa & Hay","339","15606.124335","0.222395","2326.029305","46.035765","0.44479","2.001555","9.34059","129.5895665","0.00963450049920972","0.00143598308068965","0.91198259405001","Alfalfa & Hay","0.96","#DEBB27"
"654","Plumas","Almonds","4","10.897355","0.44479","8.45101","2.72433875","0.44479","1.0007775","3.28032625","7.41687325","0.00000672752375502368","0.00000521726332022244","0.576530612244898","Almonds","0","#84784f"
"655","Plumas","Barren","59","268.65316","0.222395","187.478985","4.55344338983051","0.222395","0.44479","0.7783825","6.40497599999995","0.000165854055021808","0.00011574086786704","0.89600404085756","Barren","0.02","#474747"
"656","Plumas","Cotton","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.37296403163748e-7","1.37296403163748e-7","0","Cotton","0","#dbdbdb"
"657","Plumas","Deciduous Forest","81","673.634455","0.222395","557.544265","8.31647475308642","0.222395","0.44479","0.667185","6.67185","0.000415870805182994","0.000344202082731517","0.940203546784376","Deciduous Forest","0.04","#199301"
"658","Plumas","Evergreen Forest","2239","1134256.977445","0.222395","690929.22457","506.590878715945","4.89269","9.34059","21.79471","150.78381","0.700237879748122","0.426547797271426","0.980352077644462","Evergreen Forest","70.02","#0e5100"
"659","Plumas","Fallow","11","12.45412","0.222395","4.670295","1.13219272727273","0.44479","0.44479","1.4455675","3.335925","0.00000768859857716992","0.00000288322446643872","0.506493506493506","Fallow","0","#562c0a"
"660","Plumas","Fruit Trees","2","2.446345","0.667185","1.77916","1.2231725","0.94517875","1.2231725","1.50116625","1.72356125","0.00000151026043480123","0.00000109837122530999","0.227272727272727","Fruit Trees","0","#f97020"
"661","Plumas","Grain Crops","10","12.231725","0.222395","8.00622","1.2231725","0.222395","0.222395","0.667185","5.10396524999999","0.00000755130217400617","0.00000494267051389495","0.678181818181818","Grain Crops","0","#8eeaff"
"662","Plumas","Grapes","4","19.12597","0.222395","16.679625","4.7814925","0.222395","1.111975","5.6710725","14.4779145","0.0000118074906720824","0.0000102972302372811","0.668604651162791","Grapes","0","#7f00ff"
"663","Plumas","Grassland","706","38469.8871","0.222395","3085.06344","54.4899250708215","0.88958","3.11353","13.121305","220.89383375","0.0237495318192652","0.00190457570468752","0.892895705573717","Grassland","2.37","#94a843"
"664","Plumas","High Intensity Developed","240","1023.90658","0.222395","204.6034","4.26627741666667","0.222395","0.44479","1.16757375","12.053809","0.000632112640165898","0.000126312690910649","0.86723863307269","High Intensity Developed","0.06","#700101"
"665","Plumas","Low Intensity Developed","1469","12902.02353","0.222395","4211.938905","8.78286149081008","0.44479","1.111975","2.66874","19.170449","0.0079651135331417","0.00260025657951823","0.879458147270525","Low Intensity Developed","0.8","#fc8f8f"
"666","Plumas","Mixed Forest","14","33.136855","0.222395","26.6874","2.36691821428571","0.222395","0.3335925","0.61158625","10.497044","0.0000204571640713985","0.0000164755683796498","0.806807286673059","Mixed Forest","0","#287a30"
"667","Plumas","Shrubland","2237","398687.96129","0.222395","210486.414935","178.224390384443","1.556765","4.4479","12.89891","122.539644999999","0.246131536544458","0.129944592663539","0.970592977686369","Shrubland","24.61","#686b3e"
"668","Plumas","Tomatoes","3","4.00311","0.222395","2.22395","1.33437","0.88958","1.556765","1.8903575","2.1572315","0.00000247133525694747","0.00000137296403163748","0.333333333333333","Tomatoes","0","#ff0000"
"669","Plumas","Vegs & Fruits","3","3.11353","0.44479","1.77916","1.03784333333333","0.667185","0.88958","1.33437","1.690202","0.00000192214964429248","0.00000109837122530999","0.285714285714286","Vegs & Fruits","0","#016d06"
"670","Plumas","Walnuts","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.37296403163748e-7","1.37296403163748e-7","0","Walnuts","0","#f59bff"
"671","Plumas","Water","85","11093.729785","0.222395","7635.932325","130.514468058824","0.44479","2.446345","10.67496","196.374785","0.00684875647901727","0.0047140720026273","0.956893247847021","Water","0.68","#0a00ce"
"672","Plumas","Wetlands","373","6732.563835","0.222395","1047.702845","18.0497689946381","0.44479","1.33437","7.783825","77.5713759999999","0.00415637401297616","0.000646803355304419","0.864315603787482","Wetlands","0.42","#3b3872"
"673","Plumas","Winter Wheat","4","3.335925","0.222395","1.77916","0.83398125","0.5559875","0.667185","0.94517875","1.61236375","0.00000205944604745623","0.00000109837122530999","0.35","Winter Wheat","0","#05006d"
