"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"719","San Benito","Alfalfa & Hay","267","1283.21915","0.222395","192.59407","4.80606423220974","0.44479","1.111975","4.1143075","17.480247","0.00153366365134748","0.0002301824474986","0.755809138057497","Alfalfa & Hay","0.15","#DEBB27"
"720","San Benito","Almonds","92","150.561415","0.222395","22.906685","1.63653711956522","0.222395","0.44479","1.6679625","7.0944005","0.000179946324430199","0.0000273773580743138","0.658547941686468","Almonds","0.02","#84784f"
"721","San Benito","Barren","501","12424.76386","0.222395","5425.54842","24.7999278642715","0.222395","0.88958","3.335925","34.026435","0.0148496916591822","0.00648444686971806","0.94947235906936","Barren","1.48","#474747"
"722","San Benito","Corn","97","507.727785","0.222395","68.275265","5.23430706185567","0.44479","1.111975","4.4479","20.90513","0.000606820470715131","0.0000816004750370325","0.721261136775178","Corn","0.06","#f9f900"
"723","San Benito","Cotton","11","13.3437","0.222395","9.562985","1.21306363636364","0.222395","0.222395","0.667185","5.115085","0.0000159479755772702","0.0000114293824970436","0.693939393939394","Cotton","0","#dbdbdb"
"724","San Benito","Deciduous Forest","18","6.67185","0.222395","0.88958","0.370658333333333","0.222395","0.222395","0.44479","0.88958","0.0000079739877886351","0.00000106319837181801","0.296296296296296","Deciduous Forest","0","#199301"
"725","San Benito","Evergreen Forest","531","24618.904105","0.222395","2863.55802","46.363284566855","0.5559875","2.446345","13.78849","229.95643","0.0294237491404706","0.00342243555888219","0.891565120115253","Evergreen Forest","2.94","#0e5100"
"726","San Benito","Fallow","712","15970.407345","0.222395","1232.95788","22.4303473946629","0.88958","4.00311","16.5684275","106.7496","0.0190873345696558","0.00147359294333977","0.799840823578874","Fallow","1.91","#562c0a"
"727","San Benito","Fruit Trees","285","1543.4213","0.222395","183.031085","5.41551333333333","0.44479","1.33437","4.00311","21.038567","0.00184464917510425","0.000218753065001556","0.756017998887709","Fruit Trees","0.18","#f97020"
"728","San Benito","Grain Crops","367","2639.82865","0.222395","339.37477","7.19299359673025","0.44479","1.33437","4.670295","24.2632945","0.00315504116836995","0.000405610178848572","0.798843970442739","Grain Crops","0.32","#8eeaff"
"729","San Benito","Grapes","407","1557.876975","0.222395","188.59096","3.82770755528256","0.44479","0.88958","2.66874","13.4993765","0.0018619261486463","0.000225398054825419","0.749033947320885","Grapes","0.19","#7f00ff"
"730","San Benito","Grassland","2207","317244.24355","0.222395","33980.399235","143.744559832352","2.891135","6.449455","28.8001525","550.205229999999","0.379160461353669","0.0406123172062974","0.912932748451739","Grassland","37.92","#94a843"
"731","San Benito","High Intensity Developed","665","1557.65458","0.222395","324.029515","2.34233771428571","0.222395","0.667185","1.77916","7.07216099999999","0.00186166034905334","0.000387270006934711","0.743636074767158","High Intensity Developed","0.19","#700101"
"732","San Benito","Low Intensity Developed","2081","29253.8383","0.222395","1295.006085","14.0575868813071","1.556765","3.335925","8.8958","49.81648","0.0349632784572354","0.00154775102977407","0.775571723194506","Low Intensity Developed","3.5","#fc8f8f"
"733","San Benito","Mixed Forest","941","64299.509585","0.222395","11373.057905","68.3310410042508","1.111975","4.4479","27.799375","268.430765","0.0768487757137849","0.0135927253841003","0.879002120462187","Mixed Forest","7.68","#287a30"
"734","San Benito","Other Tree Crops","7","2.66874","0.222395","0.667185","0.381248571428571","0.222395","0.222395","0.5559875","0.667185","0.00000318959511545404","7.9739877886351e-7","0.261904761904762","Other Tree Crops","0","#48CA3B"
"735","San Benito","Rice","42","91.849135","0.222395","20.46034","2.18688416666667","0.222395","0.88958","1.94595625","7.294556","0.00010977523189021","0.0000244535625518143","0.643894846074023","Rice","0.01","#0083ff"
"736","San Benito","Shrubland","1366","355521.758975","0.222395","50786.344595","260.264830874817","1.111975","6.894245","66.66290125","964.58271375","0.424908558295034","0.0606982608466833","0.915460433262176","Shrubland","42.49","#686b3e"
"737","San Benito","Tomatoes","65","158.122845","0.222395","22.906685","2.43265915384615","0.222395","0.667185","3.11353","10.630481","0.000188983510590652","0.0000273773580743138","0.67177323379855","Tomatoes","0.02","#ff0000"
"738","San Benito","Vegs & Fruits","228","4671.62937","0.222395","532.636025","20.4896025","0.83398125","3.780715","15.790045","94.95154525","0.0055833862496023","0.000636590025126036","0.781761184356683","Vegs & Fruits","0.56","#016d06"
"739","San Benito","Walnuts","154","513.73245","0.222395","54.70917","3.335925","0.222395","0.667185","2.001555","16.69074475","0.000613997059724903","0.0000653866998668078","0.765688424129983","Walnuts","0.06","#f59bff"
"740","San Benito","Water","187","699.432275","0.222395","118.536535","3.74027954545455","0.222395","0.667185","2.22395","14.188801","0.000835939719841913","0.00014167118304475","0.792168198396572","Water","0.08","#0a00ce"
"741","San Benito","Wetlands","401","1003.223845","0.222395","109.41834","2.50180509975062","0.222395","0.667185","1.77916","7.783825","0.00119902196381776","0.000130773399733616","0.745930562642385","Wetlands","0.12","#3b3872"
"742","San Benito","Winter Wheat","200","967.41825","0.222395","111.1975","4.83709125","0.222395","0.88958","2.446345","28.56663775","0.00115622822935209","0.000132899796477252","0.798448275862069","Winter Wheat","0.12","#05006d"
