"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"845","San Mateo","Alfalfa & Hay","140","533.30321","0.222395","155.23171","3.80930864285714","0.222395","0.222395","0.88958","15.5676499999999","0.00112663510083807","0.000327936322095485","0.87743953294412","Alfalfa & Hay","0.11","#DEBB27"
"846","San Mateo","Almonds","10","26.6874","0.222395","8.00622","2.66874","0.27799375","0.5559875","5.39307875","7.30567575","0.000056378737323006","0.0000169136211969018","0.573333333333333","Almonds","0.01","#84784f"
"847","San Mateo","Barren","123","1110.863025","0.222395","783.497585","9.03140670731707","0.3335925","0.44479","2.1127525","9.78538","0.00234676494107012","0.00165518576324125","0.917792589337305","Barren","0.23","#474747"
"848","San Mateo","Deciduous Forest","51","41.36547","0.222395","11.342145","0.811087647058824","0.222395","0.222395","0.88958","2.1127525","0.0000873870428506593","0.0000239609633622775","0.582753531520135","Deciduous Forest","0.01","#199301"
"849","San Mateo","Evergreen Forest","1309","71009.166735","0.222395","7927.93696","54.2468806226127","0.88958","2.891135","11.786935","126.765149999999","0.150011134800621","0.016748243567421","0.924193159314837","Evergreen Forest","15","#0e5100"
"850","San Mateo","Fallow","15","15.56765","0.222395","6.894245","1.03784333333333","0.222395","0.44479","1.0007775","3.15800899999999","0.0000328875967717535","0.0000145645071417766","0.569523809523809","Fallow","0","#562c0a"
"851","San Mateo","Grain Crops","39","89.625185","0.222395","19.57076","2.29808166666667","0.222395","0.88958","3.0023325","6.360497","0.000189338592843095","0.0000413444073702044","0.628236940892028","Grain Crops","0.02","#8eeaff"
"852","San Mateo","Grapes","25","25.79782","0.222395","5.78227","1.0319128","0.44479","0.44479","0.88958","3.82519399999999","0.0000544994460789058","0.0000122153930866513","0.510344827586207","Grapes","0.01","#7f00ff"
"853","San Mateo","Grassland","841","22178.56377","0.222395","2064.492785","26.3716572770511","0.88958","3.780715","13.78849","90.069975","0.0468535496522841","0.00436136515474554","0.838750518871172","Grassland","4.69","#94a843"
"854","San Mateo","High Intensity Developed","11097","117650.06853","0.222395","1796.729205","10.6019706704515","4.00311","7.783825","17.7916","21.34992","0.248542844551606","0.00379569849027138","0.465018180411424","High Intensity Developed","24.85","#700101"
"855","San Mateo","Low Intensity Developed","11561","97117.005365","0.222395","1552.539495","8.40039835351613","2.446345","5.33748","12.676515","17.569205","0.205165513878096","0.00327983304376587","0.533610325369562","Low Intensity Developed","20.52","#fc8f8f"
"856","San Mateo","Mixed Forest","1793","66635.546665","0.222395","10244.40328","37.1642758867819","0.88958","2.446345","9.34059","94.6068329999997","0.140771599399003","0.0216419179670579","0.911799605030766","Mixed Forest","14.08","#287a30"
"857","San Mateo","Other Ocean/Mexico","121","64571.49867","0.222395","46983.834885","533.648749338843","0.44479","2.891135","25.575425","594.906625","0.136411173889879","0.0992561765255851","0.972235292028041","Other Ocean/Mexico","13.64","#48CA3B"
"858","San Mateo","Shrubland","1530","20466.789455","0.222395","2670.51916","13.3769865718954","0.44479","1.33437","4.89269","42.3440079999999","0.0432373234758243","0.0056416323147888","0.876047689428957","Shrubland","4.32","#686b3e"
"859","San Mateo","Tomatoes","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","4.6982281102505e-7","4.6982281102505e-7","0","Tomatoes","0","#ff0000"
"860","San Mateo","Vegs & Fruits","25","32.692065","0.222395","10.897355","1.3076826","0.222395","0.44479","1.111975","5.33747999999999","0.0000690639532206823","0.0000230213177402275","0.632380952380952","Vegs & Fruits","0.01","#016d06"
"861","San Mateo","Walnuts","24","58.489885","0.222395","22.017105","2.43707854166667","0.222395","0.667185","2.22395","8.13965699999999","0.000123563399299588","0.0000465124582914799","0.694708491761724","Walnuts","0.01","#f59bff"
"862","San Mateo","Water","1607","6320.4659","0.222395","1264.09318","3.93308394523958","0.44479","0.667185","1.111975","1.77916","0.0133523642893319","0.00267047285786638","0.844998241770369","Water","1.34","#0a00ce"
"863","San Mateo","Wetlands","1250","5373.95278","0.222395","1315.021635","4.299162224","0.222395","0.222395","1.111975","3.55832","0.0113527984056093","0.00277806228159112","0.909501671908624","Wetlands","1.14","#3b3872"
"864","San Mateo","Winter Wheat","51","101.634515","0.222395","32.02488","1.99283362745098","0.222395","0.44479","1.0007775","9.34059","0.000214709024638448","0.0000676544847876072","0.753850774445445","Winter Wheat","0.02","#05006d"
