"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"960","Sierra","Alfalfa & Hay","139","3752.915625","0.222395","554.65313","26.9993929856115","0.667185","3.335925","17.569205","136.7062065","0.00613648636609096","0.00090692722945368","0.79967172928324","Alfalfa & Hay","0.61","#DEBB27"
"961","Sierra","Almonds","8","9.562985","0.222395","3.11353","1.195373125","0.61158625","0.7783825","1.556765","2.802177","0.000015636676369891","0.00000509101091112731","0.409883720930232","Almonds","0","#84784f"
"962","Sierra","Barren","22","265.317235","0.222395","145.223935","12.0598743181818","0.222395","0.3335925","2.61314125","59.05699225","0.000433826858355349","0.000237459294640438","0.856473367370266","Barren","0.04","#474747"
"963","Sierra","Deciduous Forest","82","827.531795","0.222395","582.897295","10.0918511585366","0.222395","0.667185","1.50116625","15.033902","0.00135311797145034","0.000953109971290335","0.926970195528346","Deciduous Forest","0.14","#199301"
"964","Sierra","Evergreen Forest","668","376405.094265","0.222395","242268.66199","563.480680037425","6.22706","13.566095","47.4813325","318.069329","0.615469400297097","0.396139559154819","0.970226236055617","Evergreen Forest","61.55","#0e5100"
"965","Sierra","Fallow","9","16.234835","0.222395","10.67496","1.80387055555556","0.222395","0.44479","1.33437","7.294556","0.0000265459854651638","0.0000174548945524365","0.691019786910198","Fallow","0","#562c0a"
"966","Sierra","Grain Crops","5","1.556765","0.222395","0.44479","0.311353","0.222395","0.222395","0.44479","0.44479","0.00000254550545556366","7.27287273018188e-7","0.171428571428572","Grain Crops","0","#8eeaff"
"967","Sierra","Grapes","2","0.44479","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","7.27287273018188e-7","3.63643636509094e-7","0","Grapes","0","#7f00ff"
"968","Sierra","Grassland","223","21557.414535","0.222395","4948.73354","96.6700203363229","1.2231725","6.894245","66.1625125","413.143191499999","0.035249068617736","0.00809179819960036","0.842221701930033","Grassland","3.52","#94a843"
"969","Sierra","High Intensity Developed","94","592.682675","0.222395","264.872445","6.30513484042553","0.222395","0.667185","1.556765","11.4978215","0.000969110291296735","0.000433099571082331","0.884152329248333","High Intensity Developed","0.1","#700101"
"970","Sierra","Low Intensity Developed","430","6236.622985","0.222395","1990.88004","14.5037743837209","0.44479","1.33437","5.50427625","29.2227029999999","0.0101976584986245","0.00325533783402941","0.887547197037108","Low Intensity Developed","1.02","#fc8f8f"
"971","Sierra","Mixed Forest","83","474.59093","0.222395","332.035735","5.71796301204819","0.222395","0.44479","1.6679625","3.3136855","0.000776015520310406","0.000542919949308077","0.900193087250596","Mixed Forest","0.08","#287a30"
"972","Sierra","Shrubland","677","194857.16152","0.222395","74293.496095","287.82446310192","2.22395","6.894245","38.25194","217.457831","0.318615826861992","0.121479156855864","0.959887887467595","Shrubland","31.86","#686b3e"
"973","Sierra","Walnuts","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.63643636509094e-7","3.63643636509094e-7","0","Walnuts","0","#f59bff"
"974","Sierra","Water","38","4894.691555","0.222395","2542.41964","128.8076725","0.50038875","2.3351475","8.7846025","727.331727749999","0.00800343279592865","0.00415717405257196","0.916666865947184","Water","0.8","#0a00ce"
"975","Sierra","Wetlands","118","1681.973385","0.222395","267.985975","14.2540117372881","0.222395","1.33437","8.39541125","58.43428625","0.00275023682291828","0.000438190581993458","0.82299979606335","Wetlands","0.28","#3b3872"
