"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"25","Alpine","Alfalfa & Hay","43","700.98904","0.222395","323.80712","16.3020706976744","0.44479","1.111975","7.2278375","49.905438","0.00148606203931841","0.000686455053695306","0.860553653641837","Alfalfa & Hay","0.15","#DEBB27"
"26","Alpine","Barren","35","16418.97806","0.222395","16361.60015","469.113658857143","0.44479","0.667185","1.6679625","9.89657749999998","0.0348074201265227","0.0346857817997003","0.970005185798651","Barren","3.48","#474747"
"27","Alpine","Corn","1","4.89269","4.89269","4.89269","4.89269","4.89269","4.89269","4.89269","4.89269","0.0000103722604267148","0.0000103722604267148","0","Corn","0","#f9f900"
"28","Alpine","Deciduous Forest","8","110.975105","0.222395","107.416785","13.871888125","0.222395","0.44479","0.94517875","70.2101014999999","0.000235261725133213","0.000227718263004693","0.852955911823647","Deciduous Forest","0.02","#199301"
"29","Alpine","Evergreen Forest","159","190604.96912","0.222395","180569.17235","1198.77339069182","3.0023325","9.34059","33.6928425","273.9239215","0.404073092376294","0.38279770037557","0.98430592119708","Evergreen Forest","40.41","#0e5100"
"30","Alpine","Fallow","6","8.228615","0.222395","6.894245","1.37143583333333","0.222395","0.222395","0.38919125","5.28188125","0.0000174442561722022","0.0000146154578740072","0.689189189189189","Fallow","0","#562c0a"
"31","Alpine","Fruit Trees","3","0.88958","0.222395","0.44479","0.296526666666667","0.222395","0.222395","0.3335925","0.4225505","0.00000188586553212996","9.42932766064981e-7","0.166666666666667","Fruit Trees","0","#f97020"
"32","Alpine","Grain Crops","4","1.556765","0.222395","0.88958","0.38919125","0.222395","0.222395","0.38919125","0.78950225","0.00000330026468122743","0.00000188586553212996","0.321428571428571","Grain Crops","0","#8eeaff"
"33","Alpine","Grassland","91","2167.684065","0.222395","1103.0792","23.820704010989","0.5559875","1.77916","6.894245","55.376355","0.00459538283541769","0.00233847325984115","0.891739019162841","Grassland","0.46","#94a843"
"34","Alpine","High Intensity Developed","24","120.315695","0.222395","92.51632","5.01315395833333","0.222395","0.667185","1.61236375","5.8934675","0.000255063313220577","0.000196130015341516","0.847889710412816","High Intensity Developed","0.03","#700101"
"35","Alpine","Low Intensity Developed","162","3277.21272","0.222395","2100.29838","20.2297081481481","0.667185","1.77916","4.225505","38.4076165","0.00694752862036678","0.00445252852135884","0.912932634951274","Low Intensity Developed","0.69","#fc8f8f"
"36","Alpine","Mixed Forest","14","36.02799","0.222395","26.24261","2.57342785714286","0.222395","0.3335925","0.88958","11.06415125","0.0000763775540512635","0.0000556330331978339","0.787477954144621","Mixed Forest","0.01","#287a30"
"37","Alpine","Other Tree Crops","1","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.667185","0.00000141439914909747","0.00000141439914909747","0","Other Tree Crops","0","#48CA3B"
"38","Alpine","Shrubland","259","253505.83655","0.44479","227433.803515","978.787013706564","5.115085","11.11975","39.2527175","466.4290335","0.537419815354906","0.482148396872858","0.980197012168518","Shrubland","53.74","#686b3e"
"39","Alpine","Vegs & Fruits","3","1.33437","0.222395","0.667185","0.44479","0.3335925","0.44479","0.5559875","0.6449455","0.00000282879829819494","0.00000141439914909747","0.222222222222222","Vegs & Fruits","0","#016d06"
"40","Alpine","Water","15","2756.80842","0.222395","2006.225295","183.787228","1.8903575","11.342145","106.8607975","806.426509499998","0.00584429728407075","0.0042530982413361","0.848413466709691","Water","0.58","#0a00ce"
"41","Alpine","Wetlands","57","1991.32483","0.222395","396.30789","34.9355233333333","0.88958","3.335925","21.34992","181.47432","0.00422150999367292","0.000840153094563898","0.794524842371732","Wetlands","0.42","#3b3872"
"42","Alpine","Winter Wheat","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","9.42932766064981e-7","9.42932766064981e-7","0","Winter Wheat","0","#05006d"
