"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"163","Del Norte","Alfalfa & Hay","13","9.562985","0.222395","2.66874","0.735614230769231","0.222395","0.44479","0.667185","2.401866","0.0000151361443382724","0.00000422404028044811","0.465116279069767","Alfalfa & Hay","0","#DEBB27"
"164","Del Norte","Barren","134","1098.6313","0.222395","326.03107","8.19874104477612","0.222395","0.667185","3.05793125","18.3920665","0.00173889658211781","0.000516036920928078","0.872853344612968","Barren","0.17","#474747"
"165","Del Norte","Deciduous Forest","338","6746.12993","0.222395","3452.682375","19.9589642899408","0.222395","0.667185","2.001555","16.6573855","0.0106776698222594","0.00546485211282975","0.95463055691994","Deciduous Forest","1.07","#199301"
"166","Del Norte","Evergreen Forest","604","461721.37614","0.222395","342651.760325","764.439364470199","1.77916","6.004665","19.40396375","133.73723325","0.730805432960609","0.542343891791352","0.988604815452597","Evergreen Forest","73.08","#0e5100"
"167","Del Norte","Fallow","60","184.810245","0.222395","43.811815","3.08017075","0.222395","0.44479","2.001555","9.77426024999994","0.000292514789421032","0.0000693446612706899","0.77940232651424","Fallow","0.03","#562c0a"
"168","Del Norte","Grain Crops","2","2.001555","0.222395","1.77916","1.0007775","0.61158625","1.0007775","1.38996875","1.70132175","0.00000316803021033609","0.00000281602685363208","0.388888888888889","Grain Crops","0","#8eeaff"
"169","Del Norte","Grassland","357","11637.48556","0.222395","1750.471045","32.597998767507","1.33437","4.4479","12.89891","124.98599","0.0184196316496074","0.00277061842061726","0.850660582227081","Grassland","1.84","#94a843"
"170","Del Norte","High Intensity Developed","151","707.2161","0.222395","92.51632","4.68355033112583","0.3335925","1.111975","4.4479","19.348365","0.00111937067431875","0.000146433396388868","0.731142488233579","High Intensity Developed","0.11","#700101"
"171","Del Norte","Low Intensity Developed","537","23890.56048","0.222395","12376.504145","44.4889394413408","1.33437","2.66874","6.449455","28.066249","0.0378136085905715","0.0195893388039348","0.943613680854758","Low Intensity Developed","3.78","#fc8f8f"
"172","Del Norte","Mixed Forest","531","47790.46155","0.222395","27728.875785","90.0008692090396","0.667185","2.001555","6.894245","42.477445","0.0756420013221246","0.043888834523926","0.971729064903263","Mixed Forest","7.56","#287a30"
"173","Del Norte","Rice","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.5200335670401e-7","3.5200335670401e-7","0","Rice","0","#0083ff"
"174","Del Norte","Shrubland","514","66958.6866","0.222395","52759.877825","130.269818287938","0.44479","1.33437","3.72511625","24.91935975","0.105981170636443","0.0835075163276757","0.986880653770938","Shrubland","10.6","#686b3e"
"175","Del Norte","Vegs & Fruits","3","0.667185","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.00000105601007011203","3.5200335670401e-7","0","Vegs & Fruits","0","#016d06"
"176","Del Norte","Water","237","4997.438045","0.222395","2076.72451","21.0862364767933","0.222395","0.88958","2.66874","29.3116609999999","0.0079098674284958","0.00328700734490204","0.944698154790037","Water","0.79","#0a00ce"
"177","Del Norte","Wetlands","373","6052.70232","0.222395","2338.70582","16.2270839678284","0.667185","2.001555","7.11664","47.236698","0.00958012335605632","0.00370166729909936","0.868978861196615","Wetlands","0.96","#3b3872"
