"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"553","Modoc","Alfalfa & Hay","1226","112789.8482","0.222395","4395.41478","91.9982448613377","1.111975","6.894245","85.12168625","465.52833375","0.0423372789190721","0.001649881655802","0.803297822490259","Alfalfa & Hay","4.23","#DEBB27"
"554","Modoc","Almonds","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","8.34791366020034e-8","8.34791366020034e-8","0","Almonds","0","#84784f"
"555","Modoc","Barren","829","138623.69619","0.222395","79309.392925","167.217968866104","0.222395","0.88958","4.4479","35.271847","0.052034382385034","0.0297699122993235","0.987903461452149","Barren","5.2","#474747"
"556","Modoc","Corn","12","14.67807","0.222395","7.56143","1.2231725","0.222395","0.222395","0.7783825","5.23740225","0.00000550962301573223","0.00000283829064446812","0.669191919191919","Corn","0","#f9f900"
"557","Modoc","Cotton","18","22.906685","0.222395","6.22706","1.27259361111111","0.222395","0.3335925","1.50116625","4.52573825","0.00000859835107000635","0.0000023374158248561","0.620819848975189","Cotton","0","#dbdbdb"
"558","Modoc","Deciduous Forest","17","6.449455","0.222395","2.001555","0.379379705882353","0.222395","0.222395","0.222395","0.934058999999999","0.0000024208949614581","7.51312229418031e-7","0.36105476673428","Deciduous Forest","0","#199301"
"559","Modoc","Evergreen Forest","1270","701988.705525","0.222395","477360.63733","552.747012224409","2.001555","6.67185","33.80404","308.1282725","0.263501477288541","0.179184126675917","0.978756865437298","Evergreen Forest","26.35","#0e5100"
"560","Modoc","Fallow","781","8694.977315","0.222395","1063.93768","11.1331335659411","0.44479","1.556765","5.78227","54.041985","0.00326378380372853","0.000399364189503984","0.826535151401402","Fallow","0.33","#562c0a"
"561","Modoc","Fruit Trees","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","8.34791366020034e-8","8.34791366020034e-8","0","Fruit Trees","0","#f97020"
"562","Modoc","Grain Crops","818","14867.99533","0.222395","2523.071275","18.1760334107579","0.44479","1.77916","11.786935","82.76429925","0.00558091419839034","0.000947070804749729","0.823285175015175","Grain Crops","0.56","#8eeaff"
"563","Modoc","Grassland","1798","375117.20482","0.222395","161406.951965","208.630258520578","1.77916","8.3398125","35.52760125","390.33658425","0.140805595372785","0.0605864025342262","0.940934832892633","Grassland","14.08","#94a843"
"564","Modoc","High Intensity Developed","304","397.19747","0.222395","38.69673","1.306570625","0.222395","0.44479","0.88958","4.41454074999999","0.000149093737971178","0.0000145253697687486","0.70085312665763","High Intensity Developed","0.01","#700101"
"565","Modoc","Low Intensity Developed","1491","16930.708955","0.222395","2618.701125","11.3552709289068","0.667185","2.22395","7.339035","39.2527175","0.00635518319037392","0.00098296683348859","0.80558262772218","Low Intensity Developed","0.64","#fc8f8f"
"566","Modoc","Mixed Forest","25","20.46034","0.222395","11.786935","0.8184136","0.222395","0.222395","0.44479","1.423328","0.00000768008056738432","0.00000442439423990618","0.66695652173913","Mixed Forest","0","#287a30"
"567","Modoc","Other Tree Crops","6","2.001555","0.222395","0.667185","0.3335925","0.222395","0.222395","0.38919125","0.61158625","7.51312229418031e-7","2.5043740980601e-7","0.240740740740741","Other Tree Crops","0","#48CA3B"
"568","Modoc","Rice","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","8.34791366020034e-8","8.34791366020034e-8","0","Rice","0","#0083ff"
"569","Modoc","Shrubland","2229","1146815.178305","0.222395","669325.77427","514.497612519067","3.780715","13.3437","52.04043","565.728400999999","0.43047344107095","0.251240979974941","0.9639880285458","Shrubland","43.05","#686b3e"
"570","Modoc","Vegs & Fruits","386","8776.15149","0.222395","981.873925","22.7361437564767","0.44479","1.556765","13.73289125","102.1905025","0.00329425368858826","0.000368560388097845","0.819657686032579","Vegs & Fruits","0.33","#016d06"
"571","Modoc","Walnuts","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","1.66958273204007e-7","1.66958273204007e-7","0","Walnuts","0","#f59bff"
"572","Modoc","Water","354","101387.21176","0.222395","53368.57294","286.40455299435","0.44479","1.111975","7.56143","341.932312499997","0.0380571366272141","0.020032655368656","0.978221432521537","Water","3.81","#0a00ce"
"573","Modoc","Wetlands","842","34355.357205","0.222395","7512.5031","40.8020869418052","0.44479","1.556765","9.34059","122.99555475","0.0128957735431409","0.00281992523441568","0.920824428026477","Wetlands","1.29","#3b3872"
"574","Modoc","Winter Wheat","273","3266.98255","0.222395","388.30167","11.966969047619","0.44479","0.88958","4.4479","64.227676","0.00122630851668343","0.000145754572507098","0.848880277879597","Winter Wheat","0.12","#05006d"
