"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"800","San Bernardino","Alfalfa & Hay","145","3535.858105","0.222395","2487.488075","24.3852283103448","0.222395","0.88958","3.55832","24.330013","0.000283752760271501","0.00019962102167663","0.946611693209939","Alfalfa & Hay","0.03","#DEBB27"
"801","San Bernardino","Barren","15300","1426201.565795","0.222395","1080814.569365","93.2157886140523","0.667185","2.891135","6.22706","36.695175","0.114452735087306","0.0867354142309318","0.975901936015081","Barren","11.45","#474747"
"802","San Bernardino","Cotton","4","20.237945","0.222395","19.348365","5.05948625","0.222395","0.3335925","5.17068375","16.51282875","0.00000162409592959976","0.00000155270709752944","0.711538461538462","Cotton","0","#dbdbdb"
"803","San Bernardino","Deciduous Forest","93","223.72937","0.222395","84.287705","2.40569215053763","0.222395","0.44479","0.88958","11.6979769999999","0.0000179542912656853","0.00000676409183866274","0.817589089121187","Deciduous Forest","0","#199301"
"804","San Bernardino","Evergreen Forest","1260","237415.11351","0.222395","188435.950685","188.424693261905","0.222395","1.8903575","9.118195","78.5276745","0.0190525727526711","0.0151219928949194","0.984205479529861","Evergreen Forest","1.91","#0e5100"
"805","San Bernardino","Fallow","68","1044.589315","0.222395","418.324995","15.3616075735294","0.222395","0.44479","1.33437","61.2364632500004","0.0000838283360585722","0.0000335705982810676","0.924704755225488","Fallow","0.01","#562c0a"
"806","San Bernardino","Fruit Trees","232","1775.60168","0.222395","133.659395","7.65345551724138","0.667185","2.66874","7.11664","29.78981025","0.000142492108812357","0.0000107261720185655","0.714464489323475","Fruit Trees","0.01","#f97020"
"807","San Bernardino","Grain Crops","17","930.50068","0.222395","227.28769","54.7353341176471","0.667185","45.146185","64.49455","188.502002","0.0000746727183455538","0.0000182398465939665","0.589191317062198","Grain Crops","0.01","#8eeaff"
"808","San Bernardino","Grapes","1","1.77916","1.77916","1.77916","1.77916","1.77916","1.77916","1.77916","1.77916","1.42777664140638e-7","1.42777664140638e-7","0","Grapes","0","#7f00ff"
"809","San Bernardino","Grassland","3598","60162.2954","0.222395","17552.30298","16.7210381878822","0.44479","1.33437","4.670295","33.35925","0.00482802671291568","0.00140857304557947","0.906859512616346","Grassland","0.48","#94a843"
"810","San Bernardino","High Intensity Developed","6952","50960.92467","0.222395","3498.27335","7.33039767980437","0.222395","1.33437","5.78227","22.461895","0.00408961632839634","0.00028073658211653","0.796336469950962","High Intensity Developed","0.41","#700101"
"811","San Bernardino","Low Intensity Developed","26168","173198.779655","0.222395","42532.15417","6.61872438302507","0.667185","1.33437","3.11353","11.342145","0.0138992092848029","0.00341320714453006","0.825200721097052","Low Intensity Developed","1.39","#fc8f8f"
"812","San Bernardino","Mixed Forest","688","14659.83361","0.222395","11148.438955","21.3078976889535","0.222395","0.667185","2.001555","8.96251849999999","0.00117645225810282","0.000894662690713257","0.966792604200991","Mixed Forest","0.12","#287a30"
"813","San Bernardino","null","13","37.139965","0.222395","9.34059","2.85692038461539","0.222395","1.111975","5.78227","8.539968","0.00000298048373893582","7.49582736738351e-7","0.602487333026255","null","0","#48CA3B"
"814","San Bernardino","Other Tree Crops","354","1360.390215","0.222395","334.48208","3.84291021186441","0.222395","0.44479","1.111975","13.7217715","0.000109171371443536","0.00002684220085844","0.866141779554802","Other Tree Crops","0.01","#48CA3B"
"815","San Bernardino","Shrubland","42177","10469234.172435","0.222395","7890069.985745","248.221404377623","4.670295","8.673405","19.348365","83.17573","0.840156478608792","0.633178445148739","0.969956257414949","Shrubland","84.02","#686b3e"
"816","San Bernardino","Tomatoes","3","0.667185","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","5.35416240527394e-8","1.78472080175798e-8","0","Tomatoes","0","#ff0000"
"817","San Bernardino","Vegs & Fruits","60","321.13838","0.222395","241.52097","5.35230633333333","0.222395","0.3335925","0.88958","4.53685799999998","0.0000257713683773852","0.0000193820679070916","0.909579870729455","Vegs & Fruits","0","#016d06"
"818","San Bernardino","Water","371","13296.99705","0.222395","5773.81899","35.8409623989218","0.222395","0.44479","1.111975","14.5668725","0.0010670845673711","0.000463349214552406","0.973785517956153","Water","0.11","#0a00ce"
"819","San Bernardino","Wetlands","847","6595.79091","0.222395","1813.40883","7.78723838252656","0.222395","0.667185","1.77916","16.7018645","0.000529312495385381","0.000145526134175346","0.907458286966499","Wetlands","0.05","#3b3872"
"820","San Bernardino","Winter Wheat","61","75.6143","0.222395","12.89891","1.23957868852459","0.222395","0.44479","0.88958","3.55832","0.00000606805072597713","0.00000103513806501963","0.637319189971071","Winter Wheat","0","#05006d"
