"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"841","San Francisco","Alfalfa & Hay","5","4.670295","0.44479","2.22395","0.934059","0.44479","0.667185","0.88958","1.957076","0.000355492356914326","0.000169282074721108","0.342857142857143","Alfalfa & Hay","0.04","#DEBB27"
"842","San Francisco","Barren","7","50.26127","0.222395","18.458785","7.18018142857143","1.6679625","4.00311","12.1205275","17.7916","0.00382577488869704","0.00140504122018519","0.520859671302149","Barren","0.38","#474747"
"843","San Francisco","Corn","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.0000169282074721108","0.0000169282074721108","0","Corn","0","#f9f900"
"844","San Francisco","Deciduous Forest","7","87.401235","0.222395","30.24572","12.4858907142857","0.667185","10.452565","22.5730925","28.0440095","0.00665278553653954","0.00230223621620707","0.511813885859687","Deciduous Forest","0.67","#199301"
"845","San Francisco","Evergreen Forest","11","440.119705","0.667185","151.006205","40.0108822727273","1.556765","4.00311","60.93623","136.772925","0.0335009225873072","0.0114942528735632","0.655059947631954","Evergreen Forest","3.35","#0e5100"
"846","San Francisco","Fallow","3","1.556765","0.222395","0.667185","0.518921666666667","0.44479","0.667185","0.667185","0.667185","0.000118497452304775","0.0000507846224163323","0.190476190476191","Fallow","0.01","#562c0a"
"847","San Francisco","Grassland","8","69.164845","0.667185","22.906685","8.645605625","3.2247275","7.11664","10.73055875","21.038567","0.00526467252382645","0.00174360536962741","0.452170418006431","Grassland","0.53","#94a843"
"848","San Francisco","High Intensity Developed","537","5934.610575","0.222395","945.401145","11.0514163407821","4.225505","4.225505","4.4479","19.037012","0.451729216393276","0.0719618099639429","0.616049929360715","High Intensity Developed","45.17","#700101"
"849","San Francisco","Low Intensity Developed","464","5466.691495","0.222395","1105.30315","11.7816627047414","2.891135","2.891135","2.891135","7.30567574999999","0.416112267871955","0.0841331911363906","0.776551117417574","Low Intensity Developed","41.61","#fc8f8f"
"850","San Francisco","Mixed Forest","12","313.799345","0.222395","101.85691","26.1499454166667","1.111975","4.3367025","38.86352625","90.8483575","0.0238857007431483","0.00775311902222674","0.675466572171037","Mixed Forest","2.39","#287a30"
"851","San Francisco","Rice","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.0000169282074721108","0.0000169282074721108","0","Rice","0","#0083ff"
"852","San Francisco","Shrubland","12","256.64383","0.222395","75.6143","21.3869858333333","0.5559875","6.449455","42.8110375","68.39758225","0.0195351514228158","0.00575559054051766","0.639659156556903","Shrubland","1.95","#686b3e"
"853","San Francisco","Vegs & Fruits","2","1.111975","0.44479","0.667185","0.5559875","0.50038875","0.5559875","0.61158625","0.65606525","0.0000846410373605539","0.0000507846224163323","0.0999999999999999","Vegs & Fruits","0.01","#016d06"
"854","San Francisco","Water","12","355.832","0.222395","283.998415","29.6526666666667","0.222395","0.7783825","9.17379375","153.24127475","0.0270851319553772","0.0216173209418855","0.859791666666667","Water","2.71","#0a00ce"
"855","San Francisco","Wetlands","11","154.78692","0.222395","96.741825","14.0715381818182","0.3335925","2.66874","13.2325025","57.37791","0.0117820324005891","0.00736377025036819","0.738766980146291","Wetlands","1.18","#3b3872"
"856","San Francisco","Winter Wheat","1","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.44479","0.0000338564149442216","0.0000338564149442216","0","Winter Wheat","0","#05006d"
