"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"882","San Luis Obispo","Alfalfa & Hay","1351","7927.04738","0.222395","617.146125","5.86754062176166","0.222395","0.667185","2.446345","21.79471","0.00418618542367981","0.000325907994352807","0.845540458856189","Alfalfa & Hay","0.42","#DEBB27"
"883","San Luis Obispo","Almonds","460","1330.81168","0.222395","153.89734","2.89306886956522","0.222395","0.44479","1.556765","11.3643845","0.000702786824579171","0.0000812714710241955","0.785964746570565","Almonds","0.07","#84784f"
"884","San Luis Obispo","Barren","3112","80966.01328","0.222395","23906.57292","26.0173564524422","0.222395","0.44479","1.556765","24.90824","0.0427572497499317","0.0126247948688106","0.968547423962069","Barren","4.28","#474747"
"885","San Luis Obispo","Corn","345","281.99686","0.222395","19.57076","0.817382202898551","0.222395","0.222395","0.667185","2.846656","0.000148919400662832","0.0000103351003614584","0.613089196726558","Corn","0.01","#f9f900"
"886","San Luis Obispo","Cotton","259","714.77753","0.222395","212.60962","2.7597588030888","0.222395","0.44479","1.111975","6.22706","0.00037746605183781","0.000112276772108571","0.833849495330516","Cotton","0.04","#dbdbdb"
"887","San Luis Obispo","Deciduous Forest","176","104.52565","0.222395","12.45412","0.593895738636364","0.222395","0.222395","0.44479","1.556765","0.0000551988314759709","0.00000657688204820079","0.505730174081238","Deciduous Forest","0.01","#199301"
"888","San Luis Obispo","Evergreen Forest","3138","75911.41972","0.222395","15556.53025","24.1910196685787","0.44479","1.33437","6.449455","58.9680342499999","0.0400879751929405","0.00821523034413653","0.914954734235689","Evergreen Forest","4.01","#0e5100"
"889","San Luis Obispo","Fallow","4196","52511.46261","0.222395","3951.51436","12.5146479051478","0.44479","1.111975","3.780715","32.692065","0.0277307184903049","0.00208675071843628","0.887605150422801","Fallow","2.77","#562c0a"
"890","San Luis Obispo","Fruit Trees","476","2438.33878","0.222395","307.79468","5.12256046218487","0.222395","0.667185","2.22395","21.127525","0.00128765954957988","0.000162542942048391","0.843972174787463","Fruit Trees","0.13","#f97020"
"891","San Luis Obispo","Grain Crops","1077","10784.82313","0.222395","2268.651395","10.0137633519034","0.222395","0.44479","1.556765","18.280869","0.00569534496509731","0.00119804953167315","0.930291618459801","Grain Crops","0.57","#8eeaff"
"892","San Luis Obispo","Grapes","1811","31911.01376","0.222395","1148.44778","17.6206591717283","0.222395","0.667185","6.004665","86.6228525","0.0168518509166471","0.000606482480301945","0.876414125184532","Grapes","1.69","#7f00ff"
"893","San Luis Obispo","Grassland","8193","698018.28759","0.222395","49618.326055","85.1969104833394","2.66874","6.22706","17.34681","186.900758","0.368615682598733","0.0262028853016434","0.916875115650341","Grassland","36.86","#94a843"
"894","San Luis Obispo","High Intensity Developed","1186","4185.4739","0.222395","341.821115","3.5290673693086","0.222395","0.667185","2.001555","12.62091625","0.00221030214548462","0.000180511923358654","0.800607512728198","High Intensity Developed","0.22","#700101"
"895","San Luis Obispo","Low Intensity Developed","7310","72654.000155","0.222395","7022.78931","9.93898770930233","1.111975","2.22395","5.115085","24.46345","0.0383677682043691","0.00370865680925151","0.804821256831994","Low Intensity Developed","3.84","#fc8f8f"
"896","San Luis Obispo","Mixed Forest","5016","184924.11124","0.222395","30722.312485","36.8668483333333","1.111975","3.780715","13.39929875","103.63607","0.0976563633154203","0.0162241110140108","0.881735469367208","Mixed Forest","9.77","#287a30"
"897","San Luis Obispo","null","185","3767.3713","0.222395","1222.950105","20.3641691891892","1.111975","6.894245","16.45723","49.9499169999999","0.00198950681958074","0.00064582632826886","0.761399534126807","null","0.2","#48CA3B"
"898","San Luis Obispo","Other Tree Crops","869","893.360715","0.222395","86.73405","1.02803304372842","0.222395","0.44479","0.667185","2.66874","0.000471773842636118","0.000045803285692827","0.667617745410544","Other Tree Crops","0.05","#48CA3B"
"899","San Luis Obispo","Rice","4","2.446345","0.222395","1.33437","0.61158625","0.38919125","0.44479","0.667185","1.200933","0.0000012918875451823","7.04665933735799e-7","0.340909090909091","Rice","0","#0083ff"
"900","San Luis Obispo","Shrubland","7636","640734.005885","0.222395","202224.21829","83.9096393249083","1.111975","4.00311","16.01244","157.06646875","0.338364491507777","0.106792357146305","0.93521666374491","Shrubland","33.84","#686b3e"
"901","San Luis Obispo","Tomatoes","121","438.340545","0.222395","79.839805","3.6226491322314","0.222395","0.667185","2.66874","15.345255","0.00023148275923221","0.0000421625117018587","0.756238180895715","Tomatoes","0.02","#ff0000"
"902","San Luis Obispo","Vegs & Fruits","573","6159.00713","0.222395","494.384085","10.7487035427574","0.222395","0.88958","4.670295","42.0771339999999","0.00325250306147987","0.000261078728449114","0.856164558801492","Vegs & Fruits","0.33","#016d06"
"903","San Luis Obispo","Walnuts","141","1340.15227","0.222395","188.813355","9.5046260283688","0.222395","0.88958","6.449455","48.259715","0.000707719486115321","0.0000997102296236156","0.813051246019024","Walnuts","0.07","#f59bff"
"904","San Luis Obispo","Water","613","8059.817195","0.222395","2419.21281","13.1481520309951","0.222395","0.667185","2.66874","24.730324","0.00425629968408652","0.001277559337863","0.923858600569245","Water","0.43","#0a00ce"
"905","San Luis Obispo","Wetlands","2154","6942.059925","0.222395","585.78843","3.222869045961","0.222395","0.44479","1.111975","7.19447824999998","0.0036660245202605","0.000309348344910016","0.852124950046187","Wetlands","0.37","#3b3872"
"906","San Luis Obispo","Winter Wheat","297","620.03726","0.222395","126.542755","2.08766754208754","0.222395","0.44479","1.33437","6.62737099999999","0.000327434770542568","0.0000668258193826116","0.767060852426706","Winter Wheat","0.03","#05006d"
