"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1071","Solano","Alfalfa & Hay","1816","51807.137645","0.222395","2020.903365","28.5281594961454","0.44479","2.001555","11.17534875","142.999985","0.105827891287806","0.0041281559131847","0.859451315951435","Alfalfa & Hay","10.58","#DEBB27"
"1072","Solano","Almonds","749","11144.65824","0.222395","420.548945","14.8793834979973","0.44479","1.111975","5.559875","79.6618890000001","0.0227655055707617","0.000859067110359005","0.84549796706379","Almonds","2.28","#84784f"
"1073","Solano","Barren","434","618.70289","0.222395","131.21305","1.42558269585253","0.222395","0.222395","0.88958","4.225505","0.00126384172449432","0.000268032572771979","0.741918919187536","Barren","0.13","#474747"
"1074","Solano","Corn","358","4612.91709","0.222395","948.73707","12.8852432681564","0.222395","0.44479","1.556765","30.54595325","0.00942293495667185","0.00193801178889028","0.935545722952216","Corn","0.94","#f9f900"
"1075","Solano","Cotton","49","36.91757","0.222395","5.115085","0.753419795918367","0.222395","0.222395","0.88958","3.380404","0.0000754125543731331","0.000010448727413145","0.562576837964101","Cotton","0.01","#dbdbdb"
"1076","Solano","Deciduous Forest","243","306.01552","0.222395","45.146185","1.25932312757202","0.222395","0.44479","0.88958","4.4479","0.000625106474803802","0.0000922213767334098","0.701400851756149","Deciduous Forest","0.06","#199301"
"1077","Solano","Evergreen Forest","309","2037.360595","0.222395","243.077735","6.59339998381877","0.222395","0.88958","3.335925","26.3315679999999","0.00416177355790526","0.000496541698372497","0.831198386010204","Evergreen Forest","0.42","#0e5100"
"1078","Solano","Fallow","1937","15098.39655","0.222395","872.900375","7.79473234383067","0.44479","1.556765","4.670295","28.244165","0.0308419175686266","0.001783098047678","0.803761056882915","Fallow","3.08","#562c0a"
"1079","Solano","Fruit Trees","970","2991.21275","0.222395","294.00619","3.08372448453608","0.44479","0.88958","2.22395","10.79727725","0.00611023407420868","0.000600574680007723","0.746425631395393","Fruit Trees","0.61","#f97020"
"1080","Solano","Grain Crops","1054","38560.17947","0.222395","2972.753965","36.5846105028463","0.44479","1.77916","16.40163125","157.01087","0.0787679587502413","0.00607252779702211","0.871176553105857","Grain Crops","7.88","#8eeaff"
"1081","Solano","Grapes","367","3875.01048","0.222395","374.51318","10.5586116621253","0.222395","0.667185","4.5590975","52.2850644999999","0.00791559245420164","0.0007650285636407","0.855206761696729","Grapes","0.79","#7f00ff"
"1082","Solano","Grassland","2913","166835.39152","0.222395","4872.67445","57.2727056368006","2.66874","5.78227","20.237945","227.243211","0.340799327647106","0.00995354859226113","0.866794888505414","Grassland","34.08","#94a843"
"1083","Solano","High Intensity Developed","1465","11759.35802","0.222395","1510.50684","8.02686554266212","0.44479","1.556765","5.78227","20.01555","0.024021170030324","0.00308555463435133","0.800235776045804","High Intensity Developed","2.4","#700101"
"1084","Solano","Low Intensity Developed","3153","24628.0223","0.222395","1723.11646","7.8109807484935","0.88958","2.001555","4.89269","20.237945","0.0503083510318118","0.00351985826074118","0.770609882678937","Low Intensity Developed","5.03","#fc8f8f"
"1085","Solano","Mixed Forest","682","15103.066845","0.222395","993.66086","22.1452593035191","0.667185","2.891135","10.84175625","83.5538014999999","0.0308514577110473","0.00202977887312746","0.839745555367425","Mixed Forest","3.09","#287a30"
"1086","Solano","null","12","7.339035","0.222395","2.446345","0.61158625","0.222395","0.222395","0.44479","2.2017105","0.0000149916523753819","0.00000499721745846063","0.497474747474747","null","0","#48CA3B"
"1087","Solano","Other Tree Crops","520","665.85063","0.222395","42.477445","1.28048198076923","0.222395","0.44479","1.111975","4.4479","0.00136015173369374","0.0000867698667787255","0.655757669184523","Other Tree Crops","0.14","#48CA3B"
"1088","Solano","Rice","223","372.956415","0.222395","96.07464","1.67245029147982","0.222395","0.44479","1.111975","6.11586249999997","0.000761848516167134","0.000196254358368636","0.74174735474141","Rice","0.08","#0083ff"
"1089","Solano","Shrubland","1037","19057.02755","0.222395","1385.298455","18.3770757473481","0.44479","1.33437","5.559875","76.1035689999999","0.0389283240014083","0.00282978795897739","0.885411779560621","Shrubland","3.89","#686b3e"
"1090","Solano","Tomatoes","414","10119.639685","0.222395","418.54739","24.4435741183575","0.222395","1.0007775","16.234835","120.21561725","0.0206716714556667","0.000854978477892991","0.824116868230061","Tomatoes","2.07","#ff0000"
"1091","Solano","Vegs & Fruits","643","5288.10831","0.222395","214.611175","8.22411867807154","0.222395","0.667185","4.225505","50.9506944999999","0.010802166975207","0.000438392258855864","0.825026257003775","Vegs & Fruits","1.08","#016d06"
"1092","Solano","Walnuts","704","11027.67847","0.222395","454.352985","15.6643160085227","0.222395","0.88958","8.8958","84.8881715","0.0225265477177481","0.000928119569785006","0.837862787975345","Walnuts","2.25","#f59bff"
"1093","Solano","Water","400","18338.024515","0.222395","6137.434815","45.8450612875","0.222395","0.88958","6.22706","87.5902707499998","0.0374595963611171","0.0125371100182853","0.946299556132287","Water","3.75","#0a00ce"
"1094","Solano","Wetlands","1049","62981.596815","0.222395","17244.95309","60.0396537797903","0.222395","0.667185","5.115085","283.153313999999","0.128654272053061","0.0352267487421777","0.922901291418125","Wetlands","12.87","#3b3872"
"1095","Solano","Winter Wheat","477","12268.864965","0.222395","1096.184955","25.7208909119497","0.222395","0.88958","10.007775","133.525958","0.0250619541391725","0.00223920771388659","0.875362359816253","Winter Wheat","2.51","#05006d"
