"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1238","Tuolumne","Alfalfa & Hay","35","58.71228","0.222395","9.118195","1.67749371428571","0.222395","0.44479","2.22395","7.027682","0.0000417143788041657","0.00000647836943549543","0.646103896103896","Alfalfa & Hay","0","#DEBB27"
"1239","Tuolumne","Almonds","5","3.335925","0.222395","1.77916","0.667185","0.222395","0.44479","0.667185","1.556765","0.0000023701351593276","0.00000126407208497472","0.426666666666667","Almonds","0","#84784f"
"1240","Tuolumne","Barren","107","133226.391935","0.222395","83259.35052","1245.10646668224","0.222395","0.44479","1.2231725","65.6065249999994","0.0946557718400449","0.0591547813605619","0.982316716051726","Barren","9.47","#474747"
"1241","Tuolumne","Corn","16","15.12286","0.222395","11.11975","0.94517875","0.222395","0.222395","0.27799375","3.11353","0.0000107446127222851","0.00000790045053109199","0.705882352941176","Corn","0","#f9f900"
"1242","Tuolumne","Cotton","1","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","1.5800901062184e-7","1.5800901062184e-7","0","Cotton","0","#dbdbdb"
"1243","Tuolumne","Deciduous Forest","2392","18974.7414","0.222395","1606.803875","7.93258419732441","0.44479","1.33437","3.55832","26.12029275","0.0134813287862554","0.00114161510174279","0.835929745894661","Deciduous Forest","1.35","#199301"
"1244","Tuolumne","Evergreen Forest","3542","671704.0664","0.222395","274291.31804","189.639770299266","1.556765","4.225505","9.78538","63.7828859999998","0.477237774961355","0.194880729268467","0.979585458009886","Evergreen Forest","47.72","#0e5100"
"1245","Tuolumne","Fallow","37","100.300145","0.222395","70.27682","2.71081472972973","0.222395","0.222395","0.667185","5.47091699999997","0.0000712620637904497","0.0000499308473565014","0.856834661712711","Fallow","0.01","#562c0a"
"1246","Tuolumne","Fruit Trees","17","73.612745","0.222395","25.35303","4.33016147058824","0.222395","0.667185","2.66874","20.193466","0.0000523009825158289","0.0000180130272108897","0.738226408388129","Fruit Trees","0.01","#f97020"
"1247","Tuolumne","Grain Crops","20","41.587865","0.222395","12.45412","2.07939325","0.222395","0.5559875","1.27877125","9.073716","0.000029547684986284","0.00000884850459482303","0.67192513368984","Grain Crops","0","#8eeaff"
"1248","Tuolumne","Grapes","5","2.001555","0.222395","0.88958","0.400311","0.222395","0.222395","0.44479","0.800622","0.00000142208109559656","6.32036042487359e-7","0.311111111111111","Grapes","0","#7f00ff"
"1249","Tuolumne","Grassland","2054","108617.718","0.222395","7869.002285","52.8810701071081","1.33437","4.4479","12.676515","181.885750749999","0.0771716007877065","0.00559083282283256","0.898057450873906","Grassland","7.72","#94a843"
"1250","Tuolumne","High Intensity Developed","224","531.746445","0.222395","42.25505","2.37386805803571","0.222395","0.667185","2.50194375","8.19525575","0.000377799544396819","0.0000300217120181495","0.70422380056163","High Intensity Developed","0.04","#700101"
"1251","Tuolumne","Low Intensity Developed","2477","12267.975385","0.222395","1915.71053","4.95275550464271","0.44479","0.88958","2.001555","9.118195","0.00871625105293255","0.00136108961749653","0.832922001753368","Low Intensity Developed","0.87","#fc8f8f"
"1252","Tuolumne","Mixed Forest","494","485.933075","0.222395","141.44322","0.983670192307692","0.222395","0.222395","0.44479","1.33437","0.00034524968820872","0.00010049373075549","0.723381724863117","Mixed Forest","0.03","#287a30"
"1253","Tuolumne","Other Tree Crops","4","1.111975","0.222395","0.44479","0.27799375","0.222395","0.222395","0.27799375","0.41143075","7.90045053109199e-7","3.16018021243679e-7","0.15","Other Tree Crops","0","#48CA3B"
"1254","Tuolumne","Shrubland","3638","428594.528915","0.222395","144773.585125","117.810480735294","1.556765","3.55832","9.562985","60.0800092499999","0.304511331063165","0.102859915689552","0.969825607327711","Shrubland","30.45","#686b3e"
"1255","Tuolumne","Vegs & Fruits","13","4.4479","0.222395","0.88958","0.342146153846154","0.222395","0.222395","0.44479","0.622705999999999","0.00000316018021243679","6.32036042487359e-7","0.246153846153846","Vegs & Fruits","0","#016d06"
"1256","Tuolumne","Walnuts","2","0.44479","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","0.222395","3.16018021243679e-7","1.5800901062184e-7","0","Walnuts","0","#f59bff"
"1257","Tuolumne","Water","180","30500.807065","0.222395","5591.677485","169.448928138889","0.222395","1.4455675","5.39307875","366.506959999997","0.0216704617797535","0.00397282055406492","0.955964484174726","Water","2.17","#0a00ce"
"1258","Tuolumne","Wetlands","99","2276.43522","0.222395","1543.4213","22.9942951515152","0.222395","0.44479","1.0007775","11.964851","0.00161738023272515","0.00109658253371557","0.963306373622904","Wetlands","0.16","#3b3872"
"1259","Tuolumne","Winter Wheat","6","1.77916","0.222395","0.44479","0.296526666666667","0.222395","0.222395","0.38919125","0.44479","0.00000126407208497472","3.16018021243679e-7","0.166666666666667","Winter Wheat","0","#05006d"
