"OBJECTID","County","Class","Count_","Sum_","Min_","Max_","Mean","Perc25th","Median","Perc75th","Perc95th","PercentCounty","PercentMaxOwnerCounty","Gini","label","data","color"
"1284","Yolo","Alfalfa & Hay","1943","49157.968405","0.222395","1731.345075","25.3000352058672","0.44479","2.001555","11.342145","126.4760365","0.0821621103238735","0.00289375191197642","0.846052758504526","Alfalfa & Hay","8.22","#DEBB27"
"1285","Yolo","Almonds","1377","28688.732605","0.222395","989.880145","20.8342284713145","0.44479","1.111975","5.33748","126.409318","0.047950045329871","0.0016544752421589","0.872142636449367","Almonds","4.8","#84784f"
"1286","Yolo","Barren","415","898.92059","0.222395","124.98599","2.16607371084337","0.222395","0.44479","1.111975","10.0744935","0.00150244640054061","0.000208900266477938","0.781812653881235","Barren","0.15","#474747"
"1287","Yolo","Corn","572","6687.640045","0.222395","690.31408","11.6916784003497","0.222395","0.44479","2.001555","67.4412837499999","0.0111776510912065","0.00115378367819843","0.905969915489054","Corn","1.12","#f9f900"
"1288","Yolo","Cotton","36","26.465005","0.222395","4.225505","0.735139027777778","0.222395","0.44479","0.667185","3.11353","0.0000442333304463961","0.00000706246452505484","0.529645191409897","Cotton","0","#dbdbdb"
"1289","Yolo","Deciduous Forest","135","258.86778","0.222395","30.023325","1.91753911111111","0.222395","0.667185","1.8903575","7.02768200000001","0.000432668879324412","0.0000501806689938107","0.687119765813924","Deciduous Forest","0.04","#199301"
"1290","Yolo","Evergreen Forest","160","5127.53912","0.222395","2782.383845","32.0471195","0.222395","1.111975","10.452565","79.4950927499997","0.00857011484682444","0.004650447035419","0.908589954892436","Evergreen Forest","0.86","#0e5100"
"1291","Yolo","Fallow","2575","86129.357995","0.222395","6887.57315","33.4482943669903","1.556765","4.4479","14.23328","116.6016985","0.14395570124883","0.0115118171758394","0.855934293012151","Fallow","14.4","#562c0a"
"1292","Yolo","Fruit Trees","1682","8848.20747","0.222395","485.933075","5.26052762782402","0.44479","1.111975","3.11353","17.1021754999999","0.0147888007154648","0.000812183420381306","0.79197422022326","Fruit Trees","1.48","#f97020"
"1293","Yolo","Grain Crops","1590","48040.211135","0.222395","3402.421105","30.2139692672956","0.667185","2.891135","21.127525","142.8443085","0.0802939026026669","0.005686770777306","0.815903209529056","Grain Crops","8.03","#8eeaff"
"1294","Yolo","Grapes","468","19023.445905","0.222395","1094.62819","40.6483886858974","0.222395","1.111975","23.96306125","198.4430585","0.0317955870004561","0.00182955002064842","0.852954537756207","Grapes","3.18","#7f00ff"
"1295","Yolo","Grassland","1725","96715.58239","0.222395","4239.960675","56.067004284058","0.88958","4.00311","16.01244","187.923775","0.161649405136047","0.00708662558790371","0.89734345661915","Grassland","16.16","#94a843"
"1296","Yolo","High Intensity Developed","982","5373.95278","0.222395","423.44008","5.47245700610998","0.222395","1.111975","5.559875","20.01555","0.0089819680412329","0.000707733287142337","0.748927643452026","High Intensity Developed","0.9","#700101"
"1297","Yolo","Low Intensity Developed","2444","14182.351545","0.222395","461.69202","5.80292616407529","0.88958","2.22395","4.89269","17.7916","0.0237042329066985","0.000771667176527044","0.690391523670223","Low Intensity Developed","2.37","#fc8f8f"
"1298","Yolo","Mixed Forest","227","11843.42333","0.222395","3453.127165","52.1736710572687","0.44479","2.001555","20.3491425","163.7939175","0.0197949729377511","0.00577152035160665","0.894357669809172","Mixed Forest","1.98","#287a30"
"1299","Yolo","null","5","2.001555","0.222395","0.667185","0.400311","0.222395","0.44479","0.44479","0.622706","0.00000334537793292071","0.00000111512597764024","0.222222222222222","null","0","#48CA3B"
"1300","Yolo","Other Tree Crops","959","3236.29204","0.222395","370.287675","3.37465280500521","0.222395","0.44479","1.33437","8.673405","0.00540910440887358","0.000618894917590332","0.835344650173324","Other Tree Crops","0.54","#48CA3B"
"1301","Yolo","Rice","563","38908.00525","0.222395","8918.0395","69.1083574600355","0.222395","0.667185","3.55832","248.904484","0.0650304299293865","0.0149055172344578","0.950683072605875","Rice","6.5","#0083ff"
"1302","Yolo","Shrubland","514","87093.217925","0.222395","21169.33526","169.442058219844","0.44479","2.22395","37.4735575","584.3428625","0.145566686577861","0.0353822038532063","0.925112252161817","Shrubland","14.56","#686b3e"
"1303","Yolo","Tomatoes","885","29441.762075","0.222395","1624.37308","33.2675277683616","0.44479","2.22395","31.1353","142.733111","0.0492086508499676","0.00271496004689476","0.808110533628057","Tomatoes","4.92","#ff0000"
"1304","Yolo","Vegs & Fruits","1192","13333.02504","0.222395","976.75884","11.1854236912752","0.44479","1.111975","4.4479","52.440741","0.0222846775371625","0.00163254443126531","0.856393168225856","Vegs & Fruits","2.23","#016d06"
"1305","Yolo","Walnuts","1155","18932.708745","0.222395","727.898835","16.3919556233766","0.44479","1.111975","7.2278375","79.61741","0.031643929867497","0.0012166024416055","0.850546209379067","Walnuts","3.16","#f59bff"
"1306","Yolo","Water","281","3213.60775","0.222395","1406.203585","11.4363265124555","0.222395","0.667185","2.001555","25.130635","0.00537119012563381","0.00235031385220641","0.918641037323449","Water","0.54","#0a00ce"
"1307","Yolo","Wetlands","620","4433.66672","0.222395","668.296975","7.15107535483871","0.222395","0.44479","1.77916","13.1880234999999","0.00741038383007859","0.0011169845209363","0.906574748873816","Wetlands","0.74","#3b3872"
"1308","Yolo","Winter Wheat","709","18707.645005","0.222395","1019.90347","26.3859591043724","0.44479","2.891135","29.80093","127.610251","0.031267760704373","0.00170465591115271","0.781307815808188","Winter Wheat","3.13","#05006d"
