,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
1,1,58,41.1,31,36,29.5,0,92,72.0,30,10,3.4,0,30.1,30.1,30.0,0.00
2,2,55,36.8,26,35,24.6,0,96,80.0,47,7,1.6,0,30.1,30.0,30.0,0.00
3,3,55,34.1,27,38,29.8,24,100,85.9,41,5,0.7,0,30.1,30.0,30.0,0.00
4,4,58,39.3,31,38,22.6,0,97,83.0,47,7,1.2,0,30.1,30.1,30.0,0.00
5,5,46,38.6,30,45,34.6,0,100,93.0,76,9,1.7,0,30.1,30.0,29.9,0.00
6,6,48,22.0,0,43,21.0,0,100,51.4,0,8,0.8,0,30.0,30.0,29.9,0.00
7,7,58,40.5,33,47,34.6,0,100,91.4,62,6,1.2,0,30.1,30.0,30.0,0.00
8,8,60,43.4,36,47,40.6,36,100,90.8,62,6,1.2,0,30.1,30.0,29.9,0.00
9,9,50,42.7,35,48,39.2,0,100,90.1,63,13,2.0,0,30.0,29.9,29.8,0.00
10,10,51,40.4,30,34,26.3,0,96,69.7,43,15,6.5,0,30.0,29.9,29.9,0.00
11,11,53,41.3,33,35,27.1,0,85,69.1,49,9,3.7,0,30.1,30.0,29.9,0.00
12,12,50,38.5,28,34,27.6,0,92,71.6,39,7,2.3,0,30.1,30.0,30.0,0.00
13,13,51,34.1,23,33,23.9,0,96,73.8,26,14,1.6,0,30.1,30.0,30.0,0.00
14,14,55,40.4,27,31,21.0,0,89,59.0,25,10,2.6,0,30.2,30.2,30.1,0.00
15,15,54,37.8,27,33,27.8,0,93,73.9,40,7,2.5,0,30.3,30.3,30.2,0.00
16,16,58,35.1,27,37,28.9,0,100,83.4,42,7,0.5,0,30.3,30.2,30.1,0.00
17,17,60,35.2,27,38,28.4,0,100,86.9,38,6,0.5,0,30.1,30.1,30.0,0.00
18,18,62,36.6,27,40,30.2,0,100,83.5,37,5,0.7,0,30.1,30.0,29.9,0.00
19,19,63,38.1,27,41,29.6,0,100,82.4,38,7,1.6,0,30.1,30.0,30.0,0.00
20,20,63,38.2,27,38,29.1,0,100,79.3,37,6,0.9,0,30.1,30.0,29.9,0.00
21,21,63,40.5,26,40,31.3,0,96,76.5,37,6,1.3,0,30.0,30.0,29.9,0.00
22,22,60,40.7,30,41,31.9,0,100,79.5,42,6,2.2,0,29.9,29.9,29.8,0.00
