,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
1,1,28,12.2,1,12,3.5,-4,92,69.5,43,6,1.6,0,23.3,23.2,23.1,0.00
2,2,30,9.8,-8,14,1.0,-13,92,68.7,40,6,1.7,0,23.3,23.2,23.2,0.00
3,3,30,8.5,-8,16,1.5,-11,92,74.9,40,8,2.0,0,23.3,23.2,23.2,0.00
4,4,30,10.8,-8,16,3.0,-15,92,72.4,47,6,1.2,0,23.3,23.2,23.2,0.00
5,5,34,14.5,0,19,7.5,-4,93,74.9,48,9,1.2,0,23.3,23.2,23.1,0.00
6,6,28,20.1,5,21,14.6,1,93,80.0,59,16,3.7,0,23.1,23.0,23.0,0.00
7,7,43,25.6,10,27,15.9,5,93,68.6,34,14,5.4,0,23.3,23.2,23.1,0.00
8,8,45,28.6,12,28,21.6,10,93,76.7,49,13,2.4,0,23.3,23.3,23.2,0.00
9,9,48,27.7,10,30,18.0,0,100,72.9,32,23,5.1,0,23.3,23.1,22.9,0.00
10,10,32,18.3,7,28,4.5,-8,100,57.9,26,24,11.0,0,22.9,22.9,22.8,0.00
11,11,25,12.4,-2,10,-0.7,-9,85,58.5,34,17,7.7,0,23.0,22.9,22.9,0.00
12,12,28,8.2,-8,1,-5.9,-13,85,58.1,18,13,4.1,0,23.0,23.0,23.0,0.00
13,13,27,3.1,-20,-2,-10.1,-26,85,59.2,21,13,5.9,0,23.1,23.0,23.0,0.00
14,14,34,16.3,-8,14,-0.3,-15,78,51.8,24,15,7.2,0,23.3,23.2,23.1,0.00
15,15,48,32.1,19,21,17.0,10,80,56.4,30,17,8.8,0,23.4,23.4,23.3,0.00
16,16,50,31.4,21,19,10.4,0,69,43.4,17,16,5.9,0,23.5,23.4,23.4,0.00
17,17,43,22.8,7,19,4.3,-4,69,46.5,27,9,2.5,0,23.4,23.4,23.3,0.00
18,18,39,17.4,-2,16,4.0,-8,85,58.2,32,7,2.3,0,23.3,23.3,23.3,0.00
19,19,37,18.7,-6,16,4.6,-9,92,57.1,28,6,2.1,0,23.4,23.3,23.3,0.00
20,20,41,17.9,-8,18,4.1,-11,92,58.5,21,7,2.3,0,23.4,23.3,23.3,0.00
21,21,43,20.9,0,18,7.5,-6,85,59.7,25,7,1.9,0,23.3,23.3,23.3,0.00
22,22,48,22.9,3,23,11.5,-2,92,65.8,22,8,1.6,0,23.3,23.3,23.2,0.00
23,23,45,29.5,14,30,17.9,9,87,65.1,31,9,2.3,0,23.2,23.2,23.1,0.00
24,24,43,34.7,32,36,23.8,0,100,94.3,70,6,0.2,0,23.3,23.2,23.2,0.00
25,25,43,35.6,30,34,12.1,0,100,89.2,66,9,1.6,0,23.3,23.2,23.1,0.00
26,26,48,35.6,28,34,14.5,0,100,67.5,21,18,5.3,0,23.1,23.0,22.9,0.00
27,27,34,23.8,9,28,13.3,1,100,67.8,31,26,9.3,0,23.0,22.9,22.9,0.00
28,28,30,18.8,3,16,6.8,-2,85,61.9,31,18,8.0,0,23.1,23.0,23.0,0.00
29,29,43,35.7,27,27,25.1,18,86,65.5,53,24,11.3,0,23.4,23.2,23.1,0.00
30,30,52,34.0,23,27,20.8,16,86,63.3,24,12,4.1,0,23.4,23.3,23.3,0.00
31,31,52,32.0,19,23,17.1,10,86,59.2,19,7,2.7,0,23.3,23.3,23.3,0.00
1,1,50,29.4,10,19,13.6,7,86,56.9,19,6,2.1,0,23.3,23.3,23.3,0.00
2,2,43,32.2,21,27,20.2,14,86,63.1,39,6,0.9,0,23.4,23.3,23.3,0.00
3,3,50,35.9,25,27,22.5,14,86,62.0,24,12,3.4,0,23.3,23.2,23.2,0.00
4,4,54,34.4,19,25,17.8,9,86,56.6,18,8,2.3,0,23.2,23.2,23.1,0.00
5,5,52,34.6,21,23,15.7,5,93,54.3,16,20,4.8,0,23.1,23.1,23.0,0.00
6,6,48,31.6,16,18,6.9,-4,86,42.0,11,9,2.9,0,23.1,23.1,23.1,0.00
7,7,45,28.8,18,18,7.7,-9,79,48.4,11,28,8.4,0,23.1,23.0,22.8,0.00
8,8,28,22.6,19,18,14.8,5,93,72.8,37,18,9.4,0,22.9,22.8,22.8,0.00
9,9,36,24.4,14,12,8.3,1,79,54.5,24,15,7.8,0,23.0,22.9,22.9,0.00
10,10,34,24.2,14,16,11.2,7,80,59.9,38,16,9.1,0,23.1,23.0,23.0,0.00
11,11,37,22.4,9,14,5.7,-8,86,55.1,17,10,5.3,0,23.2,23.1,23.1,0.00
12,12,48,29.4,12,16,9.4,-2,79,49.9,13,13,6.0,0,23.3,23.3,23.2,0.00
13,13,52,34.8,21,23,17.9,9,80,52.9,28,15,7.2,0,23.3,23.3,23.2,0.00
