Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
35,Bishop,Bishop,12/1/2012,336,0.05, ,0.01,H,207, ,6.2,Y,59.1, ,24.9, ,40.1, ,93, ,43, ,73,Y,32.2,Y,2.7, ,65.8, ,45.3, 
35,Bishop,Bishop,12/2/2012,337,0.04, ,0.02, ,123, ,7.1,Y,65.7, ,29.6, ,43.8, ,91, ,35, ,73,Y,35.7,Y,3.9, ,94.4, ,45.8, 
35,Bishop,Bishop,12/3/2012,338,0.06, ,0.00, ,258, ,6.1,Y,60.0, ,27.9, ,41.4, ,93, ,38, ,69,Y,32.1,Y,2.3, ,55.6, ,45.3, 
35,Bishop,Bishop,12/4/2012,339,0.06, ,0.00, ,228, ,6.4,Y,59.7, ,28.0, ,41.3, ,91, ,43, ,72,Y,33.0,Y,2.5, ,59.6, ,45.1, 
35,Bishop,Bishop,12/5/2012,340,0.04, ,0.00, ,172, ,6.7,Y,59.9, ,28.4, ,43.0, ,92, ,43, ,71,Y,34.4,Y,2.6, ,62.6, ,45.3, 
35,Bishop,Bishop,12/6/2012,341,0.07, ,0.00, ,265, ,5.9, ,65.2, ,30.4, ,46.1, ,91, ,27, ,56, ,31.2, ,3.1, ,74.5, ,45.7, 
35,Bishop,Bishop,12/7/2012,342,0.08, ,0.00, ,266, ,3.8, ,61.8, ,23.1, ,45.1, ,64, ,15, ,37, ,20.3, ,4.4, ,104.6, ,45.2, 
35,Bishop,Bishop,12/8/2012,343,0.07, ,0.00, ,256, ,2.8, ,64.3, ,20.6, ,38.7, ,68, ,12, ,35, ,13.3, ,2.6, ,62.7, ,43.7, 
35,Bishop,Bishop,12/9/2012,344,0.09, ,0.00, ,236, ,3.6, ,62.5, ,24.8, ,44.7, ,66, ,21, ,36, ,19.2, ,5.2, ,123.6, ,43.3, 
35,Bishop,Bishop,12/10/2012,345,0.08, ,0.00, ,262, ,3.3, ,68.0, ,24.1, ,45.8, ,74, ,13, ,32, ,17.5, ,3.7, ,88.0, ,43.5, 
35,Bishop,Bishop,12/11/2012,346,0.07, ,0.00, ,268, ,2.8, ,58.8, ,20.9, ,37.7, ,66, ,15, ,36, ,13.4, ,3.1, ,73.8, ,43.1, 
35,Bishop,Bishop,12/12/2012,347,0.09, ,0.00, ,258, ,3.1, ,58.4, ,21.1, ,41.6, ,72, ,14, ,34, ,15.6, ,5.1, ,122.7, ,42.4, 
